MESS_ARCHIVE_Sortie


Message Name: Message


MID_SORTIE_タイトル: 進擊準備
MID_SORTIE_ユニット選択: 選擇單位
MID_H_SORTIE_ユニット選択: 選擇出擊的單位
MID_SORTIE_マップ・配置: 地圖與配置
MID_H_SORTIE_マップ・配置: 確認地圖，變更出擊單位的配置
MID_SORTIE_持ち物整理: 整理行李
MID_H_SORTIE_持ち物整理: 整理單位持有的道具
MID_SORTIE_スキル着脱: 更換技能
MID_H_SORTIE_スキル着脱: 可以更換單位的技能
MID_SORTIE_支援会話: 支援對話
MID_H_SORTIE_支援会話: 與單位交談，加深情誼
MID_SORTIE_記録: 儲存
MID_H_SORTIE_記録: 保存現在的遊戲狀況
MID_SORTIE_戻る: 返回
MID_SORTIE_戻る_通信対戦: 返回
MID_H_SORTIE_戻る: 返回前一畫面
MID_H_SORTIE_戻る_通信対戦: 重新選擇檔案
MID_SORTIE_戻る確認: 要返回嗎？
MID_SORTIE_編成終了: 開始戰鬥
MID_H_SORTIE_編成終了: 結束編組，開始戰鬥
MID_SORTIE_編成終了確認: 要開始戰鬥了嗎？
MID_SORTIE_編成終了_防衛配置: 確定
MID_SORTIE_編成終了_通信対戦: 確定
MID_H_SORTIE_編成終了_通信対戦: 確定完成編組
MID_SORTIE_編成終了確認_通信対戦: 是否確定？
MID_SORTIE_探索準備: 準備探索
MID_SORTIE_編成終了_ダンジョン: 開始探索
MID_H_SORTIE_編成終了_ダンジョン: 結束編組，開始探索
MID_SORTIE_編成終了確認_ダンジョン: 要開始探索了嗎？
MID_SORTIE_ならびかえ: 變更排序
MID_H_SORTIE_ならびかえ: 變更戰鬥時的排序
MID_SORTIE_離脱: 脫離
MID_H_SORTIE_離脱: 讓單位脫離迷宮
MID_SORTIE_離脱_確認_主人公: 全員都脫離迷宮嗎？
MID_SORTIE_離脱_確認: $a要讓$a0脫離迷宮嗎？
MID_SORTIE_離脱_結果: $a$a0脫離了。
MID_SORTIE_ミラの歯車: 美拉齒輪
MID_H_SORTIE_ミラの歯車: 啟動美拉齒輪
MID_SORTIE_通信: 通訊
MID_H_SORTIE_通信: 使用通訊功能
MID_SORTIE_交代: 交替
MID_H_SORTIE_交代: 交替成阿雷武或賽莉卡
MID_SORTIE_待機: 待命
MID_H_SORTIE_待機: 換成敵軍行動
MID_SORTIE_入る: 進入
MID_H_SORTIE_入る: 進入目前所在的地方
MID_SORTIE_入る確認: 要進入這個地方嗎？
MID_SORTIE_一括整理: 自動
MID_SORTIE_一括整理_おまかせ整理: 自動整理
MID_H_SORTIE_一括整理_おまかせ整理: 自動整理出擊單位的持有物
MID_SORTIE_一括整理_おまかせ整理確認: 要自動整理在這張地圖\n出擊的單位的持有物嗎？\n（沒有出擊的單位的持有物，\n會全部裝入行囊裡）
MID_SORTIE_一括整理_おまかせ整理確認2: 要自動整理所有\n單位的持有物嗎？
MID_SORTIE_一括整理_おまかせ整理警告: 行囊裡的持有物不足，\n無法讓所有單位\n分配到持有物。
MID_SORTIE_一括整理_おまかせ整理警告2: 行囊已經裝滿了，\n無法整理持有物。
MID_SORTIE_一括整理_全預け: 全部保管
MID_H_SORTIE_一括整理_全預け: 把所有單位的持有物都裝進行囊
MID_SORTIE_一括整理_全預け確認: 要把所有單位的持有物\n都裝進行囊裡嗎？
MID_SORTIE_一括整理_全預け警告: 行囊已經裝滿了，\n無法將所有單位的\n持有物裝進行囊裡。
MID_H_SORTIE_出撃人数: $a還可以選擇$a0人成為出擊單位
MID_B_SORTIE_部隊表: 部隊表
MID_B_SORTIE_一覧: 一覽
MID_B_SORTIE_おまかせ: 自動
MID_B_SORTIE_切り替え: 切換
MID_B_SORTIE_ユニット変更: 換人
MID_SORTIE_持ち物整理_持ち物: 行囊
MID_H_SORTIE_持ち物整理_持ち物: 整理此單位的持有物
MID_SORTIE_持ち物整理_交換: 交換
MID_H_SORTIE_持ち物整理_交換: 將此單位的持有物與其他單位交換
MID_SORTIE_持ち物整理_預ける警告: 行囊已經裝滿了，\n無法保管持有物。
MID_SORTIE_持ち物整理_交換警告: 行囊已經裝滿了，\n無法交換持有物。
MID_H_SORTIE_持ち物整理_交換相手選択: 請選擇要交換持有物的對象
MID_SORTIE_持ち物整理_おまかせ整理: 自動
MID_H_SORTIE_持ち物整理_おまかせ整理: 自動整理此單位的持有物
MID_SORTIE_持ち物整理_おまかせ整理警告: 行囊裡的持有物不足，\n無法分配持有物給單位。
MID_SORTIE_持ち物整理_おまかせ整理警告2: 行囊已經裝滿了，\n無法替換持有物。
MID_SORTIE_持ち物整理_おまかせ整理警告3: 行囊裡找不到更合適的持有物\n來更換現在的持有物。
MID_SORTIE_持ち物整理_全預け: 全部保管
MID_H_SORTIE_持ち物整理_全預け: 將此單位的持有物裝進行囊
MID_SORTIE_持ち物整理_全預け警告: 行囊已經裝滿了，\n無法將所有持有物\n裝進行囊裡。
MID_SORTIE_持ち物整理_預ける: 保管
MID_H_SORTIE_持ち物整理_預ける: 將此單位的持有物裝進行囊
MID_SORTIE_持ち物整理_受け取る: 收下
