MESS_ARCHIVE_Skill


Message Name: Message


MSID_無し: －－－－－－
MSID_命中補正１: 曲射
MSID_威力補正１: 烈擊
MSID_回避補正１: 一擊即離
MSID_手加減: 手下留情
MSID_体当たり: 衝撞
MSID_入れ替え: 替換
MSID_命中補正２: 交叉斬
MSID_威力補正２: 強弓
MSID_回避補正２: 清流劍
MSID_必殺補正１: 一刀兩斷
MSID_魔法攻撃: 魔刃
MSID_とどめHP吸収: 生命吸收
MSID_切り込み: 衝敵斬
MSID_切り抜け: 破敵斬
MSID_後手必殺: 獅王架勢
MSID_射程＋１: 遠雷
MSID_特効馬: 弒騎一擊
MSID_特効鎧: 碎鎧
MSID_特効鎧２: 擊殺破甲衝
MSID_特効魔: 聖天弓
MSID_特効飛: 燕返
MSID_瀕死確殺: 絕殺
MSID_足止め: 合圍之箭
MSID_魔封じ: 封魔之箭
MSID_HP吸収: 豐穰之力
MSID_２連撃: 獅子連斬
MSID_HP減少分ダメ: 復仇
MSID_速さダメージ: 龍霞
MSID_技ダメージ: 虎神五行劍
MSID_射程＋２: 大弩槍
MSID_射程＋３: 忘我‧無底弓
MSID_地形無視: 迅影刺擊
MSID_５連撃: 流星刃
MSID_必殺補正２: 破輪斬
MSID_威力補正３: 太陽衝
MSID_必中: 月光閃
MSID_G防御補正１: 防禦態勢
MSID_G地形効果二倍: 珊瑚遁法
MSID_G物理間接半減: 聖盾
MSID_G魔法反射: 反魔鏡盾
MSID_G物理半減: 大盾
MSID_G魔法半減: 大地的加護
MSID_鉄剣２: 疾風橫掃
MSID_雷剣２: 雷迅
MSID_金剣２: 大地的恩惠
MSID_女剣２: 魔焰雙連擊
MSID_鉄槍２: 長弓槍
MSID_鋼槍２: 旋風槍
MSID_銀槍１: 駕霧
MSID_銀槍２: 戰車
MSID_殺弓: 獵箭齊發
MSID_滅殺: 滅殺
MSID_アルム奥義: 霸神斷龍劍
MSID_セリカ奥義: 真末世烈焰
MSID_トライアングル: 三角攻陣
MSID_主人公: 主角
MSID_リゲル王家: 利蓋爾王族
MSID_ソフィア王家: 索菲亞王族
MSID_隣接回復: 治癒之光
MSID_自動回復: 回復效果
MSID_自動回復大: 自我再生
MSID_自動回復祈祷師: 肉體召喚
MSID_吸収: 吸收
MSID_一撃死無効: 識破
MSID_神殺し: 弒神
MSID_地形効果無効: 地形效果無效
MSID_呪い: 詛咒
MSID_呪い無効: 咒印
MSID_魔法武器: 魔法武器
MSID_威力固定: 固定威力
MSID_瀕死攻撃: 瀕死攻擊
MSID_魔法回避: 魔法回避
MSID_良成長: 高成長
MSID_きまぐれ成長: 重塑
MSID_魔法射程＋１: 意念
MSID_魔法射程＋２: 魔道
MSID_魔防＋: 魔防＋５
MSID_魔法命中＋１０: 磨練
MSID_魔法威力＋５: 魔法威力＋５
MSID_必殺全回避: 爆擊全回避
MSID_対魔物増強: 退魔
MSID_怨声: 怨聲
MSID_命中回避＋２０: 力之業火
MSID_剣ダメージ半減: 劍之傷害減半
MSID_槍ダメージ半減: 槍之傷害減半
MSID_斧ダメージ半減: 斧之傷害減半
MSID_弓ダメージ半減: 重裝備
MSID_魔法ダメージ半減: 破邪
MSID_対魔ダメージ半減: 聖域
MSID_弓ダメージ半減_兵種: 重裝備
MSID_魔法ダメージ半減_兵種: 破邪
MSID_弓魔ダメージ半減_道具: 妄執
MSID_消耗必殺: 憤怒
MSID_巨大: 巨大
MSID_ダウンロード: 下載
MSID_交換禁止: 禁止交換
MSID_敗北条件: 敗北條件
MSID_強制キリバト: 強制切換戰鬥
MSID_強制オンバト: 強制地圖戰鬥
MSID_キリバト禁止: 禁止切換戰鬥
MSID_魔女ワープ: 轉移
MSID_召喚数乱数のみ: 召喚數量僅隨機
MSID_召喚確率高: 高機率召喚
MSID_召喚必ず: 必定召喚
MSID_ディル無効: 滅魔無效
MSID_召喚AI: 召喚AI
MSID_召喚独立: 召喚獨立
MSID_ビグル道連れ: 比格魯同行
MSID_分裂: 分裂
MSID_ダメージ床無効: 地板之傷害無效
MSID_生存ロスト: 亡逝
MSID_祈り: 祈禱
MSID_攻撃時2回攻撃: 攻擊時2次攻擊
MSID_特殊演出: 特殊演出
MSID_準特殊演出: 準特殊演出
MSID_魔力射程: 魔力射程
MSID_半魔力射程: １／２魔力射程
MSID_四半魔力射程: １／４魔力射程
MSID_弓射程＋１: 弓射程＋１
MSID_弓射程＋２: 弓射程＋２
MSID_被毒: 狀態：中毒
MSID_被毒２: 狀態：中毒
MSID_被毒３: 狀態：中毒
MSID_被足止め: 狀態：封鎖移動
MSID_被足止め始: 狀態：封鎖移動
MSID_被魔封じ: 狀態：封鎖魔法
MSID_被魔封じ始: 狀態：封鎖魔法
MSID_毒パッシブ: 毒攻擊
MSID_足止めパッシブ: 麻痺毒
MSID_魔封じパッシブ: 怪聲
MSID_ドーマの加護: 多瑪的加護
MSID_メガクェイク: 超級地震
MSID_ダークスパイク: 漆黑刺棘
MSID_邪竜の鱗: 邪龍鱗片
MSID_赤の呪い: 赤紅詛咒
MSID_防御無効: 防禦無效
MSID_アルム攻撃禁止: 阿雷武禁止攻擊
MSID_状態異常無効: 異常狀態無效
MSID_騎馬: 騎馬
MSID_飛行: 飛行
MSID_鎧: 鎧兵
MSID_魔物: 魔物
MSID_上級魔物: 上級魔物
MSID_竜族: 龍族
MSID_神: 神
MSID_神_ギムレー: 神
MSID_騎馬特効: 騎馬特效
MSID_飛行特効: 飛行特效
MSID_鎧特効: 鎧兵特效
MSID_魔物特効: 魔物特效
MSID_女武器威力２倍: 女武器威力２倍
MSID_魔法ＨＰ消費無し: 契約
MSID_ダメージ床無効_公開: 淨化
MSID_amiibo召喚: amiibo召喚
MSID_H_無し: 無
MSID_H_命中補正１: 朝對手死角射出箭矢\n高命中率
MSID_H_威力補正１: 施放蓄力的一擊
MSID_H_回避補正１: 施以著重回避的攻擊
MSID_H_手加減: 使對手的ＨＰ剩１
MSID_H_体当たり: 將我方單位\n推進１格
MSID_H_入れ替え: 與我方單位\n替換位置
MSID_H_命中補正２: 施以交叉斬擊\n高命中率
MSID_H_威力補正２: 放出提高威力的箭矢
MSID_H_回避補正２: 施以兼具回避的閃擊
MSID_H_必殺補正１: 施放大力一擊
MSID_H_魔法攻撃: 施放蘊含魔力的攻擊
MSID_H_とどめHP吸収: 若擊敗對手，\n則吸收其ＨＰ
MSID_H_切り込み: 戰鬥結束後，\n與對手替換位置
MSID_H_切り抜け: 戰鬥結束後，\n移動至對手後面１格
MSID_H_後手必殺: 施以強力的一擊，\n且必定後攻
MSID_H_射程＋１: 高舉劍\n攻擊遠處的敵人
MSID_H_特効馬: 對持有【騎馬】的對手\n具有攻擊特效
MSID_H_特効鎧: 對持有【鎧兵】的對手\n具有攻擊特效
MSID_H_特効鎧２: 對持有【鎧兵】的對手\n具有攻擊特效
MSID_H_特効魔: 對持有【魔物】系的對手\n具有攻擊特效
MSID_H_特効飛: 對持有【飛行】的對手\n具有攻擊特效
MSID_H_瀕死確殺: 若能擊敗對手，\n則攻擊必定命中
MSID_H_足止め: 若攻擊命中，則封鎖\n對手的移動１回合
MSID_H_魔封じ: 若攻擊命中，則封鎖\n對手的魔法１回合
MSID_H_HP吸収: 以所造成的敵人傷害\n回復自身ＨＰ
MSID_H_２連撃: 施放二連擊
MSID_H_HP減少分ダメ: 以自身所受的一半傷害\n增加攻擊力
MSID_H_速さダメージ: 以使用者的速度值\n增加其攻擊力
MSID_H_技ダメージ: 以使用者的技巧值\n增加其攻擊力
MSID_H_射程＋２: 攻擊遠處的對手
MSID_H_射程＋３: 攻擊極遠處的對手
MSID_H_地形無視: 無視地形進行攻擊
MSID_H_５連撃: 連續進行五次\n傷害值為一半的攻擊
MSID_H_必殺補正２: 使對手的\n一半防禦力無效
MSID_H_威力補正３: 施放威力強大的一擊
MSID_H_必中: 攻擊必定命中
MSID_H_G防御補正１: 物理攻擊所造成的\n傷害－５
MSID_H_G地形効果二倍: 地形效果變為兩倍
MSID_H_G物理間接半減: 遠距離物理攻擊所造成的\n傷害減半
MSID_H_G魔法反射: 將魔法攻擊反彈
MSID_H_G物理半減: 物理攻擊所造成的\n傷害減半
MSID_H_G魔法半減: 魔法攻擊所造成的\n傷害減半
MSID_H_鉄剣２: 不會受到對手的反擊
MSID_H_雷剣２: 對一名相鄰的敵人\n進行強力攻擊
MSID_H_金剣２: 若擊敗敵方，\n則可獲得食物
MSID_H_女剣２: 施放蘊含魔力的\n二連擊
MSID_H_鉄槍２: 對一名不相鄰的敵人\n進行擲槍攻擊
MSID_H_鋼槍２: 對一名相鄰的敵人\n進行蓄力攻擊
MSID_H_銀槍１: 進行此攻擊時，\n將獲得對魔法的抗性
MSID_H_銀槍２: 戰鬥結束後，\n使對手推進１格
MSID_H_殺弓: 進行高速的二連射
MSID_H_滅殺: 滅殺
MSID_H_アルム奥義: 阿雷武的奧義
MSID_H_セリカ奥義: 賽莉卡的奧義
MSID_H_トライアングル: 與姊妹聯手，\n進行連續攻擊
MSID_H_主人公: 主角
MSID_H_リゲル王家: 利蓋爾王族
MSID_H_ソフィア王家: 索菲亞王族
MSID_H_隣接回復: 每回合\n相鄰單位之ＨＰ皆回復５
MSID_H_自動回復: 每回合\nＨＰ皆回復５
MSID_H_自動回復大: 每回合\nＨＰ皆回復
MSID_H_自動回復祈祷師: 每回合\nＨＰ皆回復５
MSID_H_吸収: 吸收
MSID_H_一撃死無効: 使一擊死亡無效
MSID_H_神殺し: 可將【神】消滅
MSID_H_地形効果無効: 使地形效果無效
MSID_H_呪い: 以一定機率\n對使用者施放詛咒
MSID_H_呪い無効: 抑制詛咒的發生機率
MSID_H_魔法武器: 將此武器的攻擊\n視為魔法攻擊
MSID_H_威力固定: 固定威力值
MSID_H_瀕死攻撃: 進行瀕死攻擊
MSID_H_魔法回避: 進行魔法回避
MSID_H_良成長: 高成長
MSID_H_きまぐれ成長: 升級時，異於本身資質的部分\n將會成長
MSID_H_魔法射程＋１: 黑魔法的射程\n增加１格
MSID_H_魔法射程＋２: 黑魔法的射程\n增加２格
MSID_H_魔防＋: 魔防值提升５
MSID_H_魔法命中＋１０: 黑魔法的命中率\n提升１０％
MSID_H_魔法威力＋５: 黑魔法的攻擊力\n提升５
MSID_H_必殺全回避: 不會受到爆擊攻擊
MSID_H_対魔物増強: 對手持有【魔物】系時，\n力量＋１０
MSID_H_怨声: 不受攻擊射程影響，\n必定進行反擊
MSID_H_命中回避＋２０: 命中、回避＋１０
MSID_H_剣ダメージ半減: 劍所造成的傷害減半
MSID_H_槍ダメージ半減: 槍所造成的傷害減半
MSID_H_斧ダメージ半減: 斧所造成的傷害減半
MSID_H_弓ダメージ半減: 弓所造成的\n傷害減半
MSID_H_魔法ダメージ半減: 魔法所造成的\n傷害減半
MSID_H_対魔ダメージ半減: 【魔物】系所造成的\n傷害減半
MSID_H_弓ダメージ半減_兵種: 弓所造成的\n傷害減半
MSID_H_魔法ダメージ半減_兵種: 魔法所造成的\n傷害減半
MSID_H_弓魔ダメージ半減_道具: 弓、魔法所造成的\n傷害減半
MSID_H_消耗必殺: ＨＰ在一半以下時，\n爆擊率提升
MSID_H_巨大: 巨大
MSID_H_ダウンロード: 下載
MSID_H_交換禁止: 禁止交換
MSID_H_敗北条件: 敗北條件
MSID_H_強制キリバト: 強制切換戰鬥
MSID_H_強制オンバト: 強制地圖戰鬥
MSID_H_キリバト禁止: 禁止切換戰鬥
MSID_H_魔女ワープ: 傳送到對手附近，\n並進行行動
MSID_H_召喚数乱数のみ: 召喚數量僅隨機
MSID_H_召喚確率高: 高機率召喚
MSID_H_召喚必ず: 必定召喚
