MESS_ARCHIVE_Fld_拠点_ソフィア城_謁見の間


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這裡是國王的謁見廳。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我想應該是這座城堡裡\n最豪華的地方了吧。$k
MID_ADV調べる_kingchair_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是寶座。\n隨便亂摸好像會被罵……$k
MID_ADV調べる_wallA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是刻畫著瓦倫西亞歷史的浮雕。$k
MID_ADV調べる_wallA_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我小時候曾經跟賽莉卡\n在繪本裡看過。$k
MID_ADV調べる_wallB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是刻畫著瓦倫西亞歷史的浮雕。$k
MID_ADV調べる_wallB_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我小時候曾經跟賽莉卡\n在繪本裡看過。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是謁見廳呢。\n這裡是國王處理政務的地方。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E悲,|……我對這裡的回憶\n不是很美好。$k
MID_ADV調べる_kingchair_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa真是極盡奢華的寶座。$k
MID_ADV調べる_wallA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是描繪美拉大人與多瑪之戰的浮雕啊。$k
MID_ADV調べる_wallA_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa聽說它所刻畫的畫作，\n就收藏在美拉神殿。$k
MID_ADV調べる_wallB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是描繪美拉大人與多瑪之戰的浮雕啊。$k
MID_ADV調べる_wallB_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa聽說它所刻畫的畫作，\n就收藏在美拉神殿。$k
MID_ADV_調べるエリア_kingchair: 寶座
MID_ADV_調べるエリア_wallA: 牆上的浮雕
MID_ADV_調べるエリア_wallB: 牆上的浮雕
