MESS_ARCHIVE_GameData


Message Name: Message


MCID_RULE_敵全滅: 敵軍全滅
MCID_RULE_敵将撃破: 擊敗敵將
MBID_その他: 其他
MBID_謎の軍: 神秘軍隊
MBID_アルム軍: 阿雷武軍
MBID_セリカ軍: 賽莉卡軍
MBID_ミラ教団: 美拉教團
MBID_リゲル帝国軍: 利蓋爾帝國軍
MBID_ソフィア王国軍: 王國軍
MBID_ドーマ教団: 多瑪教團
MBID_ギース軍: 吉斯軍
MBID_ソフィア解放軍: 解放軍
MBID_魔物: 魔物
MBID_海賊: 海盜
MBID_盗賊: 盜賊
MBID_幽霊: 亡靈
MBID_屍兵: 死者的面具
MBID_幻影兵: 幻影兵
MBID_竜族: 龍的眷屬
MBID_H_その他: 其他\n其他勢力
MBID_H_謎の軍: 神秘軍隊\n所屬不明的勢力
MBID_H_アルム軍: 阿雷武軍\n阿雷武率領的勢力
MBID_H_セリカ軍: 賽莉卡軍\n賽莉卡率領的勢力
MBID_H_ミラ教団: 美拉教團\n信仰美拉的教團
MBID_H_リゲル帝国軍: 利蓋爾帝國軍\n利蓋爾帝國的正規部隊
MBID_H_ソフィア王国軍: 王國軍\n索菲亞王國的正規部隊
MBID_H_ドーマ教団: 多瑪教團\n信仰多瑪的教團
MBID_H_ギース軍: 吉斯軍\n盜賊王吉斯的勢力
MBID_H_ソフィア解放軍: 解放軍\n索菲亞解放軍的勢力
MBID_H_魔物: 魔物\n恐怖魔物的勢力
MBID_H_海賊: 海盜\n海盜的勢力
MBID_H_盗賊: 盜賊\n盜賊的勢力
MBID_H_幽霊: 亡靈\n遭人束縛住的靈魂
MBID_H_屍兵: 死者的面具\n徬徨於黑暗的受詛咒存在
MBID_H_幻影兵: 幻影兵\n藉由魔力誕生的幻影
MBID_H_竜族: 龍的眷屬\n太古時代就存在的種族
