MESS_ARCHIVE_System


Message Name: Message


MID_SYS_クラシック: 經典
MID_SYS_カジュアル: 輕鬆
MID_SYS_フェニックス: 不死鳥
MID_SYS_ノーマル: 普通
MID_SYS_ハード: 困難
MID_SYS_EN_レベル: Lv.
MID_SYS_EN_レベル２: LV
MID_SYS_EN_経験値: Ex.
MID_SYS_EN_経験値２: EXP
MID_SYS_ＨＰ: ＨＰ
MID_SYS_EN_ＨＰ: HP
MID_SYS_EN_ＭＨＰ: MHP
MID_SYS_クラス: 職種
MID_SYS_力: 力量
MID_SYS_魔力: 魔力
MID_SYS_技: 技巧
MID_SYS_速さ: 速度
MID_SYS_幸運: 幸運
MID_SYS_守備: 防守
MID_SYS_魔防: 魔防
MID_SYS_移動: 移動
MID_SYS_射程: 射程
MID_SYS_クラス_E: CLASS
MID_SYS_力_E: ATK
MID_SYS_魔力_E: ATK
MID_SYS_技_E: TEC
MID_SYS_速さ_E: SPD
MID_SYS_幸運_E: LUC
MID_SYS_守備_E: DEF
MID_SYS_魔防_E: RES
MID_SYS_移動_E: MOV
MID_SYS_特効: 特效
MID_SYS_EN_射程_魔力／２: HALF
MID_SYS_EN_射程_∞: INF
MID_SYS_射程_魔力: ATK
MID_SYS_射程_全体: 全體
MID_SYS_攻撃: 攻擊
MID_SYS_命中: 命中
MID_SYS_必殺: 爆擊
MID_SYS_回避: 回避
MID_SYS_必殺回避: 爆擊回避
MID_SYS_物理回避: 物理回避
MID_SYS_魔法回避: 魔法回避
MID_SYS_命中_E: HIT
MID_SYS_必殺_E: CRT
MID_SYS_物理回避_E: P.AVO
MID_SYS_魔法回避_E: M.AVO
MID_SYS_威力: 威力
MID_SYS_回復力: 回復力
MID_SYS_重さ: 重量
MID_SYS_消費ＨＰ: 消耗ＨＰ
MID_SYS_ＨＰ回復: 回復ＨＰ
MID_SYS_疲労回復: 回復疲勞
MID_SYS_疲労回復_なし: 無
MID_SYS_疲労回復_小: 小
MID_SYS_疲労回復_中: 中
MID_SYS_疲労回復_大: 大
MID_SYS_武器: 武器
MID_SYS_剣: 劍
MID_SYS_槍: 槍
MID_SYS_斧: 斧
MID_SYS_弓: 弓
MID_SYS_魔法: 魔法
MID_SYS_魔道書: 魔
MID_SYS_杖: 杖
MID_SYS_竜石: 龍石
MID_SYS_獣石: 獸石
MID_SYS_魔物: 爪
MID_SYS_ボス: 吐息
MID_SYS_道具: 道具
MID_SYS_支援: 支援
MID_SYS_レベルＳ: Ｓ
MID_SYS_レベルＡ: Ａ
MID_SYS_レベルＢ: Ｂ
MID_SYS_レベルＣ: Ｃ
MID_SYS_レベルＤ: Ｄ
MID_SYS_レベルＥ: Ｅ
MID_SYS_レベルＮ: －
MID_SYS_EN_レベルＳ: S
MID_SYS_EN_レベルＡ: A
MID_SYS_EN_レベルＢ: B
MID_SYS_EN_レベルＣ: C
MID_SYS_EN_レベルＤ: D
MID_SYS_EN_レベルＥ: E
MID_SYS_EN_レベルＮ: -
MID_SYS_待機不可: 無法待命
MID_SYS_スキップ中: 現正略過
MID_SYS_お任せ実行中: 解除號令
MID_SYS_お任せ解除中: 現正解除號令
MID_SYS_ターン数: 回合
MID_SYS_会話自動送り開始: 開啟自動對話
MID_SYS_会話自動送り停止: 關閉自動對話
MID_SYS_EN_軍資金単位: G
MID_SYS_銀貨: 古老銀幣
MID_SYS_金貨: 霸者金幣
MID_SYS_勝利条件: 勝利條件
MID_SYS_ミス: MISS
