MESS_ARCHIVE_Fld_拠点_フリアの港_出入り口


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa$E驚,|這裡就是阿卡奈亞陸地……\n竟然真的存在……$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa海上吹來的風好冰冷。\n感覺身體都要凍僵了。$k
MID_ADV調べる_cat_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是從沒見過的長毛貓。\n連生物都跟索菲亞不一樣呢。$k
MID_ADV調べる_fishnet_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa裡面裝了好多魚。\n這座港口的漁業似乎也很興盛。$k
MID_ADV調べる_weaponA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa有好多武器。\n這裡難道也有戰爭嗎？$k
MID_ADV調べる_weaponB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa總覺得氣氛森嚴……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這裡就是阿卡奈亞陸地啊。\n不曉得和瓦倫西亞有何不同？$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好冷的風。\n是從海上吹來的嗎？$k
MID_ADV調べる_cat_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa毛好長的貓咪啊。\n圓滾滾的真可愛。$k
MID_ADV調べる_fishnet_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa裡面裝了好多魚呢。\n捕魚方式似乎跟瓦倫西亞一樣。$k
MID_ADV調べる_weaponA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是武器啊。\n竟然有這麼多……$k
MID_ADV調べる_weaponB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這片陸地難道也有戰爭嗎？$k
MID_ADV_調べるエリア_cat: 貓
MID_ADV_調べるエリア_fishnet: 裝著魚的籃子
MID_ADV_調べるエリア_weaponA: 武器
MID_ADV_調べるエリア_weaponB: 武器
