MESS_ARCHIVE_Profile


Message Name: Message


MID_PROFILE_名前: 名字
MID_PROFILE_性別: 性別
MID_PROFILE_出身地: 出身地
MID_PROFILE_等級: 等級
MID_PROFILE_勲章: 勛章
MID_PROFILE_名声値: 名聲值
MID_PROFILE_モード: 模式
MID_PROFILE_難易度: 難易度
MID_PROFILE_メイン_説明_編集: 編輯
MID_PROFILE_メイン_説明_登録: 登錄‧更新
MID_PROFILE_性別_説明: 請選擇性別
MID_PROFILE_出身地_説明: 請選擇出身地
MID_PROFILE_フェイス_説明: 請選擇縮圖
MID_PROFILE_新規_キャンセル確認: 不登錄簡介卡，\n就沒辦法繼續下一步驟。\n要中斷登錄嗎？
MID_PROFILE_編集_キャンセル確認: 內容有變動。\n不更新就結束嗎？
MID_PROFILE_新規_登録確認: 要登錄簡介卡，\n繼續下一步驟嗎？
MID_PROFILE_編集_登録確認: 要更新簡介卡後，\n結束編輯嗎？
MID_PROFILE_新規_名前が空: 請輸入名字。
MID_PROFILE_勲章リスト_タイトル: 勛章
MID_PROFILE_性別_男性: 男
MID_PROFILE_性別_女性: 女
MID_PROFILE_性別_その他: 其他
MID_PROFILE_出身地_設定なし: 
MID_PROFILE_出身地_アルバニア: 阿爾巴尼亞
MID_PROFILE_出身地_アンドラ: 安道爾
MID_PROFILE_出身地_アンギラ: 安圭拉
MID_PROFILE_出身地_アンティグア・バーブーダ: 安地卡及巴布達
MID_PROFILE_出身地_アルゼンチン: 阿根廷
MID_PROFILE_出身地_アルバ: 阿魯巴
MID_PROFILE_出身地_オーストラリア: 澳大利亞
MID_PROFILE_出身地_オーストリア: 奧地利
MID_PROFILE_出身地_アゼルバイジャン: 亞塞拜然
MID_PROFILE_出身地_バハマ: 巴哈馬
MID_PROFILE_出身地_バーレーン: 巴林
MID_PROFILE_出身地_バルバドス: 巴貝多
MID_PROFILE_出身地_ベルギー: 比利時
MID_PROFILE_出身地_ベリーズ: 貝里斯
MID_PROFILE_出身地_バミューダ: 百慕達
MID_PROFILE_出身地_ボリビア: 玻利維亞
MID_PROFILE_出身地_ボスニア・ヘルツェゴビナ: 波士尼亞與赫塞哥維納
MID_PROFILE_出身地_ボツワナ: 波札那
MID_PROFILE_出身地_ブラジル: 巴西
MID_PROFILE_出身地_英領ヴァージン諸島: 英屬維京群島
MID_PROFILE_出身地_ブルガリア: 保加利亞
MID_PROFILE_出身地_カナダ: 加拿大
MID_PROFILE_出身地_ケイマン諸島: 開曼群島
MID_PROFILE_出身地_チャド: 查德
MID_PROFILE_出身地_チリ: 智利
MID_PROFILE_出身地_中国: 中國
MID_PROFILE_出身地_コロンビア: 哥倫比亞
MID_PROFILE_出身地_コスタリカ: 哥斯大黎加
MID_PROFILE_出身地_クロアチア: 克羅埃西亞
MID_PROFILE_出身地_キプロス: 賽普勒斯
MID_PROFILE_出身地_チェコ: 捷克
MID_PROFILE_出身地_デンマーク: 丹麥
MID_PROFILE_出身地_ジブチ: 吉布地
MID_PROFILE_出身地_ドミニカ国: 多米尼克
MID_PROFILE_出身地_ドミニカ共和国: 多明尼加
MID_PROFILE_出身地_エクアドル: 厄瓜多
MID_PROFILE_出身地_エジプト: 埃及
MID_PROFILE_出身地_エリトリア: 厄利垂亞
MID_PROFILE_出身地_エストニア: 愛沙尼亞
MID_PROFILE_出身地_フィンランド: 芬蘭
MID_PROFILE_出身地_フランス: 法國
MID_PROFILE_出身地_フランス領ギアナ: 法屬圭亞那
MID_PROFILE_出身地_ドイツ: 德國
MID_PROFILE_出身地_ジブラルタル: 直布羅陀
MID_PROFILE_出身地_ギリシャ: 希臘
MID_PROFILE_出身地_グレナダ: 格瑞那達
MID_PROFILE_出身地_グアドループ: 法屬瓜地洛普
MID_PROFILE_出身地_グアテマラ: 瓜地馬拉
MID_PROFILE_出身地_ガーンジー: 根西島
MID_PROFILE_出身地_ガイアナ: 蓋亞那
MID_PROFILE_出身地_ハイチ: 海地
MID_PROFILE_出身地_ホンジュラス: 宏都拉斯
MID_PROFILE_出身地_ホンコン: 香港
MID_PROFILE_出身地_ハンガリー: 匈牙利
MID_PROFILE_出身地_アイスランド: 冰島
MID_PROFILE_出身地_インド: 印度
MID_PROFILE_出身地_インドネシア: 印尼
MID_PROFILE_出身地_アイルランド: 愛爾蘭
MID_PROFILE_出身地_マン島: 曼島
MID_PROFILE_出身地_イタリア: 義大利
MID_PROFILE_出身地_ジャマイカ: 牙買加
MID_PROFILE_出身地_日本: 日本
MID_PROFILE_出身地_ジャージー: 澤西島
MID_PROFILE_出身地_ヨルダン: 約旦
MID_PROFILE_出身地_クウェート: 科威特
MID_PROFILE_出身地_ラトビア: 拉脫維亞
MID_PROFILE_出身地_レソト: 賴索托
MID_PROFILE_出身地_リヒテンシュタイン: 列支敦斯登
MID_PROFILE_出身地_リトアニア: 立陶宛
MID_PROFILE_出身地_ルクセンブルク: 盧森堡
MID_PROFILE_出身地_マカオ: 澳門
MID_PROFILE_出身地_マケドニア: 馬其頓
MID_PROFILE_出身地_マレーシア: 馬來西亞
MID_PROFILE_出身地_マリ: 馬利
MID_PROFILE_出身地_マルタ: 馬爾他
MID_PROFILE_出身地_マルティニーク: 法屬馬丁尼克
