MESS_ARCHIVE_ResidentMenu


Message Name: Message


MID_MENU_戻る: 返回
MID_MENU_決定: 確定
MID_MENU_外す: 卸下
MID_MENU_初期化: 初始化
MID_H_無し: 無
MID_H_能力値_基本値: 基本值
MID_H_能力値_調子: 狀態
MID_H_能力値_弱体: 減少
MID_H_能力値_半減: 減半
MID_H_能力値_消費: 繼續移動
MID_H_能力値_所持強化: $a$a0（持有）
MID_MENU_部隊表: 部隊表
MID_H_MENU_部隊表: 可確認出戰中的單位一覽表
MID_MENU_指南: 指南
MID_H_MENU_指南: 可確認遊戲的玩法
MID_MENU_環境: 環境
MID_H_MENU_環境: 可設定遊戲的遊玩環境
MID_MENU_セーブ: 儲存
MID_H_MENU_セーブ: 可保存現在的遊戲狀況
MID_MENU_命令: 號令
MID_H_MENU_命令: 號令部隊
MID_MENU_突撃: 突擊
MID_H_MENU_突撃: 接近附近的敵人並攻擊
MID_MENU_集合: 集合
MID_H_MENU_集合: 跟隨主角，在其周圍戰鬥
MID_MENU_退却: 撤退
MID_H_MENU_退却: 逃離戰場（第３回合後可使用）
MID_H_MENU_退却不可_行動済み: 已經有單位行動完畢，無法撤退
MID_H_MENU_退却不可_イベント: 無法從這場戰鬥中撤退
MID_MENU_退却確認: 真的要撤退嗎？
MID_MENU_ミラの歯車: 美拉齒輪
MID_H_MENU_ミラの歯車: 使用美拉的力量，讓時間倒流
MID_H_MENU_ミラの歯車メニュー: 使用美拉齒輪。
MID_MENU_中断: 中斷
MID_H_MENU_中断: 保存現在的狀態後中斷遊戲
MID_MENU_中断確認: 要保存現在的狀態後，中斷遊戲嗎？\n（新的中斷資料會覆蓋舊有中斷資料。\n下次繼續遊戲，中斷資料會被刪除。）
MID_MENU_降参: 投降
MID_H_MENU_降参: 結束目前的戰鬥
MID_MENU_降参確認: 要結束目前的戰鬥嗎？
MID_MENU_終了: 結束
MID_H_MENU_終了: 結束我軍行動，換敵軍行動
MID_MENU_ターン終了確認: 要結束這回合嗎？
MID_MENU_未行動: 尚未行動
MID_ORDER_全力: 全力
MID_ORDER_遊撃: 游擊
MID_ORDER_後退: 後退
MID_ORDER_集合: 集合
MID_ORDER_号令解除: 解除號令
MID_ORDER_閉じる: 關閉
MID_H_ORDER_命令: 可以對尚未行動的夥伴\n下達指示
MID_H_ORDER_全力: 全力攻擊\n敵人
MID_H_ORDER_遊撃: 各自判斷情況，\n採取最合適的戰鬥方式
MID_H_ORDER_後退: 和敵人保持距離並待命
MID_H_ORDER_集合: 集合到主角身邊
MID_H_ORDER_号令解除: 解除正在實行的號令
MID_H_ORDER_閉じる: 不下達號令並返回
MID_MENU_制圧: 壓制
MID_MENU_制圧確認: 此地圖上的戰鬥將會結束。是否確認？
MID_MENU_離脱: 脫離
MID_MENU_離脱確認: 要脫離嗎？
MID_MENU_突破: 突破
MID_MENU_突破確認: 要突破嗎？
MID_MENU_会話: 對話
MID_MENU_攻撃: 攻擊
MID_MENU_戦技: 戰技
MID_MENU_黒魔法: 黑魔法
MID_MENU_白魔法: 白魔法
MID_MENU_杖: 杖
MID_MENU_特殊杖確認: $a要使用$a0嗎？
MID_MENU_破壊: 破壞
MID_MENU_訪問: 訪問
MID_MENU_扉: 門
MID_MENU_宝箱: 寶箱
MID_MENU_罠解除: 除陷阱
MID_MENU_持ち物: 持有物
MID_MENU_交換: 易物
MID_MENU_交換確認: 確定要交換嗎？
MID_MENU_持ち物無し: 未持有任何道具
MID_MENU_輸送隊: 行囊
MID_MENU_食事: 吃飯
MID_MENU_救出: 救出
MID_MENU_入れ替え: 替換
MID_MENU_階段: 樓梯
MID_MENU_転移: 轉移
MID_MENU_ワープ: 傳送
MID_MENU_障害物取得: 取得
MID_MENU_障害物設置: 設置
MID_MENU_待機: 待命
MID_MENU_持ち物_装備: 裝備
MID_MENU_持ち物_外す: 卸下
MID_MENU_持ち物_並べ替え: 變更排序
MID_MENU_持ち物_使う: 使用
MID_MENU_持ち物_使う確認: $a要使用$a0嗎？
MID_MENU_持ち物_渡す確認: $a要交出$a0嗎？
MID_MENU_持ち物_食べる: 食用
MID_MENU_持ち物_食べる確認: $a要食用$a0嗎？
MID_MENU_持ち物_飲む: 飲用
MID_MENU_持ち物_飲む確認: $a要飲用$a0嗎？
MID_MENU_持ち物_スキルの書_確認: $a要學會$a0嗎？\n（技能欄裡如果沒有空位，\n　學會的技能會新增到\n　更換技能的已學會技能欄位）
MID_MENU_持ち物_交換: 易物
MID_MENU_持ち物_捨てる: 丟棄
MID_MENU_持ち物_捨てる説明: 無法持有更多道具。\n請選擇１樣道具\n丟棄。
MID_MENU_持ち物_送る説明: 無法持有更多道具。\n請選擇要裝進\n行囊裡的道具。
MID_MENU_持ち物_捨てる確認: $a真的要丟棄$a0嗎？
MID_MENU_持ち物_送る確認: $a要把$a0裝進行囊嗎？
MID_MENU_輸送隊_お供え説明: 請選擇要\n上供的食物。
MID_MENU_輸送隊_捨てる説明: 行囊已經裝滿了。\n請選擇要丟棄的\n道具。
MID_MENU_輸送隊_配達説明: 請選擇要商人\n保管的道具。
MID_MENU_輸送隊_渡す説明: 請選擇要交出的\n道具。
MID_MENU_輸送隊_見せる説明: 請選擇要展現的\n道具。
MID_MENU_スキル_忘却確認: $a要卸下$a0嗎？
MID_MENU_スキル_忘却: 裝備的技能\n太多了。\n請選擇１種\n技能卸下。
MID_MENU_クラスチェンジ確認: $a要轉職成$a0嗎？
MID_MENU_クラスチェンジ確認_アイテム使用: $a要使用$a0\n轉職成$a1嗎？
MID_MENU_エターナル確認: 要將等級上限提升５個等級嗎？
MID_MENU_仲間入り確認: $a要讓$a0成為夥伴嗎？\n（即使不成為夥伴，\n也會新增到追隨者名錄中）
MID_MENU_召喚_限界: 幻影兵的數量已達上限
MID_MENU_クラスチェンジ: 轉職
MID_H_MENU_クラスチェンジ: 進行轉職
MID_MENU_お供え: 上供
MID_H_MENU_お供え: 上供食物，回復疲勞
MID_H_MENU_お供え_歯車: 上供食物，回復疲勞並修復美拉齒輪
