MESS_ARCHIVE_JobIntro


Message Name: Message


MID_兵種紹介_使用武器_1種: $a武器：$a0
MID_兵種紹介_使用武器_2種: $a武器：$a0、$a1
MID_兵種紹介_キャッチコピー_村人男: 無限的可能性
MID_兵種紹介_キャッチコピー_ソルジャー男: 負責前線的槍步兵
MID_兵種紹介_キャッチコピー_ナイト男: 機動性優異的騎兵
MID_兵種紹介_キャッチコピー_ペガサスナイト女: 翱翔天空的純白騎士
MID_兵種紹介_キャッチコピー_アーチャー男: 來自射程外的一擊
MID_兵種紹介_キャッチコピー_パラディン女: 榮譽感高的聖騎士
MID_兵種紹介_キャッチコピー_ボウナイト男: 有威脅性的弓騎兵
MID_兵種紹介_キャッチコピー_魔戦士男: 異形之影
MID_兵種紹介_キャッチコピー_聖女: 神聖的少女
MID_兵種紹介_キャッチコピー_ゴールドナイト男: 高潔騎士的頂點
MID_兵種紹介_キャッチコピー_戦士男: 勇敢的旗幟
MID_兵種紹介_キャッチコピー_魔道士女: 魔道的專家
MID_兵種紹介_キャッチコピー_魔道士男: 魔道的專家
MID_兵種紹介_キャッチコピー_シスター女: 拘謹的修女
MID_兵種紹介_キャッチコピー_傭兵男: 戰鬥的專家
MID_兵種紹介_キャッチコピー_アーマー男: 值得依靠的軍團之盾
MID_兵種紹介_キャッチコピー_スナイパー男: 射穿敵人的遠距離射擊
MID_兵種紹介_キャッチコピー_剣士男: 千錘百鍊的必殺劍
MID_兵種紹介_キャッチコピー_バロン男: 銅牆鐵壁的移動要塞
MID_兵種紹介_キャッチコピー_ファルコンナイト女: 受神祝福的聖潔羽翼
MID_兵種紹介_キャッチコピー_賢者男: 極其睿智的存在
MID_兵種紹介_キャッチコピー_神官セ: 美麗的魔法劍客
MID_兵種紹介_説明_村人男: 拿起武器的\n平凡村民。\n戰鬥能力雖低，\n卻蘊藏了可以\n轉職為各種\n職業的極大\n可能性。
MID_兵種紹介_説明_ソルジャー男: 持槍戰鬥的\n最基礎的步兵。\n攻擊力和防守力\n比較優秀一點，\n也沒有特別\n顯著的弱點。
MID_兵種紹介_説明_ナイト男: 騎著軍馬，\n憑藉高機動性在\n戰場奔馳的騎士。\n在落腳地\n不穩的地方，\n移動力會大幅下降。
MID_兵種紹介_説明_ペガサスナイト女: 騎著飛馬的騎士。\n特徵是可以飛越\n各種障礙物\n而移動。\n因為飛在空中，\n所以無法受惠於\n地形效果。
MID_兵種紹介_説明_アーチャー男: 會使用弓的\n士兵。\n可以從敵人\n無法反擊的\n遠處\n射箭攻擊。
MID_兵種紹介_説明_パラディン女: 聲望很高的\n高階騎士。\n戰鬥能力和機動性\n都受到磨練，\n可以隨機應變面對\n所有戰況。
MID_兵種紹介_説明_ボウナイト男: 持弓作戰的騎兵。\n不僅射程極長，\n機動性也很高，\n在戰場上\n是非常可靠的\n存在。
MID_兵種紹介_説明_魔戦士男: 似乎有點異國氣質\n的神秘劍客。\n不僅具有優秀的\n體能，\n對魔法也有\n非常高的抗性。
MID_兵種紹介_説明_聖女: 侍奉神明的\n純潔少女。\n戰鬥能力雖然\n不是很強，\n但會用強大的\n治癒之力，\n進行可靠支援。
MID_兵種紹介_説明_ゴールドナイト男: 全身穿戴黃金\n鎧甲的最強戰士。\n在所有職業中以最大\n移動力和一夫當關的\n強度傲視群倫，\n是沒有破綻的存在。
MID_兵種紹介_説明_戦士男: 會使用劍，\n各項能力分配\n非常平均。\n可以應付所有\n戰況的\n萬能型單位。
MID_兵種紹介_説明_魔道士女: 身懷強大的魔力，\n對黑魔法運用自如的\n女性魔道士。\n最大的特徵是\n魔法不會受到\n敵人的地形效果\n影響。
MID_兵種紹介_説明_魔道士男: 身懷強大的魔力，\n對黑魔法運用自如的\n男性魔道士。\n最大的特徵是\n魔法不會受到\n敵人的地形效果\n影響。
MID_兵種紹介_説明_シスター女: 侍奉神明的修女。\n會使用白魔法，\n是軍團裡貴重的\n回復單位。戰鬥能力\n很低，站上前線將會\n伴隨風險。
MID_兵種紹介_説明_傭兵男: 拿著劍走過無數\n戰場的專家。\n具有敏捷的速度和\n高超的技巧，\n容易使出\n爆擊。
MID_兵種紹介_説明_アーマー男: 擁有傲人的高強\n防守力，在前線成為\n可靠的盾牌。\n身穿厚重鎧甲的\n代價就是犧牲了\n敏捷的動作。
MID_兵種紹介_説明_スナイパー男: 將弓的能力發揮到\n極致的遠距離攻擊\n專家。\n射程很長，\n卻也能確實地\n殺死遠處的敵人。
MID_兵種紹介_説明_剣士男: 身懷優秀技巧的\n出色劍客。\n通過無數戰鬥\n磨練出來的劍技，\n可以確實地\n讓敵人斷氣。
MID_兵種紹介_説明_バロン男: 以凌駕他人的攻擊力\n與超絕的防守力\n為豪。機動性上雖比\n別人慢一步，但整體\n來說沒有破綻。
MID_兵種紹介_説明_ファルコンナイト女: 騎著長角的飛馬，\n在天空飛翔的\n神聖騎士。\n擁有神聖的力量，\n對魔物具有\n壓倒性的攻擊力。
MID_兵種紹介_説明_賢者男: 累積了經驗的\n男魔道士可成為的\n偉大存在。\n除了強大的黑魔法，\n也能使用\n白魔法。
MID_兵種紹介_説明_神官セ: 侍奉神明的\n美麗魔法劍客。\n不只會用劍，\n也能自在地\n運用黑、白兩種\n魔法。
