MESS_ARCHIVE_Fld_拠点_ギースの砦_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa好古老的堡壘……$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa既然位於海邊，\n應該是為了抵禦海盜而建造的吧。$k
MID_ADV調べる_clash_parts_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa牆壁受損出現崩塌。$k
MID_ADV調べる_clash_wall_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa牆壁受損出現崩塌。$k
MID_ADV調べる_waterjug_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是水瓶。\n不知道是從哪裡汲水回來？$k
MID_ADV調べる_weapon_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這些是堡壘主人所用的武器嗎？\n雜亂地丟在地上。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好古老的堡壘呢。\n根據紀錄，似乎建造於兩百年前。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa因為沙漠溫差大，\n所以導致建築物損壞得快嗎？$k
MID_ADV調べる_clash_parts_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa牆壁受損崩塌了呢。$k
MID_ADV調べる_clash_wall_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa牆壁受損崩塌了呢。$k
MID_ADV調べる_waterjug_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是水瓶呢。\n在沙漠中確保飲水是最重要的一件事。$k
MID_ADV調べる_weapon_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa武器雜亂地散落一地呢。$k
MID_ADV_調べるエリア_clash_parts: 崩塌的牆壁
MID_ADV_調べるエリア_clash_wall: 崩塌的牆壁
MID_ADV_調べるエリア_waterjug: 水瓶
MID_ADV_調べるエリア_weapon: 武器
