MESS_ARCHIVE_後日談


Message Name: Message


MID_AFT_DLCで死亡: 在戰爭中倒下後辭世……
MID_AFT_汎用死亡: $a安詳地長眠於$a0……
MID_AFT_汎用死亡_レギュラー: 由於在戰鬥中負傷，\n戰爭結束後沒多久\n便離開了人世。
MID_AFT_アルム: 身為瓦倫西亞統一王國首任國王，\n將畢生奉獻於復興陸地。\n後世如此傳頌：\n「斬斷諸神惡鎖\n締造吾輩千年王朝者。\n切勿忘懷――\n吾輩聖王阿雷武一世。」
MID_AFT_セリカ: 爾後與阿雷武結為連理，\n成為瓦倫西亞統一王國首任王后。\n以她的溫柔與才智\n協助年輕國王\n奠定了瓦倫西亞王國的基礎。\n據說人民相信\n她是美拉的轉世，\n並由衷地敬愛她。
MID_AFT_マイセン: 擔任瓦倫西亞統一王國的宰相。\n以阿雷武一世國王的左右手身分，\n為重建王國盡心盡力。\n據說國王夫婦始終視他為\n親生祖父般景仰。
MID_AFT_ノーマ: 統一了美拉與多瑪\n兩個教團，\n並成為其最高祭司。\n即使受到\n數萬信眾所崇拜，\n似乎仍不改\n其頑皮的個性。
MID_AFT_ルカ: 加入了瓦倫西亞統一王國的\n騎士團。\n引退後則開設學堂，\n竭盡全力地教育眾多人民。\n據說他沉穩而理智的性格\n受到大家景仰，\n圍繞他身旁的人\n總是絡繹不絕。
MID_AFT_クリフ: 戰爭後，便向阿雷武告別，\n從此銷聲匿跡，\n再也沒有人見過他。\n有人謠傳他到了其他陸地旅行，\n但此說法真偽不明。\n幾十年後，一名自稱是他兒子的青年\n現身於瓦倫西亞並為國王效勞。\n據說是名非常優秀的魔道士。
MID_AFT_ロビン: 加入了瓦倫西亞統一王國的\n騎士團。\n由於其耿直的個性，\n畢生以國王阿雷武摯友的身分，\n盡所能協助國王。\n據說因深受國王信賴，\n最後將一座城交由他治理。
MID_AFT_ロビン_1: 因無法接受格萊的死\n而突然消聲匿跡。\n幾年後，卻又忽然現身。\n在國王阿雷武的勸說下\n加入了騎士團，\n但他變得既寡言又嚴格，\n據說與從前判若兩人。
MID_AFT_グレイ: 加入了瓦倫西亞統一王國的\n騎士團，\n為復興陸地盡心盡力。\n在與羅賓的較勁中脫穎而出，\n順利贏得克萊爾的芳心。\n常自豪地說：\n「男人靠的不是外表，是內在。」
MID_AFT_グレイ_1: 對羅賓的死悲傷不已，\n過著每天借酒澆愁的生活，\n在克萊爾的鼓勵下，因而振作起來。\n婉拒加入王國騎士團，\n並與克萊爾靜靜地共度餘生。\n據說他以朋友之名替兒子命名，\n並且疼愛有加。
MID_AFT_グレイ_2: 痛失所愛之人後，\n即使明知不適合自己，\n卻仍獨自踏上旅途，一去不返。\n據說朋友們想盡辦法\n尋找他的下落，但在那之後，\n便沒有人再見過他了。
MID_AFT_エフィ: 她回到拉姆村，\n過著原本的生活，\n但卻始終無法忘懷阿雷武。\n後來雖與對此毫不在意，\n並熱烈追求她的男人在一起，\n但她偶爾還是會消失蹤影，\n讓家人擔心不已。
MID_AFT_クレア: 加入了瓦倫西亞統一王國的\n騎士團，\n她為復興陸地盡心盡力。\n在格萊的熱烈追求下，\n與他結為連理。\n據說即使身為人妻人母，\n仍騎著飛馬翱翔天際，\n不斷讓周遭的人為她捏把冷汗。
MID_AFT_クレア_1: 「格萊啊……\n你實在太自私了。」\n雖然痛恨早一步辭世的格萊，\n但還是加入了瓦倫西亞騎士團，\n為其發展帶來貢獻。\n據說她那帶有憂愁的美貌，\n被譽為騎士團之花。
MID_AFT_クレーベ: 擔任瓦倫西亞統一王國的\n騎士團長。\n由於其實力及公正無私的態度，\n廣為各階層的人們所信任，\n並對騎士團的發展有莫大貢獻。\n據說還娶了美麗的妻子，\n其幸福模樣令人們羨慕不已。
MID_AFT_クレーベ_1: 心懷痛失瑪蒂爾達的哀傷，\n擔任瓦倫西亞統一王國的\n騎士團長。但幾年後，\n在與海盜的戰鬥中喪命。\n據說人們對這位偉大騎士的死\n感到哀傷不已，\n並深深緬懷。
MID_AFT_フォルス: 加入了瓦倫西亞統一王國的\n騎士團，\n為復興陸地盡心盡力。\n隨著年紀增長，\n變得更加沉穩且深思熟慮，\n據說他以副官之姿，\n經常從旁協助克雷貝。
MID_AFT_フォルス_1: 加入了瓦倫西亞統一王國的\n騎士團，\n並繼承故人克雷貝的遺志，\n畢生致力於騎士團的發展。\n隨著年紀增長，\n變得更加沉穩且深思熟慮。\n據說人們在他身上，\n彷彿看見了克雷貝的影子。
MID_AFT_フォルス_2: 加入了瓦倫西亞統一王國的\n騎士團。\n或許是受到帕伊宋逝世的打擊，\n他自願前往邊境，\n竭力平息地方動亂。\n據說最後與當地的女性成婚，\n從此再也沒回過王都。
MID_AFT_パイソン: 婉拒加入騎士團，轉而擔任\n保護村鎮遠離盜賊魔爪的\n自衛團團長，\n在邊境悠哉度日。\n據說偶當舊友來訪時，\n便會徹夜飲酒到天明。
MID_AFT_パイソン_1: 加入了瓦倫西亞統一王國的\n騎士團。\n或許是繼承了弗魯斯的遺志，\n他跟以前判若兩人，\n積極地展開活動。\n但幾年後，\n他為鎮壓內亂而趕赴戰場，\n於戰爭中負傷，年紀輕輕便辭世。
MID_AFT_メイ: 回到了諾瓦島後，\n像以前一樣與波伊\n一同在修道院裡工作。\n儘管兩人爭吵不斷，\n仍結為連理，並育有多子。\n據說在島上度過了幸福的一生。
MID_AFT_メイ_1: 雖然失去鬥嘴的好友波伊後\n過著消沉的每一天，\n但受到周遭人們的鼓勵\n讓她重拾了開朗的本性。\n據說她在諾瓦島的修道院裡\n幫助了許多人，且深受景仰。
MID_AFT_シルク: 為了救助\n因戰亂而受傷的人們\n而前往了舊利蓋爾地區，\n據說雖然就此失去音信，\n但她在各地救助人們的軼事，\n仍一直流傳。
MID_AFT_ジェニー: 似乎與意想不到的對象\n墜入情網，並結為連理。\n至於對象究竟是誰……\n不管誰開口問，\n她都只笑而不答。
MID_AFT_ボーイ: 回到了諾瓦島的修道院，\n歷經諸多波折後，與梅伊結為連理。\n雖然育有多子讓他們忙碌不堪\n且爭吵不斷，\n但對他們而言，\n或許這就是幸福吧。
MID_AFT_ボーイ_1: 在梅伊早他一步離世後，\n才察覺到自己對她的心意。\n他心懷這份悔意努力修行，\n繼諾瑪之後當上了祭司。\n據說他一生都在諾瓦島的修道院，\n為貧窮的人們奉獻己身。
MID_AFT_コンラート: 戰後便放下武器，\n嶄露擔任文官的才能。\n於瑪伊森引退後擔任宰相，\n替王國的經濟發展帶來莫大貢獻。\n據說傾慕他的女性不計其數，\n但他卻選擇孤獨一生。
MID_AFT_カムイ: 協助傑西\n建立起傭兵王國，\n並暫時居留在那裡。\n但或許是耐不住漂泊的天性，\n某天他忽然消失了蹤影，\n從此便下落不明。
MID_AFT_カムイ_1: 於過去的吉斯領地上，\n建立起由傭兵組成的新國家。\n似乎與瓦倫西亞統一王國之間\n關係良好，一旦遭逢緊急狀況，\n甚至會應國王請託，派兵協助。\n之後他因其功績\n而被稱為沙漠的傭兵王。
MID_AFT_レオ: 加入了瓦倫西亞統一王國的\n騎士團。\n雖總是和巴爾博一起行動，\n但因有傷在身而提早引退，\n隨後便在城裡當貿易商。\n據說總是開朗又自由地\n享受人生。
MID_AFT_レオ_1: 為巴爾博的死深感哀痛，\n因而暫時消失蹤影。\n但之後便加入\n瓦倫西亞統一王國的騎士團，\n展現以一當十的英姿。\n亦十分熱心於教育後進，\n為騎士團的發展帶來莫大貢獻。
MID_AFT_バルボ: 加入了瓦倫西亞統一王國的\n騎士團，\n並受阿雷武所託，\n將年輕士兵們培育成優秀人材。\n據說其豪放磊落又誠實的性格\n深受眾人景仰，\n並度過了幸福的晚年生活。
MID_AFT_マチルダ: 她脫下戰袍，\n成為克雷貝的妻子，\n此後便完全消失於公眾前，\n在背後默默支持著丈夫。\n傳說的女騎士瑪蒂爾達，\n此名號將會永久留存於\n瓦倫西亞的歷史上吧。
MID_AFT_マチルダ_1: 痛失克雷貝後，她不得已\n接手領導瓦倫西亞騎士團，\n並將這份哀傷深藏於心，\n致力於王國發展，貢獻甚大。\n傳說的女騎士瑪蒂爾達，\n此名號將會永久留存於\n瓦倫西亞的歷史上吧。
MID_AFT_アトラス: 他回到有弟弟們等待的山中村落，\n像往常一樣以伐木為生。\n他保護村落遠離盜賊魔爪，\n似乎因此深受民眾愛戴。\n據說他雖已從軍中退任，\n但危機時，只要是王后的相求，\n會不顧一切地盡速前往赴命。
MID_AFT_ジェシー: 於過去的吉斯領地上\n建立了新的傭兵國家，\n並自立為王。\n據說一旦遭逢緊急狀況，\n便會積極協助阿雷武一世等人。\n也被後人稱作沙漠的傭兵王，\n至今仍繼續流傳著。
MID_AFT_ソニア: 據說她為了尋找可醫治\n被變成魔女女性的方法，\n而四處流浪。\n於某地失去消息後，\n從此便行蹤不明。\n就在她消失的那段期間前後，\n傳出恐山的魯伊巴巴館裡，\n疑似有新的魔女入住……
MID_AFT_ディーン: 戰爭結束後，他與勇者之劍\n突然一同消失無蹤。\n之後便完全沒有他的相關紀錄，\n一切成謎。
MID_AFT_セーバー: 協助傑西建立起傭兵王國，\n一同打造其基礎。\n自己也以傭兵的身分\n畢生投入戰鬥中，\n並曾數次\n拯救瓦倫西亞脫離危機。\n據說其美麗妻子\n總是常伴左右。
MID_AFT_セーバー_1: 與美麗的妻子一同\n為復興瓦倫西亞統一王國\n盡心盡力。\n據說他雖不隸屬於騎士團，\n但憑著過去傭兵的經驗\n四處奔波，並且平定了\n各式各樣的紛爭。
