MESS_ARCHIVE_TextEdit


Message Name: Message


MID_TEXTEDIT_ひらがな: 平假名
MID_TEXTEDIT_カタカナ: 片假名
MID_TEXTEDIT_漢字: 漢字
MID_TEXTEDIT_英数字: ABC
MID_TEXTEDIT_ハングル: 韓
MID_TEXTEDIT_一字削除: 刪除
MID_TEXTEDIT_文字未入力: 尚未輸入文字。
MID_TEXTEDIT_文字警告: 所輸入的名字包含\n無法顯示的字串或是數字，\n因此有可能無法完整呈現給收訊者。\n是否確認無誤？
MID_TEXTEDIT_文字警告_錬成: 所輸入的名字包含\n無法顯示的字串或是數字，\n因此有可能無法完整呈現給收訊者。\n是否確認無誤？
MID_TEXTEDIT_文字禁止: 內容含有無法顯示的字串，\n或是含有超過５字元的數字。\n請重新輸入。
MID_TEXTEDIT_名前確認: 這個名字在通訊時，\n會對其他玩家公開顯示。\n是否確認無誤？
MID_TEXTEDIT_メッセージ確認: 這則訊息在通訊時，\n會對其他玩家公開顯示。\n是否確認無誤？
