MESS_ARCHIVE_Fld_拠点_ドゼーの砦_作戦室


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這裡是作戰室嗎？$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa都是一些看起來頗昂貴的擺飾。\n應該是多哲的喜好吧。$k
MID_ADV調べる_picture_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是描繪索菲亞城堡的畫。$k
MID_ADV調べる_bookshelfA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa擺了好多看起來很難懂的書。$k
MID_ADV調べる_bookshelfB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa政治、魔道、故事……\n種類還真多。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這裡是作戰室嗎？$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa有許多似乎很昂貴的擺飾呢。\n顯然是富貴人家的東西。$k
MID_ADV調べる_picture_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這是索菲亞城堡嗎？\n感覺是幅很有價值的畫。$k
MID_ADV調べる_bookshelfA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好大的書架啊。\n上面擺著各式各樣的書籍呢。$k
MID_ADV調べる_bookshelfB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa政治、魔道，連故事書都有。\n大概是位愛書人吧？$k
MID_ADV_調べるエリア_picture: 繪畫
MID_ADV_調べるエリア_bookshelfA: 書架
MID_ADV_調べるエリア_bookshelfB: 書架
