MESS_ARCHIVE_Link


Message Name: Message


MID_LINK_NSD_CONFIRM: 發佈資料已毀損。\n將刪除發佈資料。
MID_LINK_EXT_CONFIRM: 新增資料已毀損。\n將修復新增資料。
MID_LINK_DLC_CONFIRM: 新增內容已毀損。\n將重建新增內容。
MID_LINK_NSD_RESULT: 已刪除發佈資料。\n請重新登錄\n悄悄通訊。
MID_LINK_EXT_RESULT: 已修復新增資料。\n請重新登錄悄悄通訊\n或是新增內容。
MID_LINK_DLC_RESULT: 已重建新增內容。
MID_LINK_PC_P2P: 『和其他使用者的網路通訊』\n受到家長或監護人所限制，\n因此無法使用本功能。
MID_LINK_PC_RICH_UGC: 『照片、圖片、聲音、\n影片、大量文字的收發』\n受到家長或監護人所限制，\n因此無法使用本功能。
MID_EXT_NOT_FOUND: 無法辨識ＳＤ卡。\n請先關閉電源，\n重新插入ＳＤ卡。
MID_EXT_FAILD: 無法辨識ＳＤ卡。\n請先關閉電源，\n重新插入ＳＤ卡。
MID_EXT_CREATE: 正在建立新增資料\n於ＳＤ卡內。
MID_EXT_CREATING: 正在建立新增資料。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_EXT_CREATED: 已建立新增資料\n於ＳＤ卡內。
MID_EXT_READ: 正在讀取新增資料。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_EXT_FORMAT: 正在修復新增資料。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_EXT_NOT_MEDIA: 無法辨識ＳＤ卡。\n請先關閉電源，\n重新插入ＳＤ卡。
MID_EXT_NOT_SPACE: ＳＤ卡剩餘區域數不足。\n請到主機設定的「資料管理」，\n刪除ＳＤ卡內不需要的資料。
MID_EXT_NOT_WRITE: ＳＤ卡已開啟防寫保護。\n請先關閉電源\n及ＳＤ卡的防寫保護開關，\n再重新插入ＳＤ卡。
MID_EXT_NOT_ACCESS: 無法辨識ＳＤ卡。
MID_EXT_BAD_FORMAT: 無法辨識ＳＤ卡。
MID_EXT_ERROR: 無法辨識ＳＤ卡。
MID_DLC_READ: 正在讀取新增內容
MID_DLC_MOUNT: 正在確認新增內容。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_DLC_EXTSAVE: 已建立新增資料\n於ＳＤ卡內。
MID_DLC_RESTORE: 正在重建新增內容。\n請勿碰觸ＳＤ卡，\n或是電源鍵。
MID_DLC_RESTORE_FAILED: 由於新增內容遭到刪除，\n可能導致重建失敗。\n請重新下載新增內容。
MID_DLC_NOT_MEDIA: 無法辨識ＳＤ卡。
MID_DLC_NOT_ACCESS: 無法辨識ＳＤ卡。
MID_DLC_NOT_ARCHIVE: 無法辨識ＳＤ卡。
MID_DLC_BAD_FORMAT: 無法辨識ＳＤ卡。
MID_DLC_NOT_VERIFY: 新增內容已毀損。\n請重新下載新增內容。
MID_DLC_ERROR: 無法辨識ＳＤ卡。\n請重新下載新增內容。
MID_DLC_NOT_CONTENT: 找不到新增內容。
MID_DLC_NOT_TITLE: 找不到新增內容。\n購買新增內容後便可使用。
