MESS_ARCHIVE_Fld_拠点_ソフィア城_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa每一處都裝飾得富麗堂皇的玄關。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa感覺有點震撼……$k
MID_ADV調べる_door_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa與這座城堡相稱的\n一扇巨型大門。$k
MID_ADV調べる_bunerA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面掛著索菲亞的旗幟。$k
MID_ADV調べる_bunerB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面掛著索菲亞的旗幟。$k
MID_ADV調べる_bunerC_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面掛著索菲亞的旗幟。$k
MID_ADV調べる_bunerD_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面掛著索菲亞的旗幟。$k
MID_ADV調べる_bunerE_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面掛著索菲亞的旗幟。$k
MID_ADV調べる_bunerF_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面掛著索菲亞的旗幟。$k
MID_ADV調べる_carpet_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa地上鋪著毛茸茸的地毯。$k
MID_ADV調べる_chandelier_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa好華麗的吊燈。\n照亮了整個寬敞的樓層。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是索菲亞城堡的玄關呢。\n還是一樣沒變……$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa豪華又奢侈的建築，就像是\n在誇耀這個國家的繁榮豐饒。$k
MID_ADV調べる_door_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這扇門的另一邊，\n通往城堡的中央大廳。$k
MID_ADV調べる_bunerA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面掛著索菲亞的旗幟呢。$k
MID_ADV調べる_bunerB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面掛著索菲亞的旗幟呢。$k
MID_ADV調べる_bunerC_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面掛著索菲亞的旗幟呢。$k
MID_ADV調べる_bunerD_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面掛著索菲亞的旗幟呢。$k
MID_ADV調べる_bunerE_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面掛著索菲亞的旗幟呢。$k
MID_ADV調べる_bunerF_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面掛著索菲亞的旗幟呢。$k
MID_ADV調べる_carpet_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是長毛地毯呢。\n感覺連腳踝都要埋進去了。$k
MID_ADV調べる_chandelier_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是吊燈啊。\n上面插滿了蠟燭呢。$k
MID_ADV_調べるエリア_carpet: 地毯
MID_ADV_調べるエリア_door: 門
MID_ADV_調べるエリア_chandelier: 吊燈
MID_ADV_調べるエリア_bunerA: 旗幟
MID_ADV_調べるエリア_bunerB: 旗幟
MID_ADV_調べるエリア_bunerC: 旗幟
MID_ADV_調べるエリア_bunerD: 旗幟
MID_ADV_調べるエリア_bunerE: 旗幟
MID_ADV_調べるエリア_bunerF: 旗幟
