MESS_ARCHIVE_SoundRoom


Message Name: Message


MID_BGM_BTL_A1: 不知恐懼的白刃
MID_BGM_BTL_A2: 對抗神明的人啊
MID_BGM_BTL_BERKUT1: 傲慢與榮耀
MID_BGM_BTL_BERKUT2: 王的孩子在煉獄中起舞
MID_BGM_BTL_BOSS1: 鬥爭的力量
MID_BGM_BTL_BOSS2: 來自怨恨之地
MID_BGM_BTL_BOSS3: 悖德的騎士
MID_BGM_BTL_C1: 隨風起舞的刀刃
MID_BGM_BTL_DOMA: 邪神狂瀾
MID_BGM_BTL_E1: 歡悅的暴徒
MID_BGM_BTL_LIVE: 治癒的聲響
MID_BGM_EVT_AMB: 靜穩
MID_BGM_EVT_AMB2: 境界
MID_BGM_EVT_BERKUT: 純黑的皇子
MID_BGM_EVT_BRAVE: 進軍
MID_BGM_EVT_CONRAD_A: 容貌
MID_BGM_EVT_CONRAD_B: 兄妹
MID_BGM_EVT_DAILY: 日常
MID_BGM_EVT_DESTINY_A: 命運
MID_BGM_EVT_DETERMINATION: 黎明
MID_BGM_EVT_DISHEARTENED: 別離
MID_BGM_EVT_EMERGENCY: 緊迫
MID_BGM_EVT_ENEMY2: 詛咒
MID_BGM_EVT_FEAR: 不穩
MID_BGM_EVT_KINDNESS: 春陽
MID_BGM_EVT_LOVE_ABC: 遙遠的約定
MID_BGM_EVT_MEET: 相遇
MID_BGM_EVT_MIRA: 默示於焉
MID_BGM_EVT_NUIBABA: 頹廢之花
MID_BGM_EVT_SAD: 與你在銀色庭園
MID_BGM_EVT_SCHEME: 奸計
MID_BGM_EVT_SERIOUS: 晦冥
MID_BGM_EVT_STRAIN1: 叛徒
MID_BGM_EVT_STRAIN2: 逆賊
MID_BGM_EVT_TROOPS: 奮起
MID_BGM_MAP_B_A1: 勇往直前，邁向解放～序
MID_BGM_MAP_B_A2: 勇往直前，邁向解放
MID_BGM_MAP_B_A3: 目的地的盡頭
MID_BGM_MAP_B_A4: 神啊，黃昏啊
MID_BGM_MAP_B_A4_INTRO: 對力量的執迷
MID_BGM_MAP_B_BERKUT: 讚揚這份絕望吧
MID_BGM_MAP_B_C1: 與美拉的加護同在～序
MID_BGM_MAP_B_C2: 與美拉的加護同在
MID_BGM_MAP_B_C3: 祭品與聖女
MID_BGM_MAP_B_E1: 大逆的氣息
MID_BGM_MAP_B_E2: 動亂的腳步聲
MID_BGM_MAP_B_E3: 瘋狂的神之祝福
MID_BGM_MAP_B_E4: 大逆的氣息～序
MID_BGM_MAP_B_E5: 動亂的腳步聲～序
MID_BGM_MAP_B_RUDLF: 亡國的王者
MID_BGM_MAP_B_T1: 同儕的奮戰
MID_BGM_MAP_B_T2: 逼近的威脅
MID_BGM_MAP_D_CASTLE: 胸懷榮耀
MID_BGM_MAP_D_CAVE: 暗流
MID_BGM_MAP_D_CHURCH: 安逸的讚歌
MID_BGM_EVT_DESTINY_B: 伴著一顆星
MID_BGM_MAP_D_DOMA: 多瑪的禍音
MID_BGM_MAP_D_EMERGENCY: 躍起的災厄
MID_BGM_MAP_D_HARD: 小睡片刻的迷宮
MID_BGM_MAP_D_PORT: 海風與旅人
MID_BGM_MAP_D_SHOP: 槌音的去向
MID_BGM_MAP_D_SPIRIT: 水之旋律
MID_BGM_MAP_D_TOWER: 盲從的巔峰
MID_BGM_MAP_D_FOREST: 徬徨之森
MID_BGM_MAP_G1: 風凌大地
MID_BGM_MAP_G2: 晨曦方舟
MID_BGM_MAP_G3: 前進未知的大地
MID_BGM_MAP_G4: 過往之歌
MID_BGM_MAP_G5: 真實
MID_BGM_SYS_BASE_A1: 戰備　解
MID_BGM_SYS_BASE_A2: 戰備　邂逅
MID_BGM_SYS_BASE_C1: 戰備　祈
MID_BGM_SYS_CC: 如您所願
MID_BGM_SYS_DEAD: 粉碎祈願
MID_BGM_SYS_ED1: 神與人的軌跡
MID_BGM_SYS_ED2: 呼喚你的聲音
MID_BGM_SYS_ED3: 阿卡迪亞的傳承者
MID_BGM_SYS_MENU: 回顧
MID_BGM_SYS_GAMEOVER_A: 餘光
MID_BGM_SYS_GAMEOVER_B: 餘光消逝
MID_BGM_SYS_MAINTHEME: FIRE EMBLEM主題曲
MID_BGM_SYS_RESULT: 戰果
MID_BGM_SYS_TITLE: Echoes
