aoc_error.txt
aoc_error_01	需要新增内容\n才能继续前进。
aoc_error_02	需要新增内容\n才能接受此副任务。
dim_battlezone.txt
dim_battlezone_01	就像是掉进了古怪的\n异次元密阿雷里，对不？[VAR 0114(0013)]
dim_battlezone_02	仿照对战特区的异次元密阿雷……\n那可以叫它[VAR FF00(0006)]异次元对战特区[VAR FF00(0000)]呀！[VAR 0114(0013)]
dim_battlezone_03	那边的训练家说不定\n也是像落败者的怨念一样的东西？[VAR 0114(0013)]
dim_battlezone_04	总之我会发出异次元对战特区的调查委托，\n就拜托你去调查啦！[VAR 0114(0013)]
dim_info.txt
dim_info_01_01	检测到小规模野生异次元！
dim_info_01_02	检测到中规模野生异次元！
dim_info_01_03	检测到大规模野生异次元！
dim_info_01_11	检测到小规模对战异次元！
dim_info_01_12	检测到中规模对战异次元！
dim_info_01_13	检测到大规模对战异次元！
dim_info_01_21	未能检测到详细数据！？
dim_info_01_22	检测到副任务！
dim_info_01_23	检测到未知的超级石！
dim_info_01_24	检测到未知的超级石和副任务！
dim_info_01_30	检测到狂暴的超级能！
dim_info_01_31	检测到强大的能量！
dim_info_01_32	检测到朱红终焉之力！
dim_info_01_33	检测到靛蓝始祖之力！
dim_info_01_34	检测到闪耀天空之力！
dim_info_01_35	检测到锐利奔雷之力！
dim_info_01_40	检测到特殊搜寻！
dim_info_02_01	属性倾向
dim_info_02_02	推测胜利报酬
dim_info_03_01	推测异次元等级
dim_info_04_01	Lv.[VAR 0202(0000)]
dim_info_04_02	Lv.???
dim_info_04_03	Lv.---
dim_task.txt
msg_2644fd753a9ea5c74b50b7384c2d8f85	[~ 0]
dim_t_title_01_01	破坏飘浮在空中的球
dim_t_title_01_02	破坏岩石
dim_t_title_01_03	破坏藤蔓
dim_t_title_01_04	破坏污泥
dim_t_title_01_05	拾取闪闪发光的道具
dim_t_title_01_06	捕捉野生宝可梦
dim_t_title_01_07	捕捉[VAR 0101(0002)]
dim_t_title_01_21	捕捉[VAR 0101(0002)]
dim_t_title_01_08	捕捉[VAR 0103(0003)]属性的宝可梦
dim_t_title_01_09	捕捉３种宝可梦
dim_t_title_01_10	捕捉６种宝可梦
dim_t_title_01_11	捕捉９种宝可梦
dim_t_title_01_12	捕捉头目宝可梦
dim_t_title_01_13	捕捉异色宝可梦
dim_t_title_01_14	捕捉异色头目
dim_t_title_01_15	捕捉时不被发现
dim_t_title_01_16	利用捕捉机会完成捕捉
dim_t_title_01_17	用效果绝佳的招式命中
dim_t_title_01_22	用[VAR 0103(0003)]属性的招式命中
dim_t_title_01_18	战胜训练家
dim_t_title_01_19	发起挑战并一击打倒
dim_t_title_01_20	打倒[VAR 0101(0002)]
dim_t_title_02_01	打倒失控超级阿勃梭鲁
dim_t_title_02_02	打倒失控超级呆壳兽
dim_t_title_02_03	打倒失控超级喷火驼
dim_t_title_02_04	打倒失控超级大食花
dim_t_title_02_05	打倒失控超级大针蜂
dim_t_title_02_06	打倒失控超级摔角鹰人
dim_t_title_02_07	打倒失控超级诅咒娃娃
dim_t_title_02_08	打倒失控超级电龙
dim_t_title_02_09	打倒失控超级龟足巨铠
dim_t_title_02_10	打倒失控超级大嘴娃
dim_t_title_02_11	打倒失控超级雪妖女
dim_t_title_02_12	打倒失控超级七夕青鸟
dim_t_title_02_13	打倒失控超级妙蛙花
dim_t_title_02_14	打倒失控超级快龙
dim_t_title_02_15	打倒失控超级班基拉斯
dim_t_title_02_16	打倒失控超级宝石海星
dim_t_title_02_17	打倒失控超级阿勃梭鲁Z
dim_t_title_02_18	打倒失控超级姆克鹰
dim_t_title_02_19	打倒失控超级米立龙
dim_t_title_02_20	打倒失控超级超能妙喵
dim_t_title_02_21	打倒失控超级席多蓝恩
dim_t_title_02_22	打倒失控超级达克莱伊
dim_t_title_02_23	打倒原始盖欧卡
dim_t_title_02_24	打倒原始固拉多
dim_t_title_02_25	打倒失控超级烈空坐
dim_t_title_02_26	打倒失控超级捷拉奥拉
dim_t_title_03_01	接受任务
dim_t_title_03_02	完成任务
dim_t_title_03_03	与少女对话
dim_t_title_03_04	惩戒解放胡帕
dim_t_title_03_05	平息？？？的失控
donut_app.txt
donut_app_01_01	[VAR 0109(0000)]
donut_app_01_02	[VAR 0202(0000)]
donut_app_01_03	[VAR 0201(0000)]
donut_app_01_04	+[VAR 0201(0000)]
donut_app_01_05	[VAR 0202(0000)]
donut_app_01_06	无结果
donut_app_02_01	[VAR 0202(0000)]
donut_app_02_02	/
donut_app_02_03	999
donut_app_03_01	增幅等级
donut_app_03_02	+Lv.
donut_app_03_03	[VAR 0202(0000)]
donut_app_03_11	饱腹能量
donut_app_03_12	kcal
donut_app_03_13	[VAR 0203(0000,0000)]
donut_app_03_21	风味级别
donut_app_03_22	[VAR 0203(0000,0000)]
donut_app_03_31	甜
donut_app_03_32	辣
donut_app_03_33	酸
donut_app_03_34	苦
donut_app_03_35	鲜
donut_app_03_36	[VAR 0202(0000)]
donut_app_03_37	+[VAR 0202(0000)]
donut_app_03_41	フレーバー名
donut_app_03_42	フレーバーテキスト\nフレーバーテキスト
donut_app_03_43	フレーバーパワー説明文
donut_app_03_51	フレーバーパワー名
donut_app_03_51_n	？？？？？？？？
donut_app_03_52	Lv.[VAR 0200(0000)]
donut_app_03_61	制作日期
donut_app_03_62	[VAR 0203(0000,0000)]/[VAR 0201(0001)]/[VAR 0201(0002)]
donut_app_03_63	[VAR 0201(0000)]:[VAR 0201(0001)]:[VAR 0201(0002)]
donut_app_04_01	制作日期排序
donut_app_04_02	级别排序
donut_app_04_03	增幅Lv.排序
donut_app_04_04	饱腹排序
donut_app_04_05	风味分类
donut_app_04_06	退出
donut_app_05_01	要给胡帕吃甜甜圈，\n并开始调查异次元密阿雷吗？
donut_app_05_02	是
donut_app_05_03	否
donut_app_05_04	要让它吃选好的甜甜圈吗？
donut_app_05_05	要取消一并选择吗？
donut_app_05_06	这是特别的甜甜圈，\n确定要继续吗？
donut_app_05_07	包含了特别的甜甜圈，\n确定要继续吗？
donut_app_05_13	包含了特别的甜甜圈，\n确定要继续吗？
donut_app_05_08	得选我拜托你们做的梦魇螺旋甜甜圈，\n作战才能开始啊。
donut_app_05_09	要是没有满足条件的甜甜圈，\n就不能去你想去的异次元密阿雷了。
donut_app_05_11	不是阿尔法蛋糕甜甜圈的话，\n就不能去你想去的异次元密阿雷了。
donut_app_05_12	不是德尔塔蛋糕甜甜圈的话，\n就不能去你想去的异次元密阿雷了。
donut_app_05_10	不给我等离子闪电甜甜圈，\n就不能通过扭洞去异次元密阿雷了。
donut_app_07_01	选择
donut_app_07_02	移除
donut_app_07_03	以此制作
donut_app_07_04	跳过
donut_app_08_01	全部
donut_app_08_02	普通的树果
donut_app_08_03	异次元树果
donut_app_09_01	アンシャのひとこと\nアンシャのひとこと
donut_app_10_01	退出
donut_app_10_02	提问
donut_app_10_03	继续制作
donut_app_10_04	确定
donut_app_10_05	重置
donut_app_10_06	一并选择
donut_app_10_07	继续
donut_app_11_01	[VAR 0202(0000)]
donut_app_11_02	/
donut_app_11_03	100
donut_app_11_04	选好的甜甜圈
donut_app_11_05	总计
donut_app_11_06	[VAR 0202(0000)]
donut_app_12_01	甜甜圈
donut_app_13_00	所选甜甜圈没有\n风味力量。
donut_app_13_01	パワー１：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_02	パワー２：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_03	パワー３：「フレーバーパワー名」\n「フレーバーパワー説明文」
donut_app_13_10	フレーバーパワー詳細説明文\nフレーバーパワー詳細説明文\nフレーバーパワー詳細説明文
donut_app_14_01	推测饱腹时间
donut_app_14_02	[VAR 0201(0000)]:[VAR 0201(0001)]
donut_app_15_01	确定要放弃\n制作甜甜圈吗……？
donut_app_15_02	继续
donut_app_15_03	退出
donut_app_15_11	我已收到你的订单！\n这就开始制作甜甜圈！
donut_app_15_12	这个搭配没法做……
donut_app_15_13	再做甜甜圈，\n你好像就拿不下了。
donut_app_15_21	做得很好！\n还要制作甜甜圈吗？
donut_app_15_25	多带一些甜甜圈，\n调查异次元也能更有效率哦！
donut_app_15_22	继续制作
donut_app_15_23	制作一样的
donut_app_15_24	之后再做
donut_app_15_31	请选择３个树果。\n无论哪个树果都可以哦！
donut_app_talk_01	欢迎来到安馨儿的甜甜圈店！
donut_app_select_01	制作甜甜圈
donut_app_select_02	照梦魇螺旋甜甜圈的食谱制作
donut_app_select_03	照阿尔法蛋糕甜甜圈的食谱制作
donut_app_select_04	照欧米伽蛋糕甜甜圈的食谱制作
donut_app_select_05	照德尔塔蛋糕甜甜圈的食谱制作
donut_app_select_06	用等离子闪电甜甜圈的食谱制作
