aoc_error.txt
aoc_error_01	ここから{先|さき}は\n{追加|ついか}コンテンツが{必要|ひつよう}です。
aoc_error_02	このサイドミッションを{引|ひ}き{受|う}けるには\n{追加|ついか}コンテンツが{必要|ひつよう}です。
dim_battlezone.txt
dim_battlezone_01	けったいな{異次元|いじげん}ミアレに\n{入|はい}ったみたいやんな[VAR 0114(0013)]
dim_battlezone_02	バトルゾーンを{模|も}した{異次元|いじげん}ミアレ……\nゆうたら[VAR FF00(0006)]{異次元|いじげん}バトルゾーン[VAR FF00(0000)]や！[VAR 0114(0013)]
dim_battlezone_03	そこにおるトレーナーも\n{負|ま}けた{連中|れんちゅう}の{怨念|おんねん}みたいなもんちゃう？[VAR 0114(0013)]
dim_battlezone_04	とにかく{異次元|いじげん}バトルゾーン{向|む}けの\n{調査依頼|ちょうさいらい}を{送|おく}るさかいよろしく{頼|たの}むわ！[VAR 0114(0013)]
dim_info.txt
dim_info_01_01	小規模ワイルド異次元を検知！
dim_info_01_02	中規模ワイルド異次元を検知！
dim_info_01_03	大規模ワイルド異次元を検知！
dim_info_01_11	小規模バトル異次元を検知！
dim_info_01_12	中規模バトル異次元を検知！
dim_info_01_13	大規模バトル異次元を検知！
dim_info_01_21	詳細データ検知不能！？
dim_info_01_22	サイドミッションを検知！
dim_info_01_23	未知のメガストーンを検知！
dim_info_01_24	未知のメガストーンと\nサイドミッションを検知！
dim_info_01_30	荒ぶるメガエネルギーを検知！
dim_info_01_31	強いエネルギーを検知！
dim_info_01_32	紅き終焉の力を検知！
dim_info_01_33	蒼き始祖の力を検知！
dim_info_01_34	天空に輝く力を検知！
dim_info_01_35	鋭い迅雷の力を検知！
dim_info_01_40	スペシャルサーチで検知！
dim_info_02_01	タイプ傾向
dim_info_02_02	推定勝利報酬
dim_info_03_01	推定異次元レベル
dim_info_04_01	Lv.[VAR 0202(0000)]
dim_info_04_02	Lv.???
dim_info_04_03	Lv.---
dim_task.txt
msg_2644fd753a9ea5c74b50b7384c2d8f85	[~ 0]
dim_t_title_01_01	宙に浮かぶボールを破壊する
dim_t_title_01_02	岩を破壊する
dim_t_title_01_03	ツタを破壊する
dim_t_title_01_04	ヘドロを破壊する
dim_t_title_01_05	キラキラ光るどうぐを拾う
dim_t_title_01_06	野生ポケモンを捕まえる
dim_t_title_01_07	[VAR 0101(0002)]を捕まえる
dim_t_title_01_21	[VAR 0101(0002)]を捕まえる
dim_t_title_01_08	[VAR 0103(0003)]タイプを捕まえる
dim_t_title_01_09	３種類のポケモンを捕まえる
dim_t_title_01_10	６種類のポケモンを捕まえる
dim_t_title_01_11	９種類のポケモンを捕まえる
dim_t_title_01_12	オヤブンポケモンを捕まえる
dim_t_title_01_13	色違いのポケモンを捕まえる
dim_t_title_01_14	色違いのオヤブンを捕まえる
dim_t_title_01_15	気づかれずに捕まえる
dim_t_title_01_16	捕獲チャンスで捕まえる
dim_t_title_01_17	効果抜群のわざを当てる
dim_t_title_01_22	[VAR 0103(0003)]タイプのわざを当てる
dim_t_title_01_18	トレーナーに勝利する
dim_t_title_01_19	勝負を仕掛けて一撃で倒す
dim_t_title_01_20	[VAR 0101(0002)]を倒す
dim_t_title_02_01	暴走メガアブソルを倒す
dim_t_title_02_02	暴走メガヤドランを倒す
dim_t_title_02_03	暴走メガバクーダを倒す
dim_t_title_02_04	暴走メガウツボットを倒す
dim_t_title_02_05	暴走メガスピアーを倒す
dim_t_title_02_06	暴走メガルチャブルを倒す
dim_t_title_02_07	暴走メガジュペッタを倒す
dim_t_title_02_08	暴走メガデンリュウを倒す
dim_t_title_02_09	暴走メガガメノデスを倒す
dim_t_title_02_10	暴走メガクチートを倒す
dim_t_title_02_11	暴走メガユキメノコを倒す
dim_t_title_02_12	暴走メガチルタリスを倒す
dim_t_title_02_13	暴走メガフシギバナを倒す
dim_t_title_02_14	暴走メガカイリューを倒す
dim_t_title_02_15	暴走メガバンギラスを倒す
dim_t_title_02_16	暴走メガスターミーを倒す
dim_t_title_02_17	暴走メガアブソルZを倒す
dim_t_title_02_18	暴走メガムクホークを倒す
dim_t_title_02_19	暴走メガシャリタツを倒す
dim_t_title_02_20	暴走メガニャオニクスを倒す
dim_t_title_02_21	暴走メガヒードランを倒す
dim_t_title_02_22	暴走メガダークライを倒す
dim_t_title_02_23	ゲンシカイオーガを倒す
dim_t_title_02_24	ゲンシグラードンを倒す
dim_t_title_02_25	暴走メガレックウザを倒す
dim_t_title_02_26	暴走メガゼラオラを倒す
dim_t_title_03_01	ミッションを引き受ける
dim_t_title_03_02	ミッションを完了する
dim_t_title_03_03	少女と話す
dim_t_title_03_04	ときはなたれしフーパをいましめる
dim_t_title_03_05	？？？を鎮める
donut_app.txt
donut_app_01_01	[VAR 0109(0000)]
donut_app_01_02	[VAR 0202(0000)]
donut_app_01_03	[VAR 0201(0000)]
donut_app_01_04	+[VAR 0201(0000)]
donut_app_01_05	[VAR 0202(0000)]
donut_app_01_06	ありません
donut_app_02_01	[VAR 0202(0000)]
donut_app_02_02	/
donut_app_02_03	999
donut_app_03_01	プラスレベル
donut_app_03_02	+Lv.
donut_app_03_03	[VAR 0202(0000)]
donut_app_03_11	ハラモチエネルギー
donut_app_03_12	kcal
donut_app_03_13	[VAR 0203(0000,0000)]
donut_app_03_21	フレーバーランク
donut_app_03_22	[VAR 0203(0000,0000)]
donut_app_03_31	スイート
donut_app_03_32	スパイシー
donut_app_03_33	サワー
donut_app_03_34	ビター
donut_app_03_35	フレッシュ
donut_app_03_36	[VAR 0202(0000)]
donut_app_03_37	+[VAR 0202(0000)]
donut_app_03_41	フレーバー名
donut_app_03_42	フレーバーテキスト\nフレーバーテキスト
donut_app_03_43	フレーバーパワー説明文
donut_app_03_51	フレーバーパワー名
donut_app_03_51_n	？？？？？？？？
donut_app_03_52	Lv.[VAR 0200(0000)]
donut_app_03_61	製造日
donut_app_03_62	[VAR 0203(0000,0000)]/[VAR 0201(0001)]/[VAR 0201(0002)]
donut_app_03_63	[VAR 0201(0000)]:[VAR 0201(0001)]:[VAR 0201(0002)]
donut_app_04_01	製造日順
donut_app_04_02	ランク順
donut_app_04_03	プラスLv.順
donut_app_04_04	ハラモチ順
donut_app_04_05	フレーバー別
donut_app_04_06	やめる
donut_app_05_01	フーパにドーナツを{食|た}べてもらって\n{異次元|いじげん}ミアレの{調査|ちょうさ}をはじめますか？
donut_app_05_02	はい
donut_app_05_03	いいえ
donut_app_05_04	{選|えら}んだドーナツを{食|た}べてもらいますか？
donut_app_05_05	まとめて{選|えら}ぶのをやめますか？
donut_app_05_06	{特別|とくべつ}なドーナツですが\nよろしいですか？
donut_app_05_07	{特別|とくべつ}なドーナツが{含|ふく}まれますが\nよろしいですか？
