aoc_error.txt
aoc_error_01	需要擁有新增內容\n才能繼續前進。
aoc_error_02	需要擁有新增內容\n才能接受這個副任務。
dim_battlezone.txt
dim_battlezone_01	看來是進到了一個\n挺古怪的異次元密阿雷啊。[VAR 0114(0013)]
dim_battlezone_02	仿造對戰特區的異次元密阿雷……\n這樣說來，就是[VAR FF00(0006)]異次元對戰特區[VAR FF00(0000)]！[VAR 0114(0013)]
dim_battlezone_03	在那邊的訓練家說不定\n也就像是輸家們的怨念那類的東西？[VAR 0114(0013)]
dim_battlezone_04	總之我會發異次元對戰特區的\n調查委託給[VAR 1100(00FF,0101)]你妳，就拜託[VAR 1100(00FF,0101)]你妳啦！[VAR 0114(0013)]
dim_info.txt
dim_info_01_01	偵測到小規模的異次元野生特區！
dim_info_01_02	偵測到中規模的異次元野生特區！
dim_info_01_03	偵測到大規模的異次元野生特區！
dim_info_01_11	偵測到小規模的異次元對戰特區！
dim_info_01_12	偵測到中規模的異次元對戰特區！
dim_info_01_13	偵測到大規模的異次元對戰特區！
dim_info_01_21	偵測不到詳細資料！？
dim_info_01_22	偵測到副任務！
dim_info_01_23	偵測到未知的超級石！
dim_info_01_24	偵測到未知的超級石\n和副任務！
dim_info_01_30	偵測到狂暴的超級能！
dim_info_01_31	偵測到強大的能量！
dim_info_01_32	偵測到朱紅終焉之力！
dim_info_01_33	偵測到靛藍始祖之力！
dim_info_01_34	偵測到閃耀天空之力！
dim_info_01_35	偵測到銳利奔雷之力！
dim_info_01_40	使用特殊搜尋偵測！
dim_info_02_01	屬性傾向
dim_info_02_02	推估勝利報酬
dim_info_03_01	推估異次元等級
dim_info_04_01	Lv.[VAR 0202(0000)]
dim_info_04_02	Lv.???
dim_info_04_03	Lv.---
dim_task.txt
msg_2644fd753a9ea5c74b50b7384c2d8f85	[~ 0]
dim_t_title_01_01	破壞飄浮在空中的球
dim_t_title_01_02	破壞岩石
dim_t_title_01_03	破壞藤蔓
dim_t_title_01_04	破壞污泥
dim_t_title_01_05	撿拾閃閃發光的道具
dim_t_title_01_06	捕捉野生寶可夢
dim_t_title_01_07	捕捉[VAR 0101(0002)]
dim_t_title_01_21	捕捉[VAR 0101(0002)]
dim_t_title_01_08	捕捉[VAR 0103(0003)]屬性的寶可夢
dim_t_title_01_09	捕捉３種寶可夢
dim_t_title_01_10	捕捉６種寶可夢
dim_t_title_01_11	捕捉９種寶可夢
dim_t_title_01_12	捕捉頭目寶可夢
dim_t_title_01_13	捕捉異色寶可夢
dim_t_title_01_14	捕捉異色的頭目寶可夢
dim_t_title_01_15	在不被注意到的狀態下捕捉寶可夢
dim_t_title_01_16	在捕捉機會時捕捉寶可夢
dim_t_title_01_17	用效果絕佳的招式擊中
dim_t_title_01_22	用[VAR 0103(0003)]屬性的招式擊中
dim_t_title_01_18	戰勝訓練家
dim_t_title_01_19	挑起對戰並一擊打倒
dim_t_title_01_20	打倒[VAR 0101(0002)]
dim_t_title_02_01	打倒失控超級阿勃梭魯
dim_t_title_02_02	打倒失控超級呆殼獸
dim_t_title_02_03	打倒失控超級噴火駝
dim_t_title_02_04	打倒失控超級大食花
dim_t_title_02_05	打倒失控超級大針蜂
dim_t_title_02_06	打倒失控超級摔角鷹人
dim_t_title_02_07	打倒失控超級詛咒娃娃
dim_t_title_02_08	打倒失控超級電龍
dim_t_title_02_09	打倒失控超級龜足巨鎧
dim_t_title_02_10	打倒失控超級大嘴娃
dim_t_title_02_11	打倒失控超級雪妖女
dim_t_title_02_12	打倒失控超級七夕青鳥
dim_t_title_02_13	打倒失控超級妙蛙花
dim_t_title_02_14	打倒失控超級快龍
dim_t_title_02_15	打倒失控超級班基拉斯
dim_t_title_02_16	打倒失控超級寶石海星
dim_t_title_02_17	打倒失控超級阿勃梭魯Z
dim_t_title_02_18	打倒失控超級姆克鷹
dim_t_title_02_19	打倒失控超級米立龍
dim_t_title_02_20	打倒失控超級超能妙喵
dim_t_title_02_21	打倒失控超級席多藍恩
dim_t_title_02_22	打倒失控超級達克萊伊
dim_t_title_02_23	打倒原始蓋歐卡
dim_t_title_02_24	打倒原始固拉多
dim_t_title_02_25	打倒失控超級烈空坐
dim_t_title_02_26	打倒失控超級捷拉奧拉
dim_t_title_03_01	接受任務
dim_t_title_03_02	完成任務
dim_t_title_03_03	和少女聊聊
dim_t_title_03_04	懲戒解放胡帕
dim_t_title_03_05	平息？？？
donut_app.txt
donut_app_01_01	[VAR 0109(0000)]
donut_app_01_02	[VAR 0202(0000)]
donut_app_01_03	[VAR 0201(0000)]
donut_app_01_04	+[VAR 0201(0000)]
donut_app_01_05	[VAR 0202(0000)]
donut_app_01_06	沒有符合的樹果
donut_app_02_01	[VAR 0202(0000)]
donut_app_02_02	/
donut_app_02_03	999
donut_app_03_01	增幅等級
donut_app_03_02	+Lv.
donut_app_03_03	[VAR 0202(0000)]
donut_app_03_11	飽腹能量
donut_app_03_12	kcal
donut_app_03_13	[VAR 0203(0000,0000)]
donut_app_03_21	風味級別
donut_app_03_22	[VAR 0203(0000,0000)]
donut_app_03_31	甜
donut_app_03_32	辣
donut_app_03_33	酸
donut_app_03_34	苦
donut_app_03_35	鮮
donut_app_03_36	[VAR 0202(0000)]
donut_app_03_37	+[VAR 0202(0000)]
donut_app_03_41	フレーバー名
donut_app_03_42	フレーバーテキスト\nフレーバーテキスト
donut_app_03_43	フレーバーパワー説明文
donut_app_03_51	フレーバーパワー名
donut_app_03_51_n	？？？？？？？？
donut_app_03_52	Lv.[VAR 0200(0000)]
donut_app_03_61	製造日期
donut_app_03_62	[VAR 0203(0000,0000)]/[VAR 0201(0001)]/[VAR 0201(0002)]
donut_app_03_63	[VAR 0201(0000)]:[VAR 0201(0001)]:[VAR 0201(0002)]
donut_app_04_01	按製造日期排序
donut_app_04_02	按級別排序
