Achievement.txt
Achievement/NoticeText	「{AchievementName}」达成了！
Achievement/SecretName	？？？
Achievement/SecretDescription	？？？？？？
Achievement/01_WorkOnEarthName	在地球上打工
Achievement/01_WorkOnEarthClearCheckerName	在地球上\n打工
Achievement/01_WorkOnEarthDescription	从叔叔那<sprite=16>\n得到了打工杂<sprite=12>
Achievement/02_PlanetaryMedalistName	星球级奖章收藏家
Achievement/02_PlanetaryMedalistClearCheckerName	星球级\n奖章收藏家
Achievement/02_PlanetaryMedalistDescription	获得了\n9枚奖章
Achievement/03_GalacticMedalistName	银河级奖章收藏家
Achievement/03_GalacticMedalistClearCheckerName	银河级\n奖章收藏家
Achievement/03_GalacticMedalistDescription	获得了\n27枚奖章
Achievement/04_CosmicMedalstName	宇宙级奖章收藏家
Achievement/04_CosmicMedalstClearCheckerName	宇宙级\n奖章收藏家
Achievement/04_CosmicMedalstDescription	获得了\n54枚奖章
Achievement/05_OmniversalMedalsitName	全能宇宙级奖章收藏家
Achievement/05_OmniversalMedalsitClearCheckerName	全能宇宙级\n奖章收藏家
Achievement/05_OmniversalMedalsitDescription	获得了\n81枚奖章
Achievement/06_BreadwinnerName	勤劳打工仔
Achievement/06_BreadwinnerClearCheckerName	勤劳打工仔
Achievement/06_BreadwinnerDescription	一次得到了\n3000<sprite=1>以上的打工薪水
Achievement/07_BigEarnerName	厉害打工族
Achievement/07_BigEarnerClearCheckerName	厉害打工族
Achievement/07_BigEarnerDescription	一次得到了\n4000<sprite=1>以上的打工薪水
Achievement/08_HighlyPaidName	高收入一族
Achievement/08_HighlyPaidClearCheckerName	高收入一族
Achievement/08_HighlyPaidDescription	一次得到了\n5000<sprite=1>以上的打工薪水
Achievement/09_EagerBeaverName	努力工作
Achievement/09_EagerBeaverClearCheckerName	努力工作
Achievement/09_EagerBeaverDescription	工作时\n搬运的货物数量\n超过了40个
Achievement/10_HardWorkerName	拼命工作
Achievement/10_HardWorkerClearCheckerName	拼命工作
Achievement/10_HardWorkerDescription	工作时\n搬运的货物数量\n超过了80个
Achievement/11_PersistencePaysOffName	坚持就是力量
Achievement/11_PersistencePaysOffClearCheckerName	坚持就是\n力量
Achievement/11_PersistencePaysOffDescription	工作时\n搬运的货物数量\n超过了160个
Achievement/12_OverWorkerName	小心别过劳
Achievement/12_OverWorkerClearCheckerName	小心别过劳
Achievement/12_OverWorkerDescription	工作时\n搬运的货物数量\n超过了240个
Achievement/13_DeConservativeName	跟旧衣服说掰掰
Achievement/13_DeConservativeClearCheckerName	跟旧衣服\n说掰掰
Achievement/13_DeConservativeDescription	在商店购买了\n1件服装
Achievement/13_DeConservativeSecretDescription	
Achievement/14_FashionistaName	时尚达人
Achievement/14_FashionistaClearCheckerName	时尚达人
Achievement/14_FashionistaDescription	在商店购买了\n10件服装
Achievement/14_FashionistaSecretDescription	
Achievement/15_UniverseBestDandyName	宇宙最潮
Achievement/15_UniverseBestDandyClearCheckerName	宇宙最潮
Achievement/15_UniverseBestDandyDescription	在商店购买了\n所有服装
Achievement/15_UniverseBestDandySecretDescription	
Achievement/16_EarthSaverName	拯救了地球的拼命工作者
Achievement/16_EarthSaverClearCheckerName	拯救了地球的\n拼命工作者
Achievement/16_EarthSaverDescription	观看了工作人员名单
EmptyText00	
Achievement/17_EncounterNushiName	与鱼王的第一次接触
Achievement/17_EncounterNushiClearCheckerName	与鱼王的\n第一次接触
Achievement/17_EncounterNushiDescription	货物在海<sprite=16>\n被谜样怪物吃掉了
Achievement/18_IwillBeBackName	I'll be back！
Achievement/18_IwillBeBackClearCheckerName	I'll be back！
Achievement/18_IwillBeBackDescription	被〇〇〇〇〇的〇〇〇〇\n逃走了
Achievement/18_IwillBeBackClearDescription	在月球\n被邪恶外星人的头头\n逃走了
Achievement/19_UfoInTheSeaName	大海UFO
Achievement/19_UfoInTheSeaClearCheckerName	大海UFO
Achievement/19_UfoInTheSeaDescription	配合大海的\n搭配
