Achievement.txt
Achievement/NoticeText	「{AchievementName}」を　たっせいした！
Achievement/SecretName	？？？
Achievement/SecretDescription	？？？？？？
Achievement/01_WorkOnEarthName	ちきゅうで　はたらく
Achievement/01_WorkOnEarthClearCheckerName	ちきゅうで\nはたらく
Achievement/01_WorkOnEarthDescription	おじさんから\nバイトざっしを　もらった
Achievement/02_PlanetaryMedalistName	プラネタリーメダリスト
Achievement/02_PlanetaryMedalistClearCheckerName	プラネタリー\nメダリスト
Achievement/02_PlanetaryMedalistDescription	メダルを\n９まい　ゲットした
Achievement/03_GalacticMedalistName	ギャラクティックメダリスト
Achievement/03_GalacticMedalistClearCheckerName	ギャラクティック\nメダリスト
Achievement/03_GalacticMedalistDescription	メダルを\n２７まい　ゲットした
Achievement/04_CosmicMedalstName	コズミックメダリスト
Achievement/04_CosmicMedalstClearCheckerName	コズミック\nメダリスト
Achievement/04_CosmicMedalstDescription	メダルを\n５４まい　ゲットした
Achievement/05_OmniversalMedalsitName	オムニバーサルメダリスト
Achievement/05_OmniversalMedalsitClearCheckerName	オムニバーサル\nメダリスト
Achievement/05_OmniversalMedalsitDescription	メダルを\n８１まい　ゲットした
Achievement/06_BreadwinnerName	かせぎて
Achievement/06_BreadwinnerClearCheckerName	かせぎて
Achievement/06_BreadwinnerDescription	いちどに　３０００￥いじょう\nバイトだいを　もらった
Achievement/07_BigEarnerName	かせぎがしら
Achievement/07_BigEarnerClearCheckerName	かせぎがしら
Achievement/07_BigEarnerDescription	いちどに　４０００￥いじょう\nバイトだいを　もらった
Achievement/08_HighlyPaidName	こうきゅうとり
Achievement/08_HighlyPaidClearCheckerName	こうきゅうとり
Achievement/08_HighlyPaidDescription	いちどに　５０００￥いじょう\nバイトだいを　もらった
Achievement/09_EagerBeaverName	がんばりや
Achievement/09_EagerBeaverClearCheckerName	がんばりや
Achievement/09_EagerBeaverDescription	しごとで　はこんだ\nにもつの　かずが\n４０を　こえた
Achievement/10_HardWorkerName	はたらきもの
Achievement/10_HardWorkerClearCheckerName	はたらきもの
Achievement/10_HardWorkerDescription	しごとで　はこんだ\nにもつの　かずが\n８０を　こえた
Achievement/11_PersistencePaysOffName	けいぞくはパワーなり
Achievement/11_PersistencePaysOffClearCheckerName	けいぞくは\nパワーなり
Achievement/11_PersistencePaysOffDescription	しごとで　はこんだ\nにもつの　かずが\n１６０を　こえた
Achievement/12_OverWorkerName	はたらきすぎにごようじん
Achievement/12_OverWorkerClearCheckerName	はたらきすぎに\nごようじん
Achievement/12_OverWorkerDescription	しごとで　はこんだ\nにもつの　かずが\n２４０を　こえた
Achievement/13_DeConservativeName	だつコンサバ
Achievement/13_DeConservativeClearCheckerName	だつコンサバ
Achievement/13_DeConservativeDescription	ショップで　おきがえを\n１こ　かった
Achievement/13_DeConservativeSecretDescription	　
Achievement/14_FashionistaName	ファッショニスタ
Achievement/14_FashionistaClearCheckerName	ファッショニスタ
Achievement/14_FashionistaDescription	ショップで　おきがえを\n１０こ　かった
Achievement/14_FashionistaSecretDescription	
Achievement/15_UniverseBestDandyName	うちゅういちのだておとこ
Achievement/15_UniverseBestDandyClearCheckerName	うちゅういちの\nだておとこ
Achievement/15_UniverseBestDandyDescription	ショップの　おきがえを\nすべて　かった
Achievement/15_UniverseBestDandySecretDescription	
Achievement/16_EarthSaverName	ちきゅうをすくった　はたらきもの
Achievement/16_EarthSaverClearCheckerName	ちきゅうをすくった\nはたらきもの
Achievement/16_EarthSaverDescription	スタッフロールを　みた
EmptyText00	
Achievement/17_EncounterNushiName	ぬしとの　そうぐう
Achievement/17_EncounterNushiClearCheckerName	ぬしとの\nそうぐう
Achievement/17_EncounterNushiDescription	うみで　ナゾのかいぶつに\nにもつを　たべられた
Achievement/18_IwillBeBackName	アイルビーバック！
Achievement/18_IwillBeBackClearCheckerName	アイルビーバック！
Achievement/18_IwillBeBackDescription	〇〇〇〇〇の〇〇〇〇に\nにげられてしまった
