Achievement.txt
Achievement/NoticeText	"{AchievementName}" unlocked!
Achievement/SecretName	?  ?  ?
Achievement/SecretDescription	?  ?  ?  ?  ?
Achievement/01_WorkOnEarthName	Working on Earth
Achievement/01_WorkOnEarthClearCheckerName	Working on Earth
Achievement/01_WorkOnEarthDescription	Receive a magazine\nwith job listings\nfrom a farmer.
Achievement/02_PlanetaryMedalistName	Planetary Medalist
Achievement/02_PlanetaryMedalistClearCheckerName	Planetary\nMedalist
Achievement/02_PlanetaryMedalistDescription	Earn 9 medals.
Achievement/03_GalacticMedalistName	Galactic Medalist
Achievement/03_GalacticMedalistClearCheckerName	Galactic Medalist
Achievement/03_GalacticMedalistDescription	Earn 27 medals.
Achievement/04_CosmicMedalstName	Cosmic Medalist
Achievement/04_CosmicMedalstClearCheckerName	Cosmic Medalist
Achievement/04_CosmicMedalstDescription	Earn 54 medals.
Achievement/05_OmniversalMedalsitName	Omniversal Medalist
Achievement/05_OmniversalMedalsitClearCheckerName	Omniversal\nMedalist
Achievement/05_OmniversalMedalsitDescription	Earn 81 medals.
Achievement/06_BreadwinnerName	Moneymaker
Achievement/06_BreadwinnerClearCheckerName	Moneymaker
Achievement/06_BreadwinnerDescription	Earn 3,000￥ or more\nin a single job.
Achievement/07_BigEarnerName	Breadwinner
Achievement/07_BigEarnerClearCheckerName	Breadwinner
Achievement/07_BigEarnerDescription	Earn 4,000￥ or more\nin a single job.
Achievement/08_HighlyPaidName	Top Earner
Achievement/08_HighlyPaidClearCheckerName	Top Earner
Achievement/08_HighlyPaidDescription	Earn 5,000￥ or more\nin a single job.
Achievement/09_EagerBeaverName	Hard-Working
Achievement/09_EagerBeaverClearCheckerName	Hard-Working
Achievement/09_EagerBeaverDescription	Transport over\n40 objects\nacross all jobs.
Achievement/10_HardWorkerName	Productive
Achievement/10_HardWorkerClearCheckerName	Productive
Achievement/10_HardWorkerDescription	Transport over\n80 objects\nacross all jobs.
Achievement/11_PersistencePaysOffName	Never Giving Up
Achievement/11_PersistencePaysOffClearCheckerName	Never Giving Up
Achievement/11_PersistencePaysOffDescription	Transport over\n160 objects\nacross all jobs.
Achievement/12_OverWorkerName	Time for a Holiday
Achievement/12_OverWorkerClearCheckerName	Time for\na Holiday
Achievement/12_OverWorkerDescription	Transport over\n240 objects\nacross all jobs.
Achievement/13_DeConservativeName	Freshly Dressed
Achievement/13_DeConservativeClearCheckerName	Freshly Dressed
Achievement/13_DeConservativeDescription	Buy 1 outfit at the shop.
Achievement/13_DeConservativeSecretDescription	
Achievement/14_FashionistaName	Fashionista
Achievement/14_FashionistaClearCheckerName	Fashionista
Achievement/14_FashionistaDescription	Buy 10 outfits at the shop.
Achievement/14_FashionistaSecretDescription	
Achievement/15_UniverseBestDandyName	Flyest in the Universe
Achievement/15_UniverseBestDandyClearCheckerName	Flyest in\nthe Universe
Achievement/15_UniverseBestDandyDescription	Buy every outfit\nin the shop.
Achievement/15_UniverseBestDandySecretDescription	
Achievement/16_EarthSaverName	The Workers Who Saved Earth
Achievement/16_EarthSaverClearCheckerName	The Workers\nWho Saved Earth
Achievement/16_EarthSaverDescription	View the credits.
EmptyText00	
Achievement/17_EncounterNushiName	It Came from Beneath the Sea
Achievement/17_EncounterNushiClearCheckerName	It Came from\nBeneath the Sea
Achievement/17_EncounterNushiDescription	Get your cargo eaten\nby a mysterious\nsea creature.
Achievement/18_IwillBeBackName	I’ll Be Back!
Achievement/18_IwillBeBackClearCheckerName	I’ll Be Back!
Achievement/18_IwillBeBackDescription	Let the ?????? get away\nduring the ??????.
Achievement/18_IwillBeBackClearDescription	Let the alien boss\nget away during\nthe Moon job.
Achievement/19_UfoInTheSeaName	UFO at Sea
Achievement/19_UfoInTheSeaClearCheckerName	UFO at Sea
Achievement/19_UfoInTheSeaDescription	Give yourself\na high-seas look.
Achievement/19_UfoInTheSeaClearDescription	Complete an Ocean job\nwhile wearing\nthe Sailor Cadet\nor Fishing Boat Flag.
