credits.txt
CREDIT_0_000_TITLE	Metroid Dread
CREDIT_0_001_TITLE	Staff Credits
CREDIT_1_000_SUBTITLE	Producer
CREDIT_1_001	Yoshio Sakamoto
CREDIT_2_000_SUBTITLE	Creative Director
CREDIT_2_001	Jose Luis Márquez
CREDIT_3_000_SUBTITLE	Director
CREDIT_3_001	Fumi Hayashi
CREDIT_4_000_SUBTITLE	Assistant Directors
CREDIT_4_001	Takehiko Hosokawa
CREDIT_4_002	Christian Fernández Santiso
CREDIT_5_000_SUBTITLE	Programming Director
CREDIT_5_001	Alfonso Valladolid Ferrández
CREDIT_6_000_SUBTITLE	Art Director
CREDIT_6_001	Jorge Benedito Chicharro
CREDIT_7_000_SUBTITLE	Music Director
CREDIT_7_001	Kenji Yamamoto
CREDIT_8_000_SUBTITLE	Coordination
CREDIT_8_001	Paul Logue
CREDIT_9_000_SUBTITLE	Production Lead
CREDIT_9_001	Ánima Berriatúa
CREDIT_10_000_SUBTITLE	Production Coordination
CREDIT_10_001	Gádor Valls Osorio
CREDIT_11_000_SUBTITLE	Assistant Producers
CREDIT_11_001	Ester Zanón Fernández
CREDIT_11_002	Marina Alonso Del Amo
CREDIT_11_003	Francisco Tapia Tellarini
CREDIT_12_000_SUBTITLE	Level Design Lead
CREDIT_12_001	Arturo Sánchez Eiras
CREDIT_13_000_SUBTITLE	Level Design
CREDIT_13_001	Aleix Garrido Oberink
CREDIT_14_000_SUBTITLE	Game Design
CREDIT_14_001	José María Navarro Herrera
CREDIT_14_002	Carlos Zarzuela Sánchez
CREDIT_14_003	Jacobo Luengo
CREDIT_15_000_SUBTITLE	Programming Lead
CREDIT_15_001	Fernando Zazo
CREDIT_16_000_SUBTITLE	Main Programming
CREDIT_16_001	Jorge Mendoza Castejón
CREDIT_16_002	David Llansó
CREDIT_16_003	Gonzalo Flórez Puga
CREDIT_16_004	Ángel Luis Cabrero Senderos
CREDIT_16_005	Asier Sánchez Rodríguez
CREDIT_16_006	Guillermo Bañuls Aizpiri
CREDIT_17_000_SUBTITLE	Programming
CREDIT_17_001	Carlos Fraguas Pizarro
CREDIT_17_002	Gonzalo Martín Villaescusa
CREDIT_17_003	Álvaro Valera Vázquez
CREDIT_17_004	Olmo Prieto Sánchez
CREDIT_17_005	Arturo González Díaz
CREDIT_17_006	Víctor Tobes Pérez
CREDIT_17_007	Laura Barrenengoa Clemente
CREDIT_17_008	Jon Diego Martínez
CREDIT_18_000_SUBTITLE	Concept Artists
CREDIT_18_001	David Escribano Herrero
CREDIT_18_002	André Mateus Ferreira Pinheiro
CREDIT_18_003	Concepción Díez Sánchez
CREDIT_18_004	Moisés Míguez González
CREDIT_18_005	Daniel Mallada Rodríguez
CREDIT_18_006	Daniel Alexandre Gonçalves Picanço
CREDIT_18_007	Raúl Arbeloa Santos
CREDIT_19_000_SUBTITLE	3D Modelling Lead
CREDIT_19_001	Angel Román Barriopedro
CREDIT_20_000_SUBTITLE	3D Modelling
CREDIT_20_001	Javier Candeleda García
CREDIT_20_002	Héctor Sanz D'Ors
CREDIT_20_003	Francesco Davide Filianoti
CREDIT_20_004	Santiago García Berrocal
CREDIT_21_000_SUBTITLE	Visual Effects Lead
CREDIT_21_001	Alvaro García Arredondo
CREDIT_22_000_SUBTITLE	Visual Effects Artists
CREDIT_22_001	Rafael Machó Alcaraz
CREDIT_22_002	José Manuel Moreno Valderrama
CREDIT_22_003	Darin Aranda Ahmed
CREDIT_22_004	Christian González Suárez
CREDIT_22_005	Jesús Arenas Civantos
CREDIT_22_006	Gerard Mateo Casas
CREDIT_23_000_SUBTITLE	Lighting Artist
CREDIT_23_001	Raoni Rodríguez Viña
CREDIT_24_000_SUBTITLE	Environment Art Leads
CREDIT_24_001	Pedro José Torres
CREDIT_24_002	Miguel Pascual Romero
CREDIT_25_000_SUBTITLE	Environment Artists
CREDIT_25_001	Javier de Andrés
CREDIT_25_002	Anxo Sotelo Pérez
CREDIT_25_003	Oscar Beteta Valdepeñas
CREDIT_25_004	Fátima Trevilla Campos
CREDIT_25_005	Juan Pablo Paredes Rodríguez
CREDIT_25_006	María Romero Robina
CREDIT_25_007	Esther Agudo Gómez
CREDIT_25_008	Luis Fábregas González
CREDIT_25_009	Andrés Burgos Sánchez de la Blanca
CREDIT_25_010	Adrián Zambrana Acquaroni
CREDIT_25_011	Manuel Mejías González
CREDIT_25_012	Nicolás Alegre Soto
CREDIT_25_013	Jorge Gómez Mourelle
CREDIT_25_014	Pablo Blanes Mones
CREDIT_25_015	Sergio Aloguín
CREDIT_26_000_SUBTITLE	Rigging Lead
CREDIT_26_001	Miguel Orrego Torrado
CREDIT_27_000_SUBTITLE	Rigging
CREDIT_27_001	José Carlos Ramírez Sánchez
CREDIT_28_000_SUBTITLE	Animation Lead
CREDIT_28_001	Alberto Camarasa Cámara
CREDIT_29_000_SUBTITLE	Game Animation
CREDIT_29_001	Alberto Fernández Vázquez
CREDIT_29_002	Luis Pardo Anaya
CREDIT_29_003	Ignacio Astorga Coto
CREDIT_29_004	María Cosgaya Martínez
CREDIT_29_005	Daniel Rodrigo Solanas
CREDIT_29_006	Bernat Gil i Massó
CREDIT_29_007	Alberto Muñoz Sánchez
CREDIT_29_008	Pilar Rodríguez Pérez
CREDIT_29_009	Rubén Martínez Roda
CREDIT_29_010	Carla Lombardo i Lliró
CREDIT_29_011	Paula Porta Vázquez
CREDIT_29_012	Santiago García Berrocal
CREDIT_30_000_SUBTITLE	Cutscenes Animation Lead
CREDIT_30_001	Ricardo Sánchez Castro
CREDIT_31_000_SUBTITLE	Cutscenes Animation
CREDIT_31_001	José Miguel Moreno (Pepemi)
CREDIT_31_002	Leandro Adeodato De Albuquerque
CREDIT_31_003	Irene Gaudioso
CREDIT_31_004	Guillermo Pozo Rodríguez
CREDIT_31_005	Laura Ruiz Chóliz
CREDIT_31_006	Pablo Manresa Molina
CREDIT_31_007	Biel Gil Gosálvez
CREDIT_31_008	Marc Carbonell García
CREDIT_31_009	Daniel de Gustín Reinoso
CREDIT_32_000_SUBTITLE	Art Supervisors
CREDIT_32_001	Takayasu Morisawa
CREDIT_32_002	Fumiko Miyamoto
CREDIT_33_000_SUBTITLE	Package Design
CREDIT_33_001	Yuki Ijiri
CREDIT_34_000_SUBTITLE	Illustration
CREDIT_34_001	Yu Yamamoto
CREDIT_35_000_SUBTITLE	Sound Coordination
CREDIT_35_001	Minako Hamano
CREDIT_36_000_SUBTITLE	Music & Arrangement
CREDIT_36_001	Soshi Abe
CREDIT_36_002	Sayako Doi
CREDIT_37_000_SUBTITLE	Sound Leads
CREDIT_37_001	Emilio Gutiérrez López
CREDIT_37_002	Pablo Balaguer de Diego
CREDIT_38_000_SUBTITLE	Sound Design
CREDIT_38_001	Ignacio Blázquez Roelas
CREDIT_38_002	David Bolaños Gallardo
CREDIT_39_000_SUBTITLE	Audio Technical Support
CREDIT_39_001	Yuichi Ozaki
CREDIT_40_000_SUBTITLE	Original Metroid Music
CREDIT_40_001	Kenji Yamamoto
CREDIT_41_000_SUBTITLE	Voices
CREDIT_41_001	Stephen Hughes
CREDIT_41_002	Dave Rogers Ruiz
CREDIT_41_003	Nikki García
CREDIT_41_004	Holly Renaut
CREDIT_42_000_SUBTITLE	Voice Direction
CREDIT_42_001	Stephen Hughes
CREDIT_43_000_SUBTITLE	Voice Edition
CREDIT_43_001	DRAX Audio
CREDIT_44_000_SUBTITLE	NOA Localization Management
CREDIT_44_001	Reiko Ninomiya
CREDIT_44_002	Rich Amtower
CREDIT_44_003	Ann Lin
CREDIT_44_004	Scot Ritchey
CREDIT_44_005	Álex Zarza
CREDIT_45_000_SUBTITLE	NOA Localization
CREDIT_45_001	Sam AbouHarb
CREDIT_45_002	Michael Benedetto
CREDIT_45_003	Billy Carroll
CREDIT_45_004	Erin Peterson
CREDIT_45_005	Yanett Cepeda Valor
CREDIT_45_006	Dutch Hixenbaugh
CREDIT_45_007	Carolina Quesada
CREDIT_45_008	Ryan Nathaniel Kelley
CREDIT_45_009	Nich Maragos
CREDIT_45_010	Lauren Wells
CREDIT_46_000_SUBTITLE	NOE Localisation Producers
CREDIT_46_001	Giaime Carbonara
CREDIT_46_002	Tetsuya Seya
CREDIT_46_003	Naiara Ordorika Ibarguengoitia
CREDIT_46_004	Andrew Steele-Kaneko
CREDIT_47_000_SUBTITLE	NOE Translation
CREDIT_47_001	Grace Yon
CREDIT_47_002	David Caussèque
CREDIT_47_003	Laurent Godinot
CREDIT_47_004	Chiara Botta
CREDIT_47_005	Valeria Castellino
CREDIT_47_006	Hannah Siebert
CREDIT_47_007	Frithjof Koepp
CREDIT_47_008	Alfonso Díaz Jiménez
CREDIT_47_009	Enrique Sánchez Rosa
CREDIT_47_010	Suzanne Turgeon
CREDIT_47_011	Patrick Koudstaal
CREDIT_47_012	Anastasiia Voronkova
CREDIT_47_013	Anton Ivanchikov
CREDIT_48_000_SUBTITLE	NOK Localization Management
CREDIT_48_001	Dongyeon Kim
CREDIT_49_000_SUBTITLE	NOK Translation
CREDIT_49_001	Yunjin Park
CREDIT_50_000_SUBTITLE	NHL Translation
CREDIT_50_001	Sean Shen
CREDIT_50_002	Tracy Cheng
CREDIT_50_003	DIGITAL HEARTS Co., Ltd.
CREDIT_51_000_SUBTITLE	iQue Translation
CREDIT_51_001	Ling Yayun
CREDIT_51_002	Qiu Xiaochun
CREDIT_52_000_SUBTITLE	MSE Quality Assurance Lead
CREDIT_52_001	Pablo Hernando Vieites
CREDIT_53_000_SUBTITLE	MSE Quality Assurance
CREDIT_53_001	Alejandro Portillo Cañadas
CREDIT_53_002	Lourdes Del Castillo López
CREDIT_53_003	Diego Muñoz Marcos
CREDIT_53_004	Araceli Cazorla González
CREDIT_53_005	Javier Muñoz García
CREDIT_53_006	Jaime Álvarez-Buhilla Mazorra
CREDIT_53_007	Antonio Carrera Otondo
CREDIT_53_008	Enrique Fernández-Peinado Delgado
CREDIT_53_009	Javier Lagares Cáceres
CREDIT_53_010	Javier Arturo Michel Serrano
CREDIT_53_011	Alejandro Martín Martínez
CREDIT_53_012	Marcos Leal Coria
CREDIT_53_013	Bernardo González de Peverelli Luschi
CREDIT_54_000_SUBTITLE	NOA Product Testing
CREDIT_54_001	Zaher Khan
CREDIT_54_002	Gene Pencil
CREDIT_54_003	Andrew Von Arx
CREDIT_54_004	Shane Baker
