common_AvatarCustomize.msbt
AVATARCLOTHES0000000	White T-shirt
AVATARCLOTHES0000001	Black T-shirt
AVATARCLOTHES0000002	Red T-shirt
AVATARCLOTHES0000003	Blue T-shirt
AVATARCLOTHES0000004	Rabbit Costume
AVATARCLOTHES0000005	Green T-shirt
AVATARCLOTHES0000006	Yellow T-shirt
AVATARCLOTHES0000007	Bear Costume
AVATARCLOTHES0000008	Pink T-shirt
AVATARCLOTHES0000009	Grey T-shirt
AVATARCLOTHES0000010	Kimono
AVATARCLOTHES0000011	Lab Coat
AVATARCLOTHES0000012	Navy Suit
AVATARCLOTHES0000013	Grey Suit
AVATARCLOTHES0000014	Elephant Costume
AVATARCLOTHES0000015	Tuxedo
AVATARCLOTHES0000016	Green Dress
AVATARCLOTHES0000017	Pajamas
AVATARCLOTHES0000018	Tank Top
AVATARCLOTHES0000019	Baseball Uniform
AVATARCLOTHES0000020	Soccer Uniform
AVATARCLOTHES0000021	Basketball Uniform
AVATARCLOTHES0000022	Football Uniform
AVATARCLOTHES0000023	Ninja Costume
AVATARCLOTHES0000024	Gi
AVATARCLOTHES0000025	Firefighter Uniform
AVATARCLOTHES0000026	Apron
AVATARCLOTHES0000027	Biker Outfit
AVATARCLOTHES0000028	Chef Uniform
AVATARCLOTHES0000029	Detective Outfit
AVATARCLOTHES0000030	Hoodie
AVATARCLOTHES0000031	Striped Shirt
AVATARCLOTHES0000032	Camouflage
AVATARCLOTHES0000033	Hawaiian Shirt
AVATARCLOTHES0000034	Sports Jersey
AVATARCLOTHES0000035	Space Suit
AVATARCLOTHES0000036	School Uniform
AVATARCLOTHES0000037	Pilot Uniform
AVATARCLOTHES0000038	Studded Outfit
AVATARCLOTHES0000039	Kingly Robes
AVATARCLOTHES0000040	Queenly Robes
AVATARCLOTHES0000041	Polo Shirt
AVATARCLOTHES0000042	Fishing Vest
AVATARCLOTHES0000043	Sailor Uniform
AVATARCLOTHES0000044	Explorer Outfit
AVATARCLOTHES0000045	Princess Dress
AVATARCLOTHES0000046	Tattered Outfit
AVATARCLOTHES0000047	Pirate Costume
AVATARCLOTHES0000048	Iron Armor
AVATARCLOTHES0000049	Honeybee Costume
AVATARCLOTHES0000050	Cardigan Sweater
AVATARCLOTHES0000051	Trench Coat
AVATARCLOTHES0000052	Muscle Shirt
AVATARCLOTHES0000053	White Dress
AVATARCLOTHES0000054	White Suit
AVATARCLOTHES0000055	Cheerleader Uniform
AVATARCLOTHES0000056	Jester Costume
AVATARCLOTHES0000057	Viking Outfit
AVATARCLOTHES0000058	Samurai Armor
AVATARCLOTHES0000059	Overalls
AVATARCLOTHES0000060	Tailcoat
AVATARCLOTHES0000061	Flashy Suit
AVATARCLOTHES0000062	Black Coat
AVATARCLOTHES0000063	Frog Costume
AVATARCLOTHES0000064	Wizard Robes
AVATARCLOTHES0000065	Vampire Costume
AVATARCLOTHES0000066	Pop-Star Dress
AVATARCLOTHES0000067	Cowboy Outfit
AVATARCLOTHES0000068	Toga
AVATARCLOTHES0000069	Ballet Tutu
AVATARCLOTHES0000070	Leopard-Print Outfit
AVATARCLOTHES0000071	Artist Apron
AVATARCLOTHES0000072	Wonderland Apron
AVATARCLOTHES0000073	Red Riding Outfit
AVATARCLOTHES0000074	Nightgown
AVATARCLOTHES0000075	Theatrical Outfit
AVATARCLOTHES0000076	Flamenco Outfit
AVATARCLOTHES0000077	Hula Outfit
AVATARCLOTHES0000078	Bathing Suit
AVATARCLOTHES0000079	Leaf Outfit
AVATARCLOTHES0000080	Untamed Outfit
AVATARCLOTHES0000081	Strawberry Outfit
AVATARCLOTHES0000082	Orange Outfit
AVATARCLOTHES0000083	Cow Costume
AVATARCLOTHES0000084	Reindeer Costume
AVATARCLOTHES0000085	Egg Costume
AVATARCLOTHES0000086	Track Uniform
AVATARCLOTHES0000087	Event-Staff Uniform
AVATARCLOTHES0000088	VIP Outfit
AVATARCLOTHES0000089	Silk Jacket
AVATARCLOTHES0000090	Black Dress
AVATARCLOTHES0000091	Backpacking Outfit
AVATARCLOTHES0000092	Pro-Gamer Clothing
AVATARCLOTHES0000093	Calico-Cat Costume
AVATARCLOTHES0000094	Gala Outfit
AVATARCLOTHES0000095	Jiangshi Costume
AVATARCLOTHES0000096	UFO Costume
AVATARCLOTHES0000097	Anglerfish Costume
AVATARCLOTHES0000098	Panda Costume
AVATARCLOTHES0000099	Rugby Uniform
AVATARCLOTHES0000100	Wrestling Uniform
AVATARCLOTHES0000101	Flight Jacket
AVATARCLOTHES0000102	Silk Outfit
AVATARCLOTHES0000103	Dragon Costume
AVATARCLOTHES0000104	Waffle-Cone Costume
AVATARCLOTHES0000105	Flower-Print Dress
AVATARCLOTHES0000106	Santa Costume
AVATARCLOTHES0000107	Bat Costume
AVATARCLOTHES0000108	Stone Age Outfit
AVATARCLOTHES0000109	Nurse Uniform
AVATARCLOTHES0000110	Poncho
AVATARCLOTHES0000111	Tengu Costume
AVATARCLOTHES0000112	Forest Outfit
AVATARCLOTHES0000113	Travel Outfit
AVATARCLOTHES0000114	Straw Cape
AVATARCLOTHES0000115	Nutcracker Costume
AVATARCLOTHES0000116	Mermaid Costume
AVATARCLOTHES0000117	Sari
AVATARCLOTHES0000118	Shark Costume
AVATARCLOTHES0000119	Dog Costume
AVATARCLOTHES0000120	Office Outfit
AVATARCLOTHES0000121	Star-Print Outfit
AVATARCLOTHES0000122	Tyrolean Outfit
AVATARCLOTHES0000123	Frankenstein Costume
AVATARCLOTHES0000124	Mummy Costume
AVATARCLOTHES0000125	Turtle Costume
AVATARCLOTHES0000126	Polka-Dot Outfit
AVATARCLOTHES0000127	Cloud Costume
AVATARCLOTHES0000128	Ramen-Bowl Costume
AVATARCLOTHES0000129	Unicorn Costume
AVATARCLOTHES0000130	Chicken Costume
AVATARCLOTHES0000131	Wolf Costume
AVATARCLOTHES0000132	Tiger Costume
AVATARCLOTHES0000133	Cake Costume
AVATARCLOTHES0000134	Samba Outfit
AVATARCLOTHES0000135	Hero Costume
AVATARCLOTHES0000140	Volleyball Uniform
AVATARCLOTHES0000141	Corn Costume
AVATARCLOTHES0000142	Squid Costume
AVATARCLOTHES0000143	Monkey King Outfit
AVATARCLOTHES0000144	Construction Uniform
AVATARCLOTHES0000145	Wet Suit
AVATARCLOTHES0000146	Dignified Suit
AVATARCLOTHES0000147	Haute Couture Suit
AVATARHEADGEAR9999999	None
AVATARHEADGEAR0000000	Bear Hood
AVATARHEADGEAR0000001	Rabbit Hood
AVATARHEADGEAR0000002	Elephant Hood
AVATARHEADGEAR0000003	Frog Hood
AVATARHEADGEAR0000004	Pajama Cap
AVATARHEADGEAR0000005	Straw Hat
AVATARHEADGEAR0000006	Baseball Cap
AVATARHEADGEAR0000007	Football Helmet
AVATARHEADGEAR0000008	Ninja Hood
AVATARHEADGEAR0000009	Firefighter Helmet
AVATARHEADGEAR0000010	Motorcycle Helmet
AVATARHEADGEAR0000011	Chef Hat
AVATARHEADGEAR0000012	Deerstalker
AVATARHEADGEAR0000013	Bicycle Helmet
AVATARHEADGEAR0000014	Space Helmet
AVATARHEADGEAR0000015	Graduation Cap
AVATARHEADGEAR0000016	Pilot Cap
AVATARHEADGEAR0000017	Punk Wig
AVATARHEADGEAR0000018	Strawberry Hood
AVATARHEADGEAR0000019	Orange Hood
AVATARHEADGEAR0000020	Apple Hood
AVATARHEADGEAR0000021	Crown
AVATARHEADGEAR0000022	Tiara
AVATARHEADGEAR0000023	Curly Wig
AVATARHEADGEAR0000024	Scholar Wig
AVATARHEADGEAR0000025	Geisha Wig
AVATARHEADGEAR0000026	White Bow
AVATARHEADGEAR0000027	Sun Visor
AVATARHEADGEAR0000028	Fisherman Cap
AVATARHEADGEAR0000029	Headphones
AVATARHEADGEAR0000030	Fedora
AVATARHEADGEAR0000031	Party Hat
AVATARHEADGEAR0000032	Construction Helmet
AVATARHEADGEAR0000033	Sailor Cap
AVATARHEADGEAR0000034	Explorer Hat
