common_AvatarCustomize.msbt
AVATARCLOTHES0000000	しろいＴシャツ
AVATARCLOTHES0000001	くろいＴシャツ
AVATARCLOTHES0000002	あかいＴシャツ
AVATARCLOTHES0000003	あおいＴシャツ
AVATARCLOTHES0000004	ウサギのふく
AVATARCLOTHES0000005	みどりのＴシャツ
AVATARCLOTHES0000006	きいろいＴシャツ
AVATARCLOTHES0000007	クマのふく
AVATARCLOTHES0000008	ピンクのＴシャツ
AVATARCLOTHES0000009	グレーのＴシャツ
AVATARCLOTHES0000010	きもの
AVATARCLOTHES0000011	はくい
AVATARCLOTHES0000012	こんいろのスーツ
AVATARCLOTHES0000013	グレーのスーツ
AVATARCLOTHES0000014	ゾウのふく
AVATARCLOTHES0000015	ちょうネクタイのスーツ
AVATARCLOTHES0000016	グリーンのドレス
AVATARCLOTHES0000017	パジャマ
AVATARCLOTHES0000018	タンクトップ
AVATARCLOTHES0000019	やきゅうのふく
AVATARCLOTHES0000020	サッカーのふく
AVATARCLOTHES0000021	バスケのふく
AVATARCLOTHES0000022	アメフトのふく
AVATARCLOTHES0000023	にんじゃのふく
AVATARCLOTHES0000024	どうぎ
AVATARCLOTHES0000025	しょうぼうしのふく
AVATARCLOTHES0000026	エプロンのふく
AVATARCLOTHES0000027	ライダーのふく
AVATARCLOTHES0000028	コックさんのふく
AVATARCLOTHES0000029	たんていのふく
AVATARCLOTHES0000030	パーカー
AVATARCLOTHES0000031	しましまのふく
AVATARCLOTHES0000032	めいさいのふく
AVATARCLOTHES0000033	アロハシャツ
AVATARCLOTHES0000034	ジャージ
AVATARCLOTHES0000035	うちゅうふく
AVATARCLOTHES0000036	アカデミーのふく
AVATARCLOTHES0000037	パイロットのふく
AVATARCLOTHES0000038	トゲトゲのふく
AVATARCLOTHES0000039	キングのふく
AVATARCLOTHES0000040	クイーンのふく
AVATARCLOTHES0000041	ポロシャツ
AVATARCLOTHES0000042	つりびとのベスト
AVATARCLOTHES0000043	セーラーのふく
AVATARCLOTHES0000044	たんけんふく
AVATARCLOTHES0000045	マジカルなドレス
AVATARCLOTHES0000046	ボロボロなふく
AVATARCLOTHES0000047	かいぞくのふく
AVATARCLOTHES0000048	てつのヨロイ
AVATARCLOTHES0000049	ミツバチのふく
AVATARCLOTHES0000050	カーディガンのせいふく
AVATARCLOTHES0000051	トレンチコート
AVATARCLOTHES0000052	マッチョなふく
AVATARCLOTHES0000053	しろいドレス
AVATARCLOTHES0000054	しろいスーツ
AVATARCLOTHES0000055	チアリーダーのふく
AVATARCLOTHES0000056	ピエロのふく 
AVATARCLOTHES0000057	バイキングのふく
AVATARCLOTHES0000058	かっちゅう
AVATARCLOTHES0000059	オーバーオール
AVATARCLOTHES0000060	えんびふく
AVATARCLOTHES0000061	ハデなスーツ
AVATARCLOTHES0000062	くろいコート
AVATARCLOTHES0000063	カエルのふく
AVATARCLOTHES0000064	まほうつかいのふく 
AVATARCLOTHES0000065	ドラキュラのふく
AVATARCLOTHES0000066	アイドルのふく
AVATARCLOTHES0000067	ウェスタンなふく
AVATARCLOTHES0000068	こだいギリシャのふく
AVATARCLOTHES0000069	バレエのふく 
AVATARCLOTHES0000070	ヒョウがらのふく
AVATARCLOTHES0000071	アートなふく
AVATARCLOTHES0000072	アリスのふく
AVATARCLOTHES0000073	あかずきんのふく
AVATARCLOTHES0000074	ネグリジェ 
AVATARCLOTHES0000075	ステージいしょう
AVATARCLOTHES0000076	フラメンコのふく
AVATARCLOTHES0000077	フラダンスのふく
AVATARCLOTHES0000078	リゾートみずぎ
AVATARCLOTHES0000079	このはのふく
AVATARCLOTHES0000080	ワイルドなふく
AVATARCLOTHES0000081	いちごのふく 
AVATARCLOTHES0000082	オレンジのふく
AVATARCLOTHES0000083	ウシのふく
AVATARCLOTHES0000084	トナカイのふく
AVATARCLOTHES0000085	たまごのから
AVATARCLOTHES0000086	ランナーのふく 
AVATARCLOTHES0000087	イベントスタッフのふく
AVATARCLOTHES0000088	ストリートなふく
AVATARCLOTHES0000089	スカジャン
AVATARCLOTHES0000090	くろいドレス
AVATARCLOTHES0000091	アウトドアなふく
AVATARCLOTHES0000092	プロゲーマーのふく
AVATARCLOTHES0000093	みけねこのふく
AVATARCLOTHES0000094	ゴージャスなふく
AVATARCLOTHES0000095	キョンシーのふく
AVATARCLOTHES0000096	UFOのふく
AVATARCLOTHES0000097	アンコウのふく
AVATARCLOTHES0000098	パンダのふく
AVATARCLOTHES0000099	ラグビーのふく
AVATARCLOTHES0000100	レスラーのふく
AVATARCLOTHES0000101	フライトジャケット
AVATARCLOTHES0000102	チャイナふく
AVATARCLOTHES0000103	ドラゴンのふく
AVATARCLOTHES0000104	ワッフルコーンのふく
AVATARCLOTHES0000105	はながらワンピ 
AVATARCLOTHES0000106	サンタクロースのふく
AVATARCLOTHES0000107	コウモリのふく
AVATARCLOTHES0000108	サバイバルなふく
AVATARCLOTHES0000109	ナースウェア
AVATARCLOTHES0000110	ポンチョ
AVATARCLOTHES0000111	てんぐのふく
AVATARCLOTHES0000112	もりのふく
AVATARCLOTHES0000113	たびのふく
AVATARCLOTHES0000114	みの
AVATARCLOTHES0000115	くるみわりなふく
AVATARCLOTHES0000116	にんぎょのふく
AVATARCLOTHES0000117	サリー
AVATARCLOTHES0000118	サメのふく
AVATARCLOTHES0000119	イヌのふく
AVATARCLOTHES0000120	オフィスなふく
AVATARCLOTHES0000121	ほしがらのふく
AVATARCLOTHES0000122	チロリアンなふく
AVATARCLOTHES0000123	フランケンなふく
AVATARCLOTHES0000124	ミイラのふく
AVATARCLOTHES0000125	カメのふく
AVATARCLOTHES0000126	みずたまのふく
AVATARCLOTHES0000127	くものふく
AVATARCLOTHES0000128	ラーメンどんぶり
AVATARCLOTHES0000129	ユニコーンのふく
AVATARCLOTHES0000130	ニワトリのふく
AVATARCLOTHES0000131	オオカミのふく
AVATARCLOTHES0000132	トラのふく
AVATARCLOTHES0000133	ケーキのふく
AVATARCLOTHES0000134	サンバのふく
AVATARCLOTHES0000135	マントのふく
AVATARCLOTHES0000140	バレーボールのふく
AVATARCLOTHES0000141	トウモロコシのふく
AVATARCLOTHES0000142	イカのふく
AVATARCLOTHES0000143	ソンゴクウなふく
AVATARCLOTHES0000144	こうじげんばのふく
AVATARCLOTHES0000145	ダイビングスーツ
AVATARCLOTHES0000146	エレガントなスーツ
AVATARCLOTHES0000147	オートクチュールなスーツ
AVATARHEADGEAR9999999	みにつけない
AVATARHEADGEAR0000000	クマのぼうし
AVATARHEADGEAR0000001	ウサギのぼうし
AVATARHEADGEAR0000002	ゾウのぼうし
AVATARHEADGEAR0000003	カエルのぼうし
AVATARHEADGEAR0000004	パジャマぼうし
AVATARHEADGEAR0000005	むぎわらぼうし
AVATARHEADGEAR0000006	やきゅうのぼうし
AVATARHEADGEAR0000007	アメフトのヘルメット
AVATARHEADGEAR0000008	にんじゃのずきん
AVATARHEADGEAR0000009	しょうぼうしのぼうし
AVATARHEADGEAR0000010	フルフェイスメット
AVATARHEADGEAR0000011	コックさんのぼうし
AVATARHEADGEAR0000012	たんていのぼうし
AVATARHEADGEAR0000013	じてんしゃヘルメット
AVATARHEADGEAR0000014	うちゅうふくのヘルメット
AVATARHEADGEAR0000015	アカデミーのぼうし
AVATARHEADGEAR0000016	パイロットのぼうし
AVATARHEADGEAR0000017	パンクなカツラ
AVATARHEADGEAR0000018	いちごのぼうし
