ActorType\ArmorHead.msbt
Armor_015_Head_Name	海利亚兜帽
Armor_015_Head_Desc	选取海拉鲁传统工艺织出的结实布料，\n并以此制成的兜帽。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_004_Head_Name	海利亚兜帽
Armor_004_Head_Desc	选取海拉鲁传统工艺织出的结实布料，\n并以此制成的兜帽。\n通过大精灵的力量，能使防御力提高3级。
Armor_003_Head_Name	海利亚兜帽
Armor_003_Head_Desc	选取海拉鲁传统工艺织出的结实布料，\n并以此制成的兜帽。\n通过大精灵的力量，能使防御力提高2级。
Armor_002_Head_Name	海利亚兜帽
Armor_002_Head_Desc	选取海拉鲁传统工艺织出的结实布料，\n并以此制成的兜帽。\n通过大精灵的力量，能使防御力提高1级。
Armor_001_Head_Name	海利亚兜帽
Armor_001_Head_Desc	选取海拉鲁传统工艺织出的结实布料，\n并以此制成的兜帽。由于可以保护头部\n免受风雨和强烈日晒，因此深受旅行者欢迎。
Armor_098_Head_Name	海利亚士兵头盔
Armor_098_Head_Desc	保护和怪物进行激烈战斗的前线士兵的头盔。\n它由金属制成十分坚固，高防御力是其特点。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_097_Head_Name	海利亚士兵头盔
Armor_097_Head_Desc	保护和怪物进行激烈战斗的前线士兵的头盔。\n它由金属制成十分坚固，高防御力是其特点。\n通过大精灵的力量，能使防御力提高3级。
Armor_096_Head_Name	海利亚士兵头盔
Armor_096_Head_Desc	保护和怪物进行激烈战斗的前线士兵的头盔。\n它由金属制成十分坚固，高防御力是其特点。\n通过大精灵的力量，能使防御力提高2级。
Armor_095_Head_Name	海利亚士兵头盔
Armor_095_Head_Desc	保护和怪物进行激烈战斗的前线士兵的头盔。\n它由金属制成十分坚固，高防御力是其特点。\n通过大精灵的力量，能使防御力提高1级。
Armor_020_Head_Name	海利亚士兵头盔
Armor_020_Head_Desc	保护最前线战斗士兵的头盔。\n它由金属制成十分坚固，高防御力是其特点。\n现有的头盔是大灾厄时完好无损保留下来的。
Armor_140_Head_Name	琥珀耳坠
Armor_140_Head_Desc	使用蕴含大地之力量的宝石琥珀所制成的耳坠。\n装备后因其加护，防御力会增加。\n通过大精灵的力量，能使防御力提高到最高等级。
Armor_139_Head_Name	琥珀耳坠
Armor_139_Head_Desc	使用蕴含大地之力量的宝石琥珀所制成的耳坠。\n装备后因其加护，防御力会增加。\n通过大精灵的力量，能使防御力提高3级。
Armor_138_Head_Name	琥珀耳坠
