AbilityList.msbt
$TownAbilityListAttackText	攻擊力
$TownAbilityListMultiTapText	連射力
$TownAbilityListTitleText	進化種類
Btn_Set	設定
Btn_Evolution	進化
Btn_Strengthen	強化
Blueprint_Name	{[0309|0000]}設計圖
CopyAbility_StrengthenedName	{[0309|0000]}{[0109|0200]}{[0301|0000]}
$TownAbilityListBlueprintDetailText	進化所需物品
$AbilityListDuringSetText	設定中
CopyAbility_Detail_Bomb	長按按鍵瞄準後丟出炸彈。\n拿了就丟，砰砰作響的煙火！\n一邊跑一邊丟，讓炸彈在地上滾動，\n從坡道上滾啊滾地來個全倒！
CopyAbility_Detail_ChainBomb	連鎖也就是連鎖發動的炸彈！\n長按進行瞄準後丟出炸彈佈局，\n引爆後就會產生連鎖反應，砰砰砰地爆炸！\n相連的炸彈越多傷害也會越高！
CopyAbility_Detail_SearchBomb	更加新型的行走炸彈！\n炸彈丟出後會自動搜索敵人，\n一旦發現敵人就會鎖定目標突進！\n還能以連鎖炸彈追擊敵人！
CopyAbility_Detail_Crash	引發大爆炸吧！\nDANGER DANGER的終極武器！\n長按按鍵變得更～加DANGER，\n波及四周，360度全方位無死角！
CopyAbility_Detail_TimeCrash	這不會就是終極的武器吧？\n連時間都能操控的新武器！\n將這個世界的一切都變成慢動作，\n接著快速行動，破壞一切！
CopyAbility_Detail_Cutter	擲出嗡嗡作響的迴旋刀刃吧！\n擲出後又回到手上，獲得道具了。\n長按按鍵蓄力就會停在空中喔。\n靜止蓄力，威力也會跟著提升！
CopyAbility_Detail_ChakramCutter	居然是彎刀二刀流！\n操縱著兩輪圓月，\n交替投擲，劈砍四周。\n在空中嗡嗡作響，交錯飛過的圓月彎刀！
CopyAbility_Detail_MetalCutter	出招吧！投擲出去吧！金屬彎刀！\n不但射程更遠，威力也更加提升。\n命中牆壁就會鏗鏘作響，\n善用反射使射程更遠一些吧！
CopyAbility_Detail_Drill	鑽擊挖啊挖，在地底前進，\n似乎還能潛入地底躲避敵人的攻擊！\n只要在地底潛行，繼續前進，\n原本到不了的地方也能順利潛入！
CopyAbility_Detail_PencilDrill	獨特設計的個性派鑽擊！\n超大的鉛筆雖然沒辦法寫字，\n卻可以挖掘大地潛入地底再竄出來。\n射擊吧！發射吧！鉛筆火箭！
CopyAbility_Detail_TwinDrill	使用雙重鑽擊進行攻擊吧！\n有著只要在敵人下方的地底潛行\n就可以迅速打倒敵人的優秀能力！\n不但速度提升了，傷害也提升了！
CopyAbility_Detail_Fire	烈火——！好燙！真的好燙！\n這熊熊燃燒的火焰之力，\n連導火線也能點燃，燙燙燙！\n使用衝刺突進，燃燒吧！
