AbilityList.msbt
$TownAbilityListAttackText	攻击力
$TownAbilityListMultiTapText	连射力
$TownAbilityListTitleText	进化种类
Btn_Set	设定
Btn_Evolution	进化
Btn_Strengthen	强化
Blueprint_Name	{[0309|0000]}设计图
CopyAbility_StrengthenedName	{[0309|0000]}{[0109|0200]}{[0301|0000]}
$TownAbilityListBlueprintDetailText	进化所需物品
$AbilityListDuringSetText	设定中
CopyAbility_Detail_Bomb	长按按键瞄准后丢出炸弹。\n拿了就丢，砰砰作响的烟火！\n一边跑一边丢，让炸弹在地上滚动，\n从坡道上滚啊滚地来个全倒！
CopyAbility_Detail_ChainBomb	连锁也就是连锁发动的炸弹！\n长按进行瞄准后丢出炸弹布局，\n引爆后就会产生连锁反应，砰砰砰地爆炸！\n相连的炸弹越多伤害也会越高！
CopyAbility_Detail_SearchBomb	更加新型的行走炸弹！\n炸弹丢出后会自动搜索敌人，\n一旦发现敌人就会锁定目标突进！\n还会以连锁炸弹追击敌人！
CopyAbility_Detail_Crash	引发大爆炸吧！\nDANGER DANGER的终极武器！\n长按按键变得更～加DANGER，\n波及四周，360度全方位无死角！
CopyAbility_Detail_TimeCrash	这不会就是终极武器了吧？\n连时间都能操控的新武器！\n将这个世界的一切都变成慢动作，\n而自己快速行动，破坏一切！
CopyAbility_Detail_Cutter	掷出嗡嗡作响的回旋刀刃吧！\n掷出后又回到手上，获得道具了。\n长按按键蓄力就会停在空中哦。\n滞空蓄力，威力也会跟着提升！
CopyAbility_Detail_ChakramCutter	居然是弯刀二刀流！\n操纵着两轮圆月，\n交替投掷，劈砍四周。\n在空中嗡嗡作响，交错纷飞的圆月弯刀！
CopyAbility_Detail_MetalCutter	出招吧！投掷出去吧！金属弯刀！\n不但射程更远，威力也更加提升。\n命中墙壁就会锵锵作响，\n善用反弹，使射程更远一些吧！
CopyAbility_Detail_Drill	钻击挖啊挖，在地底前进，\n似乎还能潜入地底躲避敌人的攻击！\n只要在地底潜行，继续前进，\n原本到不了的地方也能顺利潜入！
CopyAbility_Detail_PencilDrill	具有独特设计，极具个性的钻击！\n超大的铅笔虽然没办法写字，\n却可以挖掘大地，潜入地底再窜出来。\n射击吧！发射吧！铅笔火箭！
CopyAbility_Detail_TwinDrill	使用双重钻击进行攻击吧！\n具有只要在敌人下方的地底潜行\n就可以迅速打倒敌人的优秀能力！\n不但速度提升了，伤害也提升了！
CopyAbility_Detail_Fire	烈火——！好烫！真的好烫！\n这熊熊燃烧的火焰之力，\n连导火线也能点燃，烫烫烫！\n使用冲刺突进，燃烧吧！
CopyAbility_Detail_VolcanoFire	轰地一声，火山要爆发了！\n大地的地热造就了威力强大的烈火！\n砰砰砰地发射岩浆子弹，\n命中目标后连大地也熊熊燃烧化作焦土！
CopyAbility_Detail_DragonFire	奇幻的怪物终于现身了！\n呼出吐息宛如火焰喷射器，\n释放燃烧攻击时会拍动翅膀！\n长按时就像龙在空中滑翔飞舞！
CopyAbility_Detail_Hammer	威力超群，强而有力的锤子。\n虽然攻击距离短了一点点，\n却能够把桩和敌人都打扁！\n长按进行蓄力，必杀技……鬼杀！
CopyAbility_Detail_ToyHammer	会发出哔哔声，非常可爱的锤子。\n但这可不是玩具哦！\n无论是桩还是敌人都会被打得扁扁的，\n连续攻击能力也一举获得提升！
CopyAbility_Detail_RockHammer	又重又坚硬，狂野无比的锤子！\n虽不太具备连续攻击的能力……\n但一锤敲落，便可释放出让大地龟裂，\n十分疼痛的一击，造成巨大的伤害！
CopyAbility_Detail_DededeHammer	自称大王的那位所拿的锤子！\n变身狂野蒙面侠后，\n用双手使出威力十足的强势攻击！\n就用这最强的锤子，来……上吧！
CopyAbility_Detail_Ice	好冷哦～！使用吐息，呼～呼～呼～\n把冰块踢飞吧！\n使用溜冰冲刺轻快地移动，\n不论在泥沼还是岩浆上都能迅速冲刺！
CopyAbility_Detail_FrostyIce	戴着可爱帽子的冰霜冰冻。\n呼～呼～吹出吐息，\n创造出一个又一个雪人。\n哎呀，长相都一模一样呢！
CopyAbility_Detail_BlizzardIce	带来严寒暴雪的暴风雪！\n帅气的帽子是冰之头冠。\n不断吹出寒冰吐息，并使用冰锥进行攻击。\n这就是最强的冰冻能力！
CopyAbility_Detail_Needle	滚来滚去～滚来滚去～\n利用碰到会很～痛的尖刺攻击敌人！\n刺中并卷入星星或敌人，\n“嘭”地放开，撞向四周吧！
CopyAbility_Detail_JunkNeedle	使用废品素材连续戳刺，\n碰到滚动的针刺可是会很痛的哦！\n砰地发射后，无数废品刺\n便会飞向四周，好痛好痛！
CopyAbility_Detail_CrystalNeedle	由天然素材构成，硬邦邦的水晶。\n只要一释放，水晶就会四处飞散！\n滚动的时间也会变得更～长，\n在地上留下尖刺陷阱吧！
CopyAbility_Detail_Ranger	星星子弹发射！\n闪耀光芒的射击，射程可是很远的哦。\n戴上威风凛凛的探险帽，\n选定目标后蓄力，发射！
CopyAbility_Detail_EliteRanger	头戴贵族帽子，造型华丽的探巡队。\n双手各拿着连发枪！\n蓄力射击也变成连续射击，\n不放过任何目标，一定会命中红心！
CopyAbility_Detail_SpaceRanger	飞向宇宙吧！太空探巡队！\n用镭射枪发射镭射光束吧！\n闪耀光芒的子弹只要击中敌人\n就能造成连续命中，伤害也会倍增！
CopyAbility_Detail_Sleep	再睡1分钟……Zzz……\n让我……再睡一会嘛……好困……Zz……\n睡觉期间……会回复……一点点……\nZz……Zz……z……
CopyAbility_Detail_DeepSleep	迷迷糊糊……Zzz……\n走向……床边……钻进被窝……Zz……\n起床以后……会拿出……真本事的……\nZz……Zz……z……
CopyAbility_Detail_Sword	戴着绿色帽子的剑之勇者\n朝着新世界前进！\n不但能斩断各种东西，还能累积威力，\n目标是成为新·世界的利剑大师！
