AbilityList.msbt
$TownAbilityListAttackText	こうげき{r2[りょく]}力{/r2}
$TownAbilityListMultiTapText	れんしゃ{r2[りょく]}力{/r2}
$TownAbilityListTitleText	しんかのしゅるい
Btn_Set	セット
Btn_Evolution	しんか
Btn_Strengthen	きょうか
Blueprint_Name	{[0309|0000]}のせっけい{r2[ず]}図{/r2}
CopyAbility_StrengthenedName	{[0309|0000]}{[0109|0200]}{[0301|0000]}
$TownAbilityListBlueprintDetailText	しんかに ひつようなもの
$AbilityListDuringSetText	セット{r2[ちゅう]}中{/r2}
CopyAbility_Detail_Bomb	ボタン{r2[なが]}長{/r2}おし ねらって ポイポイ。\nもって {r2[な]}投{/r2}げちゃえ ドンパチ {r2[はなび]}花火{/r2}だ！\n{r2[はし]}走{/r2}って ポイっと {r2[じめん]}地面{/r2}に ころがし\nさか{r2[みち]}道{/r2} コロコロ ストライク！
CopyAbility_Detail_ChainBomb	チェイン すなわち {r2[れん]}連{/r2}さ するボム！\n{r2[なが]}長{/r2}おし ねらって ポイポイ しかけて\nきばくを したなら チェインで ボボボン！\nつながるほどに ダメージも アップ！
CopyAbility_Detail_SearchBomb	さらに {r2[しん]}新{/r2}がた {r2[ある]}歩{/r2}くボム！\nポイっと {r2[な]}投{/r2}げたら てきを サーチし\n{r2[はっけん]}発見{/r2}したなら めがけて とっしん！\nさらに チェインで てきを {r2[お]}追{/r2}いこむ！
CopyAbility_Detail_Crash	{r2[だい]}大{/r2}ばくはつを ひきおこす！\n{r2[デンジャー]}DANGER{/r2} {r2[デンジャー]}DANGER{/r2} さいしゅうへいき！\nボタン{r2[なが]}長{/r2}おしで も〜っと {r2[デンジャー]}DANGER{/r2}\n360{r2[ど]}度{/r2} あたりを まきこめっ！
CopyAbility_Detail_TimeCrash	さいしゅうへいき じゃ なかったの？\n{r2[とき]}時{/r2}さえ あやつる {r2[しん]}新{/r2}へいき！\n{r2[すべ]}全{/r2}てを スローの {r2[せかい]}世界{/r2}に しながら\nすばやく {r2[うご]}動{/r2}いて {r2[すべ]}全{/r2}てを はかいだ！
CopyAbility_Detail_Cutter	ブンブン {r2[な]}投{/r2}げるよ やいばのブーメラン！\n{r2[な]}投{/r2}げては もどって、アイテムゲットだ。\nボタン{r2[なが]}長{/r2}おし チャージで {r2[と]}止{/r2}まるよ\n{r2[と]}止{/r2}まって たまって いりょくもアップだ！
CopyAbility_Detail_ChakramCutter	まさかの カッター {r2[にとうりゅう]}二刀流{/r2}！\n２つの {r2[えんげつ]}円月{/r2} あやつって\nこうごに {r2[な]}投{/r2}げては あたりを きりさく。\nブンブン {r2[と]}飛{/r2}びかう {r2[えんげつ]}円月{/r2}カッターだ！
CopyAbility_Detail_MetalCutter	{r2[う]}打{/r2}つよ はなつよ メタルなカッター！\n{r2[と]}飛{/r2}ぶ きょり のびるし いりょくもアップ。\nカベに {r2[あ]}当{/r2}たれば キンコン カンコン！\n{r2[はん]}反{/r2}しゃを {r2[い]}活{/r2}かして {r2[とお]}遠{/r2}くへ {r2[と]}飛{/r2}んでけ！
CopyAbility_Detail_Drill	ドリル ホリホリ {r2[ちちゅう]}地中{/r2}をすすんで、\nてきの こうげき もぐって かわせそう！\nもぐって すすめば イケナイ{r2[ばしょ]}場所{/r2}にも\nスルリとつにゅう しちゃいます！
CopyAbility_Detail_PencilDrill	ユニークデザインの こせいはドリル！\nどデカイ ペンシル {r2[じ]}字{/r2}は かけないけど\n{r2[だいち]}大地{/r2} ホリホリ もぐって {r2[と]}飛{/r2}び{r2[だ]}出{/r2}し\nうつよ はなつよ ペンシルロケット！
CopyAbility_Detail_TwinDrill	ツインズ ふたごの ドリルでアタック！\nてきの ましたを モコモコ {r2[い]}行{/r2}くだけで\nバシバシ たおせる すぐれモノ！\nスピードも アップし ダメージも アップ！
CopyAbility_Detail_Fire	ファイアァー！ あっつい、これは あつすぎる！\nそんな メラメラ {r2[かえん]}火炎{/r2}の {r2[ちから]}力{/r2}で\nどう{r2[かせん]}火線{/r2}にも {r2[ひ]}火{/r2}をつけ アッチチ！\nダッシュで とっしん、バァーニング！
CopyAbility_Detail_VolcanoFire	ドッカン はなつよ ボルケーノ！\n{r2[だいち]}大地{/r2}の {r2[ち]}地{/r2}ねつで パワフルファイアだ\nようがん だん{r2[がん]}丸{/r2} ボンボンはなって\n{r2[ちゃく]}着{/r2}だん メラメラ {r2[だいち]}大地{/r2}も こがすっ！
CopyAbility_Detail_DragonFire	まぼろしの モンスター ついに あらわる！\nはなつ ブレスは {r2[かえん]}火炎{/r2}ほうしゃき\nバーニング はなてば つばさも はばたく！\n{r2[なが]}長{/r2}おし かっくう {r2[そら]}空{/r2}まう ドラゴンだ！
CopyAbility_Detail_Hammer	パワーばつぐん パワフル ハンマー。\nリーチは ちょこっと みじかい けれど\nクイも てきも ペッタンコ！\n{r2[なが]}長{/r2}おし チャージで、ひっさつ… {r2[おに]}鬼{/r2}ごろし！
CopyAbility_Detail_ToyHammer	ピコッと プリティ かわいいハンマー。\nだけど オモチャじゃ ないんだぜ！\nクイも てきも バシッと ペラペラ\n{r2[れん]}連{/r2}しゃ せい{r2[のう]}能{/r2}も グーンと アップ！
CopyAbility_Detail_RockHammer	{r2[おも]}重{/r2}いぞ カタイぞ ワイルドな ハンマー！\n{r2[れん]}連{/r2}しゃ せいのうは たよりないけど…\nたたけば {r2[だいち]}大地{/r2}に ヒビはしる ほど\nイタい いちげき とく{r2[だい]}大{/r2}ダメージ！
CopyAbility_Detail_DededeHammer	じしょう {r2[だいおう]}大王{/r2}の あのハンマー！\nワイルドな マスクドに へんしん しては\nパワフルに りょう{r2[て]}手{/r2}で ドカドカ アタック！\n{r2[さいきょう]}最強{/r2}ハンマーで いざ… やらいでかっ！
CopyAbility_Detail_Ice	おーさむ！ といき で ふーふーふー。\n{r2[こおり]}氷{/r2}を けって ふっとばせ！\nスケートダッシュで スイスイ いどう\nドロンコも マグマも ダッシュで スイスイ！
CopyAbility_Detail_FrostyIce	かわいい ぼうしの フロストアイス。\nといき を ふーふー ふきつけて\n{r2[つぎ]}次{/r2}つぎ {r2[う]}生{/r2}まれる {r2[ゆき]}雪{/r2}だるま。\nアララ、お{r2[かお]}顔{/r2}が そっくりさんだ！
CopyAbility_Detail_BlizzardIce	ごっかん ふぶくよ ブリザード！\nクールな ぼうしは {r2[こおり]}氷{/r2}の ティアラ。\nこちこち といき を ふきつづけ\nツララで アタック {r2[さいきょう]}最強{/r2}アイスだ！
CopyAbility_Detail_Needle	さわると イタ～い トゲトゲで、\nゴロゴロ ころがり てきを さす！\n{r2[ほし]}星{/r2}や てきたち さしては まきこみ\nバーンと はなって ぶっつけろ！
CopyAbility_Detail_JunkNeedle	ジャンクな そざいで チクチクと、\nもっと イタいぞ ころがる ニードル！\nバーンと はなてば ジャンクな トゲたち\nあたりに {r2[と]}飛{/r2}びちり イッタタタ！
CopyAbility_Detail_CrystalNeedle	{r2[てん]}天{/r2}ねん そざいの カタ～イ クリスタル。\nかいじょで クリスタルが かくさんだ！\nころがる {r2[じかん]}時間{/r2}も {r2[なが]}長{/r2}～くなって\n{r2[だいち]}大地{/r2}に トゲトゲ トラップ のこすぞ！
CopyAbility_Detail_Ranger	{r2[ほし]}星{/r2}の だん{r2[がん]}丸{/r2} パンパカパーン！\nきらめく ショットは {r2[とお]}遠{/r2}くへ {r2[と]}飛{/r2}ぶよ。\nたんけんぼうを りりしく かぶって\nねらい さだめて チャージして うてっ！
CopyAbility_Detail_EliteRanger	きぞくの ぼうしだ かれいな レンジャー。\nりょう{r2[て]}手{/r2}に {r2[も]}持{/r2}って {r2[れんぱつ]}連発{/r2}ショット！\nチャージの ショットも {r2[れん]}連{/r2}しゃに なって\nどんな マトでも のがさず ヒットだ！
CopyAbility_Detail_SpaceRanger	うちゅうへ {r2[と]}飛{/r2}び{r2[た]}立{/r2}て スペースレンジャー！\n{r2[こうせん]}光線{/r2}じゅうから レーザービームだ。\nきらめく だん{r2[がん]}丸{/r2} てきに {r2[あ]}当{/r2}たれば\n{r2[れん]}連{/r2}ぞく ヒットで ダメージ ばいぞう！
CopyAbility_Detail_Sleep	あと1{r2[ぷん]}分{/r2}…Zzz…\nかんにん…してよ… ねむすぎる…Zz…\nねてる{r2[ま]}間{/r2}に… ちょっぴり…かいふく……\nZz…Zz…z……
CopyAbility_Detail_DeepSleep	ウトウトと…Zzz…\nあるいて…ベッドに… もぐっちゃえ…Zz…\nおきてから… ホンキを…{r2[だ]}出{/r2}すぞぉ…\nZz…Zz…z……
CopyAbility_Detail_Sword	{r2[みどり]}緑{/r2}の ぼうしで {r2[あら]}新{/r2}たな{r2[せかい]}世界{/r2}を\nいざ つき{r2[すす]}進{/r2}むは つるぎの ゆうしゃ！\nイロイロ {r2[き]}切{/r2}れるし パワーもためれる\n{r2[めざ]}目指{/r2}すは {r2[しん]}新{/r2}・{r2[せかい]}世界{/r2}の ソードマスター！
CopyAbility_Detail_GigantSword	デッカい ソードだ まさに ギガント！\nちょいと {r2[おも]}重{/r2}くて たいへん だけど\nガードで てっぺき！ シールド {r2[だ]}出{/r2}せるぞ\nのしのし まもって ガンガン せめちゃえ！
CopyAbility_Detail_MetaSword	{r2[きぶん]}気分{/r2}は ライバル メタナイトソード！\n{r2[たいりょく]}体力{/r2}あるなら ショットも {r2[と]}飛{/r2}び{r2[だ]}出{/r2}す。\nスライディングから ジャンプで {r2[と]}飛{/r2}べば\nアッパーな {r2[れん]}連{/r2}げき クールに キマる！
CopyAbility_Detail_MorphoSword	{r2[けっせん]}決戦{/r2}の{r2[ま]}間{/r2}に {r2[しんぱん]}審判{/r2}を{r2[くだ]}下{/r2}すべく{r2[あらわ]}現{/r2}る {r2[ゆめみどり]}夢見鳥{/r2}。\nその{r2[すがた]}姿{/r2}を{r2[かたど]}象{/r2}った {r2[おそ]}恐{/r2}ろしい{r2[くれない]}紅{/r2}の{r2[えもの]}得物{/r2}だが、\n{r2[わる]}悪{/r2}い{r2[ゆめ]}夢{/r2}さえ たべてしまう ほどのカービィは\nあっさり つかいこなして しまうでしょう。
CopyAbility_Detail_Tornado	{r2[まわ]}回{/r2}って {r2[まわ]}回{/r2}って クルクル ターン！\nクセある そうさで {r2[め]}目{/r2}が{r2[まわ]}回{/r2}るけど\nてきやブロック、{r2[ほし]}星{/r2}も まきこみ\n{r2[まわ]}回{/r2}って はなてば バシバシ ダメージ！
CopyAbility_Detail_SwanTornado	もっと ゆうがに もっと {r2[うつく]}美{/r2}しく。\nしなやかに、けど パワーは アップだ！\n{r2[かぜ]}風{/r2}と {r2[うもう]}羽毛{/r2}で てきを まきこみ\nバレエな ダンスで かれいに アタック！
CopyAbility_Detail_StormTornado	ふおんな たつまき ゴロゴロストーム！\nぼう{r2[ふう]}風{/r2}に くわえて とどろく は、\nらいめい ひびかせる {r2[でん]}電{/r2}ゲキ カミナリ！\n{r2[かぜ]}風{/r2}に {r2[でんき]}電気{/r2}に ダブルで せめよう！
CopyAbility_MaxStrengthenedName	{[0309|0000]}{[0109|0200]}{[010a|0300]}
AdviceWindow.msbt
Msg_DeformWithAbility	{[1905|04cd]}これは コピーのうりょくを\n{color[ff4d2fff]}すてないで {color[000000ff]}ほおばれる みたいだよ。{[0004]}のうりょくを もった まま\n{color[ff4d2fff]}{[0701|0100]}{color[000000ff]}で すいこんで みようよ！
Msg_NoticeDropStarVacuum	{[1907|00cd]}てきのこうげきで {color[ff4d2fff]}こぼれた{r2[ほし]}星{/r2}{color[000000ff]}は\n{color[ff4d2fff]}{[0701|0100]}で すいこんだあと もういちど{[0701|0100]}{color[000000ff]}で\nはきだせる みたいだよ。{[0004]}コピーのうりょくが ないときは、\nこぼれた{r2[ほし]}星{/r2}を はきだして ぶつけよう！
Msg_GuideToBlueprint	{[1402]}{[1903|00cd]}ちょっとまって！\nまだ {color[ff4d2fff]}せっけい{r2[ず]}図{/r2}{color[000000ff]}を {r2[と]}取{/r2}ってないよ。{[0004]}せっけい{r2[ず]}図{/r2}は だいじだから、\n{color[ff4d2fff]}{r2[と]}取{/r2}りのがさないでね。{color[000000ff]}
Msg_UseStockItemAtPinch	{[1905|05cd]}{[1402]}{r2[き]}気{/r2}をつけてカービィ、{r2[たいりょく]}体力{/r2}がすくないよ！\n{color[ff4d2fff]}{[0702|0200]}{r2[なが]}長{/r2}おし{color[000000ff]}で もっているアイテムを つかおう！
Msg_EstorySoulCompleted	{[1907|01cd]}これで このあたりの レオンのソウルは\n{color[ff4d2fff]}すべて {r2[み]}見{/r2}つけたみたい{color[000000ff]}だよ。 {r2[さき]}先{/r2}へ すすもう！
