glossary.msbt
gl_799	クッパケーキ
hsmg_common.msbt
hsmg_tlp_start	START!
hsmg_tlp_count	[0]
hsmg_tlp_go	GO!
hsmg_tlp_finish	FINISH!
hsmg_tlp_chaname	[0]
hsmg_tlp_win	WIN!
hsmg_tlp_wins	WINS!
hsmg_tlp_draw	DRAW!
hsmg_tlp_newrecord	ニューレコード！
hsmg_tlp_newrecord_alone	ニューレコード！
hsmg_tlp_round	ラウンド[0]
hsmg_tlp_round_final	ファイナルラウンド
hsmg_tlp_perfect	パーフェクト！
hsmg_timer_countdown	[0]:[1].[2]
hsmg_timer_countup	[0]:[1].[2]
hsmg_courserecord	[0]
hsmg_courserecord_endless	[0]
hsmg_courserecord_m	[0]{size[3c00]}m{size[6400]}
hsmg_courserecord_point_m	[0].[1]m
hsmg_courserecord_degree	[0]°
hsmg_courserecord_timer_countup	[0]:[1].[2]
hsmg_newrecord	[0]
hsmg_newrecord_m	[0]{size[3c00]}m{size[6400]}
hsmg_newrecord_point_m	[0].[1]m
hsmg_newrecord_degree	[0]°
hsmg_newrecord_timer	[0]:[1].[2]
hsmg_newrecord_alone	[0]
hsmg_status_2digit	[0]
hsmg_status_2digit_coin	[0]
hsmg_status_3digit_m	[0]{size[3c00]}m{size[6400]}
hsmg_status_3digit_percent	[0]{size[3c00]}％{size[6400]}
hsmg_status_4digit_degree	[0]°
hsmg_status_point_1_m	[0].[1]{size[3c00]}m{size[6400]}
hsmg_status_point	[0].[1]
hsmg_status_point_2_m	[0].[1]{size[3c00]}m{size[6400]}
hsmg_status_rank	[0]
hsmg_status_rank_small	[0]
hsmg_status_user_name	[0]
hsmg_rank_ui	[0]
hsmg431_tlp_ctrl00	80{r2[てんいじょう]}点以上{/r2}とれ！
hsmg501_tlp_ctrl00	{r2[さき]}先{/r2}に[0]{r2[てん]}点{/r2}とれ！
hsmg601_tlp_win_condition00	3{r2[ぷんかん]}分間{/r2}でハイスコアを{r2[めざ]}目指{/r2}せ！
hsmg601_tlp_win_condition01	{r2[いちばんはや]}一番早{/r2}く[0]{r2[てん]}点{/r2}とれ！
