glossary.msbt
gl_799	Bowser Cake
hsmg_common.msbt
hsmg_tlp_start	START!
hsmg_tlp_count	[0]
hsmg_tlp_go	GO!
hsmg_tlp_finish	FINISH!
hsmg_tlp_chaname	[0]
hsmg_tlp_win	Win!
hsmg_tlp_wins	Wins!
hsmg_tlp_draw	Tie!
hsmg_tlp_newrecord	New Record!
hsmg_tlp_newrecord_alone	New Record!
hsmg_tlp_round	Round [0]
hsmg_tlp_round_final	Final Round
hsmg_tlp_perfect	Perfect!
hsmg_timer_countdown	[0]:[1].[2]
hsmg_timer_countup	[0]:[1].[2]
hsmg_courserecord	[0]
hsmg_courserecord_endless	[0]
hsmg_courserecord_m	[0] yd.
hsmg_courserecord_point_m	[0].[1] yd.
hsmg_courserecord_degree	[0]°
hsmg_courserecord_timer_countup	[0]:[1].[2]
hsmg_newrecord	[0]
hsmg_newrecord_m	[0]{size[3c00]} yd.{size[6400]}
hsmg_newrecord_point_m	[0].[1] yd.
hsmg_newrecord_degree	[0]°
hsmg_newrecord_timer	[0]:[1].[2]
hsmg_newrecord_alone	[0]
hsmg_status_2digit	[0]
hsmg_status_2digit_coin	[0]
hsmg_status_3digit_m	[0] {size[3c00]}yd.{size[6400]}
hsmg_status_3digit_percent	[0]{size[3c00]}％{size[6400]}
hsmg_status_4digit_degree	[0]°
hsmg_status_point_1_m	[0].[1] {size[3c00]}yd.{size[6400]}
hsmg_status_point	[0].[1]
hsmg_status_point_2_m	[0].[1] {size[3c00]}yd.{size[6400]}
hsmg_status_rank	[0]
hsmg_status_rank_small	[0]
hsmg_status_user_name	[0]
hsmg_rank_ui	[0]
hsmg431_tlp_ctrl00	Score 80 points or more!
hsmg501_tlp_ctrl00	Be the first to score [0] points!
hsmg601_tlp_win_condition00	Get the highest score you\r\ncan in 3 minutes!
hsmg601_tlp_win_condition01	Be the first to\r\nearn [0] points!
hsmg602_tlp_win_condition00	Clear the ★ blocks, and\r\ntry to get a high score!
hsmg602_tlp_win_condition01	Clear more blocks\r\nthan your opponent!
hsmg603_tlp_win_condition01	Clear more balls\r\nthan your opponent!
