affection.txt
msg_affection_talk_01	这位优秀的训练家，\c\n可以让我看看你和宝可梦的\n关系好不好吗？
msg_affection_select_01	请看吧
msg_affection_select_02	下次吧
msg_affection_talk_02	要给我看你和哪只\n宝可梦的关系呢？
msg_affection_talk_03	哎呀，\n你的[VAR 0101(0001)]……
msg_affection_talk_04	它和你的关系真是非～常地要好呢！\n只要你们在一起就会感到幸福。
msg_affection_talk_05	你很喜欢[VAR 0101(0001)]，\n不管什么时候都待在它的身边呀！
msg_affection_talk_06	你和[VAR 0101(0001)]\n好像会成为更棒的搭档呢！
msg_affection_talk_07	你们的关系感觉不错呢。\n但你和它的关系应该还能变得更好！
msg_affection_talk_08	关系稍微变好一点了……\n我感觉是这样。
msg_affection_talk_09	嗯……感觉你们的关系\n还有很长的路要走呢。
msg_affection_talk_10	你该不会总是让它\n在对战中晕厥吧？
msg_affection_talk_11	哎呀呀？你对它实施了斯巴达教育吗？\n你们的关系一点都不好呀。
msg_affection_talk_12	要是你想知道自己和宝可梦的\n关系有多好，就再来找我吧！
bed.txt
msg_bed_01	是自己的床。
msg_select_bed_01	休息到晚上
msg_select_bed_02	休息到早上
msg_select_bed_06	还是算了
msg_bed_cannot_01	现在不是睡觉的时候。
bench.txt
msg_bench_00	有一张长椅。
msg_bench_01	要离开长椅吗？
msg_bench_02	要打发时间到晚上吗？
msg_bench_03	要打发时间到早上吗？
msg_bench_04	要结束拍照吗？
msg_select_time	打发时间
msg_select_poke	和宝可梦一起度过
msg_select_end	取消
msg_select_yes	是
msg_select_no	否
msg_killtime_cannot_01	现在不是休息的时候。
msg_killtime_cannot_02	现在不是在对战特区\n放松的时候！
bg_event.txt
msg_899edae6b95c054773c4938cadf9cf4b	[~ 0]
btl_talk.txt
msg_811aae33c4d15ce0cce60f01a3dd6093	[~ 0]
msg_134bde6b34f68ffd668380a9a5b45608	[~ 1]
msg_4375e92d1a414c60988a9d78dc6c6099	[~ 2]
msg_8c0c97fe09538425eef498a6f232110f	[~ 3]
msg_5863b3b79b94251ab93f9d598b086a9d	[~ 4]
msg_f66417ba63b2f497ded87655c3e09171	[~ 5]
msg_6c36526c831f18511b200741500c4ba1	[~ 6]
msg_8dd01f539de49d44965c875921cd7e4e	[~ 7]
msg_57b655631cc08a491c1162d454d14686	[~ 8]
msg_01a191e38d59d650852f5b00a83703d0	[~ 9]
msg_d2e887bb3662787b24f8cda7367a0c2a	[~ 10]
msg_6e823cafe6156e0fdfdbec48cd9f9088	[~ 11]
msg_18cc19298fd9c596a256f6924fb39537	[~ 12]
msg_0fe79df04cb35ccebf71a341c2febb37	[~ 13]
msg_0bbccbf7775ad43e58acbeb288e03585	[~ 14]
msg_04b675aa608fef21b518727cbb45da7b	[~ 15]
msg_dbf0bb2b5a1d9a522fea7d1d74324b56	[~ 16]
msg_0d76011a197d4756665c84302dce44be	[~ 17]
msg_9da0c1a23b897d1f55ac709edb4898b0	[~ 18]
msg_7ef0671d8dc0d9dcd8424d7a665f14c7	[~ 19]
msg_165745f0458f2be85384c66221e6367e	[~ 20]
msg_cd43cc61db91f01f31832750477c720b	[~ 21]
msg_907c3a27285e34f09d61750306dcfc54	[~ 22]
msg_85c780da5a0452542af86518e7c62d5d	[~ 23]
msg_7cc735309b1851e224c9df3bff95a9a9	[~ 24]
msg_27e28a3c6c547e380ad3a0974617b6ac	[~ 25]
msg_fbfe7df09e1e8b18208433b46d394bcb	[~ 26]
msg_12c63dbf84fc490fbe132f184552b44c	[~ 27]
msg_5b64edbdcdd50f47b4f6fa86a61540d6	[~ 28]
msg_23b3da1f33f3eccec5656a871a0e268d	[~ 29]
msg_0ef34c21d905fe45f199a3af9a2ab109	[~ 30]
msg_5478033f2f44a29cbff32691396b661c	[~ 31]
msg_711c74fa8d6007c6482f3155ed5bfc9d	[~ 32]
msg_25c1aabed4e3c49b63bf7ca13a9a6108	[~ 33]
msg_4141c5b5049edf4c5113641f192db297	[~ 34]
msg_7bdabcaacdb6c85bf29aea1af0e96914	[~ 35]
msg_299b02f901630c789695e8fcee4419b0	[~ 36]
msg_a0b0e50841c7182cf6a2afea3aee2f29	[~ 37]
msg_6b1793f9ef72805226bbec05d46bdf95	[~ 38]
msg_a72bd549ce110283c1dc31093c8179c3	[~ 39]
msg_fa641a0695e2c8cbd1000c3f1d2fab39	[~ 40]
msg_3333145d135fafb677d540f09f99f269	[~ 41]
msg_1040a841130119827a4a8b24be54b000	[~ 42]
msg_107d2ea89995f73b9f41e7dff9a90f1e	[~ 43]
msg_5472f6cc98850ccd846c1afe013b9efc	[~ 44]
msg_6ce36817ad42c88605836b6ec69c0131	[~ 45]
msg_071712ad5691683e91643d1e291c0380	[~ 46]
msg_308be4520573b44a821fa66679cc2791	[~ 47]
msg_fd36228c664dad00325eb7d086d4d9b5	[~ 48]
msg_c9cb5b7fe6aeb6240da357ab2026037e	[~ 49]
msg_364282f050362ede87dedeb92e751aea	[~ 50]
msg_38e60644e038e97ca54511474c07bc41	[~ 51]
msg_dd8c1be7a4b043018cd03e5ec54c9585	[~ 52]
msg_be09c258538270a67922813d86203efc	[~ 53]
msg_88ca95537acce8d881ccc018b6c6c666	[~ 54]
msg_e1b4652fe054d5013f7615e3ff143e4d	[~ 55]
msg_13e79f39a8bc8c4c4acd2a63d17b94da	[~ 56]
msg_32f72430ba4e0f96e70d491753fc06bc	[~ 57]
