Adventure.txt
MID_ADV_アドベンチャー外へ出る	Go outside?
MID_ADV_上の階へ	Go upstairs?
MID_ADV_下の階へ	Go downstairs?
MID_ADV_ダンジョンへ入る	Enter the dungeon?
MID_ADV_移動する	Proceed?
MID_ADV_会話できない	There's no one here to speak with.
MID_ADV_会話キャラクター名未指定	Specify a character name.
MID_ADV_持ち物いっぱい	You can't carry any more items.
MID_ADV_コイン_取得	$aYou got $a0 x$a1.
MID_ADV_コイン_消費	$aHanded over $a0 x$a1.
MID_ADV_旅の商人_到着_アルム	The item has been delivered\nto Alm's convoy.
MID_ADV_旅の商人_到着_セリカ	The item has been delivered\nto Celica's convoy.
MID_ADV_調べる_ズーム	Zoom
MID_ADV_調べる_移動	Move
MID_adv_key	Cell Key
MID_irondoor	Cell Door
MID_ADV_コマンド名_会話	Talk
MID_ADV_コマンド名_調べる	Examine
MID_ADV_コマンド名_移動	Move
MID_ADV_コマンド名_ミラ	Mila
MID_ADV_コマンド名_神像	Idol
MID_ADV_コマンド名_メニュー	Menu
MID_お供え_確認	$aOffer the $a0 to Mila's servant?
MID_お供え_光	A gentle light fills the area...
MID_お供え_疲労回復	All fatigue has been cured!
MID_お供え_疲労回復_歯車	All fatigue has been cured and the\nTurnwheel has been recharged!
MID_EV_ミラのしもべ1	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|$SvpV_MIRA_COMMON_EV_SERVANT1_00|Welcome, child of fate.\nI am a servant of Mila.$k$p$SvpV_MIRA_COMMON_EV_SERVANT1_01|Present to me those who are worthy.$k$p$SvpV_MIRA_COMMON_EV_SERVANT1_02|By my master's will shall I bestow upon\nthem new power.$k
MID_お告げ_デフォルト	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|May you walk always in the light of\nMila's blessing.$k
MID_お告げ_盗賊のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|Without an archer or mage in your\nranks, the battles ahead will be a trial.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_盗賊のほこら_1	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|A villager of proven worth may advance\nto any number of classes.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_解放軍のアジト_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|When faced with insurmountable odds,\nthere is wisdom in choosing retreat.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_修道院_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|One must expend one's own life force\nin order to cast magic.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_海のほこら内部_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|Secret paths may lie beyond what\nappear at a glance to be dead ends.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_森のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|To free the captive heart of one being\ncontrolled, you must defeat the captor.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_竜のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|Your path will take you through\ngreat hardship.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_恐山のほこら_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|Brave the Gate of the Living only if\nyour greed exceeds your desire to live.$k$pMay you walk always in the light of\nMila's blessing.$k
MID_お告げ_迷いの森_0	$t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|What you seek may be found to\nthe northeast.$k$pMay you walk always in the light of\nMila's blessing.$k
Amiibo.txt
MID_amiibo_初回シーケンス_成功	The amiibo menu has been unlocked!
MID_amiibo_召喚開放	Alm and Celica can now summon\nillusory soldiers using amiibo!
MID_amiibo_タッチ促す_アルムかセリカ	Please set an Alm or Celica amiibo\non Mila's Turnwheel.
MID_amiibo_タッチ促す_アルムかセリカ_CTR	Please set an Alm or Celica\namiibo on the NFC area of the\nNFC reader/writer.
MID_amiibo_タッチ促す_アルム	Please set an Alm amiibo on\nMila's Turnwheel.
MID_amiibo_タッチ促す_アルム_CTR	Please set an Alm amiibo on the\nNFC area of the NFC reader/writer.
MID_amiibo_タッチ促す_セリカ	Please set a Celica amiibo on\nMila's Turnwheel.
MID_amiibo_タッチ促す_セリカ_CTR	Please set a Celica amiibo on the\nNFC area of the NFC reader/writer.
MID_amiibo_タッチ促す_召喚	Please set the amiibo you would\nlike to use on Mila's Turnwheel.
MID_amiibo_タッチ促す_召喚_CTR	Please set the amiibo you would\nlike to use on the NFC area of\nthe NFC reader/writer.
MID_amiibo_タッチ促す_誰でも	Please set an amiibo on Mila's Turnwheel.
MID_amiibo_タッチ促す_誰でも_CTR	Please set an amiibo on the NFC\narea of the NFC reader/writer.
MID_amiibo_NFCRW_接続中	If you have an NFC reader/writer,\nmake sure it is turned on and move\nit close to the Nintendo 3DS system.
MID_amiibo_離すな_促す	Please hold the amiibo still.
MID_amiibo_APP領域作成_離すな_促す	Creating data for Fire Emblem\nEchoes	Shadows of Valentia.\nPlease hold the amiibo still.
MID_amiibo_キャンセル	Canceled.
MID_amiibo_削除キャンセル時	You don't have to write to an amiibo\nto be able to use it to summon units\nor to unlock special dungeons.
MID_amiibo_受付中	Reading...
MID_amiibo_書込中	Writing...
MID_amiibo_復元中	Restoring...
MID_amiibo_接続中	Connecting...
MID_amiibo_終了中	Finalizing...
MID_amiibo_作成中	Creating...
MID_NFP_エラー_スリープ	The system is in Sleep Mode.\nPlease try again.
MID_NFP_エラー_WiFiオフ	The system cannot scan amiibo while wireless\ncommunication is disabled. Please enable\nwireless communication and try again.
MID_NFP_エラー_タグ未発見	No amiibo detected. It may have\nbeen removed from the NFC area.
MID_NFP_エラー_不正処理	An error has occurred. Please try again.
MID_NFP_エラー_接続キャンセル	The connection with the NFC\nreader/writer has been lost.
MID_NFP_エラー_タイムアウト	Could not connect to the\nNFC reader/writer.\nPlease confirm that the device is on\nand that the infrared sensors are\nproperly positioned.
MID_NFP_エラー_赤外線故障	The infrared functions of your\nNintendo 3DS system may be\nmalfunctioning. Please turn off the power\nand try again. If the problem persists,\nvisit support.nintendo.com.
MID_NFP_エラー_NFCR&W故障	The NFC reader/writer may be malfunctioning.\nPlease confirm the NFC reader/writer is\npowered on and try again. If the problem persists,\nvisit support.nintendo.com.
