AlbumSave_UI.msbt
AlbumSave_Top_Help	アルバムに保存したい写真を　選んでください
AlbumSave_Top_Button_Tx	 写真を見る　 保存する
AlbumSave_Top_Button2_Tx	 写真を見る　 保存をやめる
Chara_Name.msbt
C003_Professor	カガミ博士
C004_FriendBoy	フィル
C005_FriendGirl	リタ
C006_Photographer	トオル
C007_Adventurer	ビクトル
Collection_Info.msbt
Flower001_Info	フロレオ島の　クリスタフラワーだね。\n研究機構のマークは　この花が\nモチーフに　なっているんだよ。\n最近　光る仕組みを　解明した\nばかりで　まだ　謎が多いんだ。
Flower002_Info	ベラス島の　クリスタフラワーだね。\nふわりんごに　似ている\n甘い香りが　特徴だよ。\nポケモンたちも　思わず\nウットリしてしまうんだ。
Flower003_Info	コピア諸島の　クリスタフラワーだね。\n海の中でも　花を\n咲かせるのが　特徴だよ。\nもしかしたら　花というより\nサンゴや海藻に　近いのかもね。
Flower004_Info	ボルク島の　クリスタフラワーだね。\n気温が高くて　乾燥した\n環境でも　花を咲かせるよ。\n鉱石に近い　性質が\nより強く　出ているようだね。
Flower005_Info	デュラス島の　クリスタフラワーだね。\n太陽光がなくても　咲くのは\nレンティルの大地に　流れる\nイルミナフォースから　直接\nエネルギーを　得ているからだよ。
Flower006_Info	アウラム島の　クリスタフラワーだね。\n各島で　検知したエネルギーの\n要素を　すべて持っていたんだ。\nこれが　クリスタフラワーの\n祖先だと　推測しているよ。
Remains001_Info	フロレオ島の　各地で\n発見されている\n遺跡のカケラだね。\nほとんど　原型がないから\nどんなものだったか　まだわからないんだ。
Remains002_Info	海底に広がっていた　遺跡だね。\nここは昔　地上にあって\n祭壇のような　場所では\n何かを　鎮める　儀式を\n行っていたと　考えられるよ。
Remains003_Info	ジャングルで　巨木の\n根元にあった　遺跡だね。\nここまで　木が　成長したのは\n遺跡から出ている　エネルギーが\n影響しているのかな。
Remains004_Info	樹海の　奥にあった　遺跡だね。\n広い範囲に　散らばっていたことから\n小さな建物が　いくつもあったと\n推測しているよ。
Remains005_Info	湖に　沈んでいた　遺跡だね。\nこの湖は　何かの衝撃で\n地面が　大きくえぐられて\nできたみたいなんだ。
Remains006_Info	火山の奥にあった　遺跡だね。\nいくつか見かけた　アーチは\n神聖な場所へと　続く\n入口だったのかな。
Remains007_Info	火口にあった　遺跡だね。\nほとんど　土に埋もれていたけど\n火山のアーチと　同じものだよ。\n昔の人々は　どうやって\nここまで　来ていたのだろうか。
Remains008_Info	雪原にある　氷の洞窟で\n見つけた　遺跡だね。\n自然にできた　洞窟を利用して\n作られていたようだけど　いまは\n氷で　閉ざされているみたいだ。
Remains009_Info	地下深くにあった　遺跡だね。\n天井で　光を放つ石も\n遺跡の一部だと　思われるよ。\nまわりの植物は　その光で\n育ったんだろうね。
Remains010_Info	洞窟の　奥で　見つけた\n約2000年前の　壁画だね。\n欠けている　真ん中のところに\n何が　描かれていたのかは\nわからないんだ。
Remains011_Info	シューゴ遺跡の　入口だね。\n遺跡は　島全体に　広がるほどで\nかなり　状態が　きれいなんだ。\nいつか　すべてを\n明らかにしてみたいね。
Remains012_Info	言い伝えを　あらわした　壁画だね。\n隕石に立ち向かう　6匹の\nイルミナポケモンが　描かれているよ。\nハナレ洞窟の　壁画と　同じもの\nだと　考えてよさそうだね。
Collection_Name.msbt
Flower001_Name	クリスタフラワー
Flower002_Name	クリスタフラワー
Flower003_Name	クリスタフラワー
Flower004_Name	クリスタフラワー
Flower005_Name	クリスタフラワー
Flower006_Name	クリスタフラワー
Remains001_Name	古代遺跡
Remains002_Name	古代遺跡
Remains003_Name	古代遺跡
Remains004_Name	古代遺跡
Remains005_Name	古代遺跡
Remains006_Name	古代遺跡
Remains007_Name	古代遺跡
Remains008_Name	古代遺跡
Remains009_Name	古代遺跡
Remains010_Name	古代遺跡
Remains011_Name	古代遺跡
Remains012_Name	古代遺跡
ComWindow_Info.msbt
ComWindow005_Info	空白文字のみの　入力はできません。
ComWindow005_Select1	OK
ComWindow006_Info	調査をやめて　博士に写真を見せますか？
ComWindow006_Select1	はい
ComWindow006_Select2	いいえ
ComWindow007_Info	ルートの最初から　調査をやり直しますか？\n{color[0800]}撮影した写真は　なくなります{color[ffff]}
ComWindow007_Select1	はい
ComWindow007_Select2	いいえ
ComWindow008_Info	チュートリアルを　スキップしますか？
ComWindow008_Select1	はい
ComWindow008_Select2	いいえ
ComWindow010_Info	写真を選んでいない　フォルダがあります。\nこのまま　博士に見せに行きますか？
ComWindow010_Select1	はい
ComWindow010_Select2	いいえ
ComWindow011_Info	ゲーム設定を　最初の状態に\n戻しますか？
ComWindow011_Select1	はい
ComWindow011_Select2	いいえ
ComWindow012_Info	カメラ設定を　最初の状態に\n戻しますか？
ComWindow012_Select1	はい
ComWindow012_Select2	いいえ
ComWindow013_Info	ボタン設定を　最初の状態に\n戻しますか？
ComWindow013_Select1	はい
ComWindow013_Select2	いいえ
ComWindow014_Info	サウンド設定を　最初の状態に\n戻しますか？
ComWindow014_Select1	はい
ComWindow014_Select2	いいえ
ComWindow015_Info	その他設定を　最初の状態に\n戻しますか？
ComWindow015_Select1	はい
ComWindow015_Select2	いいえ
ComWindow017_Info	オンラインのマイページに　アップロードしますか？
ComWindow017_Select1	はい
ComWindow017_Select2	いいえ
ComWindow018_Info	Nintendo Switchのアルバムに\n写真を　保存しますか？
ComWindow018_Select1	はい
ComWindow018_Select2	いいえ
ComWindow019_Info	写真を　削除しますか？\n{color[0800]}削除すると　元には戻せません{color[ffff]}
ComWindow019_Select1	はい
ComWindow019_Select2	いいえ
ComWindow020_Info	写真を　保存しています。\nしばらく　お待ちください。\n完了まで　あと　{[0301|00cd]}枚
ComWindow021_Info	選んだ写真を　まとめて削除しますか？\n{color[0800]}削除すると　元には戻せません{color[ffff]}
ComWindow021_Select1	はい
ComWindow021_Select2	いいえ
ComWindow022_Info	加工した写真を　新しい写真として\n保存し　終了しますか？
ComWindow022_Select1	はい
ComWindow022_Select2	いいえ
ComWindow023_Info	加工した写真を　保存せず\n終了しますか？\n{color[0800]}加工内容は　なくなります{color[ffff]}
ComWindow023_Select1	はい
ComWindow023_Select2	いいえ
ComWindow024_Info	これ以上　スタンプは　配置できません。
ComWindow024_Select1	OK
ComWindow025_Info	最初の状態に　戻しますか？
ComWindow025_Select1	はい
ComWindow025_Select2	いいえ
ComWindow026_Info	エクストラ撮影を　終了しますか？\n{color[0800]}設定内容は　なくなります{color[ffff]}
ComWindow026_Select1	はい
ComWindow026_Select2	いいえ
ComWindow027_Info	保存枚数の　残りが5枚になりました。\n\nセーブデータを　拡張して\n保存枚数を　{[0301|00cd]}枚　増やしますか？\n{color[0800]}約{[0302|00cd]}MBの　空き容量が　必要です{color[ffff]}
ComWindow027_Select1	はい
ComWindow027_Select2	いいえ
ComWindow028_Info	保存枚数の　残りが0枚になりました。\n\nセーブデータを　拡張して\n保存枚数を　{[0301|00cd]}枚　増やしますか？\n{color[0800]}約{[0302|00cd]}MBの　空き容量が　必要です{color[ffff]}
ComWindow028_Select1	はい
ComWindow028_Select2	いいえ
ComWindow029_Info	セーブデータを　拡張しますか？\n{color[0800]}拡張すると　元には戻せません{color[ffff]}
ComWindow029_Select1	はい
ComWindow029_Select2	いいえ
ComWindow030_Info	セーブデータを　拡張しています。\nしばらく　お待ちください。\n{color[0800]}電源を　切らないでください{color[ffff]}
ComWindow031_Info	セーブデータの　拡張が　完了しました。
ComWindow031_Select1	OK
ComWindow032_Info	セーブデータの　拡張が　完了しました。\n{color[0800]}これ以上　拡張できません{color[ffff]}
ComWindow032_Select1	OK
ComWindow033_Info	保存枚数の　残りがありません。\n保存している写真を　削除してください。\n{color[0800]}これ以上　セーブデータは　拡張できません{color[ffff]}
ComWindow033_Select1	OK
ComWindow036_Info	この撮影者を　ブロックしますか？
ComWindow036_Select1	はい
ComWindow036_Select2	いいえ
ComWindow037_Info	この撮影者の　ブロックを　解除しますか？
ComWindow037_Select1	はい
ComWindow037_Select2	いいえ
ComWindow038_Info	この写真の　タイトルや　内容を\n通報しますか？
ComWindow038_Select1	はい
ComWindow038_Select2	いいえ
ComWindow039_Info	この撮影者の　名前や　コメントを\n通報しますか？
ComWindow039_Select1	はい
ComWindow039_Select2	いいえ
ComWindow040_Info	通報を　受け付けました。\n{color[0800]}送信は　自動で　行われます{color[ffff]}\n\nこの撮影者の　名前やコメント　写真を\n非表示にするには　ブロックしてください。
ComWindow040_Select1	OK
ComWindow041_Info	これ以上　削除する写真は　選べません。\n一度に　削除できるのは　99枚までです。
ComWindow041_Select1	OK
ComWindow042_Info	写真を　削除しました。
ComWindow042_Select1	OK
ComWindow043_Info	僕に　写真を見せると　図鑑にページができるよ。\nページ内の　ポケモンに　ポインタを合わせて\n を押すと　{color[0000]}動き{color[ffff]}や　{color[0000]}鳴き声{color[ffff]}が　確認できるんだ。\n調査すれば　{color[0000]}別のすがた{color[ffff]}も　見れるようになるよ。
ComWindow043_Select1	OK
ComWindow044_Info	調査した　{color[0000]}ルートの情報{color[ffff]}が　確認できるよ。\n発見した{color[0000]}ポケモン{color[ffff]}や　{color[0000]}コレクション{color[ffff]}が\n地図に表示されるので　振り返ることができるんだ。
ComWindow044_Select1	OK
ComWindow045_Info	{color[0000]}クリスタフラワー{color[ffff]}や　{color[0000]}レンティルの歴史に関わるもの{color[ffff]}を\n{color[0000]}コレクション{color[ffff]}として　この図鑑に　まとめていくよ。\n調査したら　ページができるので\nときどき　確認しに　来てみてね。
ComWindow045_Select1	OK
ComWindow046_Info	調査したあと　保存した写真と　{color[0000]}加工{color[ffff]}や\n{color[0000]}エクストラ撮影{color[ffff]}した　写真が　確認できるよ。\n{color[0000]}保存枚数{color[ffff]}が　足りなくなったら　拡張してね。
ComWindow046_Select1	OK
ComWindow047_Info	調査の　進み具合に　応じて\n{color[0000]}調査称号{color[ffff]}を　贈るよ。\nここでは　どんなものがあるのか？\nそれぞれ　どれくらい　進んでいるのか？\nなどが　確認できるんだ。
ComWindow047_Select1	OK
ComWindow048_Info	調査に関する　さまざまな記録を\nここに　まとめているよ。\nどんどん　更新されるから\nたまに　確認しに　来てみてね。
ComWindow048_Select1	OK
ComWindow049_Info	撮影した写真に　{color[0000]}スタンプ{color[ffff]}などを配置して\nさらに　楽しむことができるよ。\n調査を　進めると　使える素材が\n増えていくから　楽しみにしててね。
ComWindow049_Select1	OK
ComWindow050_Info	色んな設定を　使いやすいように\n変更できるよ。\n調査中でも　一部は　{color[0000]}ポーズメニュー{color[ffff]}から\n変更できるから　気になったら　確認してみてね。
ComWindow050_Select1	OK
ComWindow051_Info	「{color[0000]}その他{color[ffff]}」に　{color[0000]}クレジット表示{color[ffff]}を　追加したよ。\nもう一度　見たくなったら\n「{color[0000]}再生{color[ffff]}」を　押してみてね。
ComWindow051_Select1	OK
ComWindow052_Info	ベースキャンプで　撮影しますか？
ComWindow052_Select1	はい
ComWindow052_Select2	いいえ
