AlbumSave_UI.msbt
AlbumSave_Top_Help	アルバムにほぞんしたいしゃしんを　えらんでください
AlbumSave_Top_Button_Tx	 しゃしんをみる　 ほぞんする
AlbumSave_Top_Button2_Tx	 しゃしんをみる　 ほぞんをやめる
Chara_Name.msbt
C003_Professor	カガミはかせ
C004_FriendBoy	フィル
C005_FriendGirl	リタ
C006_Photographer	トオル
Collection_Info.msbt
Flower001_Info	フロレオとうの　クリスタフラワーだね。\nけんきゅうきこうのマークは　このはなが\nモチーフに　なっているんだよ。\nさいきん　ひかるしくみを　かいめいした\nばかりで　まだ　なぞがおおいんだ。
Flower002_Info	ベラスとうの　クリスタフラワーだね。\nふわりんごに　にている\nあまいかおりが　とくちょうだよ。\nポケモンたちも　おもわず\nウットリしてしまうんだ。
Flower003_Info	コピアしょとうの　クリスタフラワーだね。\nうみのなかでも　はなを\nさかせるのが　とくちょうだよ。\nもしかしたら　はなというより\nサンゴやかいそうに　ちかいのかもね。
Flower004_Info	ボルクとうの　クリスタフラワーだね。\nきおんがたかくて　かんそうした\nかんきょうでも　はなをさかせるよ。\nこうせきにちかい　せいしつが\nよりつよく　でているようだね。
Flower005_Info	デュラスとうの　クリスタフラワーだね。\nたいようこうがなくても　さくのは\nレンティルのだいちに　ながれる\nイルミナフォースから　ちょくせつ\nエネルギーを　えているからだよ。
Flower006_Info	アウラムとうの　クリスタフラワーだね。\nかくしまで　けんちしたエネルギーの\nようそを　すべてもっていたんだ。\nこれが　クリスタフラワーの\nそせんだと　すいそくしているよ。
Remains001_Info	フロレオとうの　かくちで\nはっけんされている\nいせきのカケラだね。\nほとんど　げんけいがないから\nどんなものだったか　まだわからないんだ。
Remains002_Info	かいていにひろがっていた　いせきだね。\nここはむかし　ちじょうにあって\nさいだんのような　ばしょでは\nなにかを　しずめる　ぎしきを\nおこなっていたと　かんがえられるよ。
Remains003_Info	ジャングルで　きょぼくの\nねもとにあった　いせきだね。\nここまで　きが　せいちょうしたのは\nいせきからでている　エネルギーが\nえいきょうしているのかな。
Remains004_Info	じゅかいの　おくにあった　いせきだね。\nひろいはんいに　ちらばっていたことから\nちいさなたてものが　いくつもあったと\nすいそくしているよ。
Remains005_Info	みずうみに　しずんでいた　いせきだね。\nこのみずうみは　なにかのしょうげきで\nじめんが　おおきくえぐられて\nできたみたいなんだ。
Remains006_Info	かざんのおくにあった　いせきだね。\nいくつかみかけた　アーチは\nしんせいなばしょへと　つづく\nいりぐちだったのかな。
Remains007_Info	かこうにあった　いせきだね。\nほとんど　つちにうもれていたけど\nかざんのアーチと　おなじものだよ。\nむかしのひとびとは　どうやって\nここまで　きていたのだろうか。
Remains008_Info	せつげんにある　こおりのどうくつで\nみつけた　いせきだね。\nしぜんにできた　どうくつをりようして\nつくられていたようだけど　いまは\nこおりで　とざされているみたいだ。
Remains009_Info	ちかふかくにあった　いせきだね。\nてんじょうで　ひかりをはなついしも\nいせきのいちぶだと　おもわれるよ。\nまわりのしょくぶつは　そのひかりで\nそだったんだろうね。
Remains010_Info	どうくつの　おくで　みつけた\nやく2000ねんまえの　へきがだね。\nかけている　まんなかのところに\nなにが　えがかれていたのかは\nわからないんだ。
Remains011_Info	シューゴいせきの　いりぐちだね。\nいせきは　しまぜんたいに　ひろがるほどで\nかなり　じょうたいが　きれいなんだ。\nいつか　すべてを\nあきらかにしてみたいね。
Remains012_Info	いいつたえを　あらわした　へきがだね。\nいんせきにたちむかう　6ぴきの\nイルミナポケモンが　えがかれているよ。\nハナレどうくつの　へきがと　おなじもの\nだと　かんがえてよさそうだね。
Collection_Name.msbt
Flower001_Name	クリスタフラワー
Flower002_Name	クリスタフラワー
Flower003_Name	クリスタフラワー
Flower004_Name	クリスタフラワー
Flower005_Name	クリスタフラワー
Flower006_Name	クリスタフラワー
Remains001_Name	こだいいせき
Remains002_Name	こだいいせき
Remains003_Name	こだいいせき
Remains004_Name	こだいいせき
Remains005_Name	こだいいせき
Remains006_Name	こだいいせき
Remains007_Name	こだいいせき
Remains008_Name	こだいいせき
Remains009_Name	こだいいせき
Remains010_Name	こだいいせき
Remains011_Name	こだいいせき
Remains012_Name	こだいいせき
ComWindow_Info.msbt
ComWindow005_Info	くうはくもじのみの　にゅうりょくはできません。
ComWindow005_Select1	OK
ComWindow006_Info	ちょうさをやめて　はかせにしゃしんをみせますか？
ComWindow006_Select1	はい
ComWindow006_Select2	いいえ
ComWindow007_Info	ルートのさいしょから　ちょうさをやりなおしますか？\n{color[0800]}さつえいしたしゃしんは　なくなります{color[ffff]}
ComWindow007_Select1	はい
ComWindow007_Select2	いいえ
ComWindow008_Info	チュートリアルを　スキップしますか？
ComWindow008_Select1	はい
ComWindow008_Select2	いいえ
ComWindow010_Info	しゃしんをえらんでいない　フォルダがあります。\nこのまま　はかせにみせにいきますか？
ComWindow010_Select1	はい
ComWindow010_Select2	いいえ
ComWindow011_Info	ゲームせっていを　さいしょのじょうたいに\nもどしますか？
ComWindow011_Select1	はい
ComWindow011_Select2	いいえ
ComWindow012_Info	カメラせっていを　さいしょのじょうたいに\nもどしますか？
ComWindow012_Select1	はい
ComWindow012_Select2	いいえ
ComWindow013_Info	ボタンせっていを　さいしょのじょうたいに\nもどしますか？
ComWindow013_Select1	はい
ComWindow013_Select2	いいえ
ComWindow014_Info	サウンドせっていを　さいしょのじょうたいに\nもどしますか？
ComWindow014_Select1	はい
ComWindow014_Select2	いいえ
ComWindow015_Info	そのたせっていを　さいしょのじょうたいに\nもどしますか？
ComWindow015_Select1	はい
ComWindow015_Select2	いいえ
ComWindow017_Info	オンラインのマイページに　アップロードしますか？
ComWindow017_Select1	はい
ComWindow017_Select2	いいえ
ComWindow018_Info	Nintendo Switchのアルバムに\nしゃしんを　ほぞんしますか？
ComWindow018_Select1	はい
ComWindow018_Select2	いいえ
ComWindow019_Info	しゃしんを　さくじょしますか？\n{color[0800]}さくじょすると　もとにはもどせません{color[ffff]}
ComWindow019_Select1	はい
ComWindow019_Select2	いいえ
ComWindow020_Info	しゃしんを　ほぞんしています。\nしばらく　おまちください。\nかんりょうまで　あと　{[0301|00cd]}まい
ComWindow021_Info	えらんだしゃしんを　まとめてさくじょしますか？\n{color[0800]}さくじょすると　もとにはもどせません{color[ffff]}
ComWindow021_Select1	はい
ComWindow021_Select2	いいえ
ComWindow022_Info	かこうしたしゃしんを　あたらしいしゃしんとして\nほぞんし　しゅうりょうしますか？
ComWindow022_Select1	はい
ComWindow022_Select2	いいえ
ComWindow023_Info	かこうしたしゃしんを　ほぞんせず\nしゅうりょうしますか？\n{color[0800]}かこうないようは　なくなります{color[ffff]}
ComWindow023_Select1	はい
ComWindow023_Select2	いいえ
ComWindow024_Info	これいじょう　スタンプは　はいちできません。
ComWindow024_Select1	OK
ComWindow025_Info	さいしょのじょうたいに　もどしますか？
ComWindow025_Select1	はい
ComWindow025_Select2	いいえ
ComWindow026_Info	エクストラさつえいを　しゅうりょうしますか？\n{color[0800]}せっていないようは　なくなります{color[ffff]}
ComWindow026_Select1	はい
ComWindow026_Select2	いいえ
