AlbumSave_UI.msbt
AlbumSave_Top_Help	請選擇想要儲存到相簿的照片。
AlbumSave_Top_Button_Tx	 查看照片　 儲存
AlbumSave_Top_Button2_Tx	 查看照片　 取消儲存
Chara_Name.msbt
C003_Professor	阿鏡博士
C004_FriendBoy	菲爾
C005_FriendGirl	莉塔
C006_Photographer	阿徹
Collection_Info.msbt
Flower001_Info	這是芙羅蕾島的晶奇花。\n研究機構的標誌就是以\n這種花作為設計靈感的。\n它的發光原理最近才被解開，\n但仍有許多有待釐清的謎團呢。
Flower002_Info	這是美樂斯島的晶奇花。\n這種花的特徵就是擁有\n類似輕蘋果的香甜氣味，\n就連寶可夢們也會忍不住\n陶醉在它的香氣裡呢。
Flower003_Info	這是珂博亞群島的晶奇花。\n它的特徵是在海裡也會開花喔。\n也許與其說它是一種花，\n不如說它更接近珊瑚或海藻。
Flower004_Info	這是玻鷗克島的晶奇花。\n這種花在高溫且乾燥的\n環境也能開花。\n它展現出來的性質\n明顯地更像是礦石呢。
Flower005_Info	這是杜牢斯島的晶奇花。\n因為它能夠直接從流動在\n藍蒂爾大地中的霓光能獲得能量，\n所以就算沒有陽光它也會開花喔。
Flower006_Info	這是奧朗島的晶奇花。\n它擁有我們在各座島上\n偵測到的所有能量成分。\n我推測它就是晶奇花的始祖喔。
Remains001_Info	這是在芙羅蕾島各地\n都有被發現的遺跡殘骸呢。\n由於幾乎看不出它原來的形狀，\n所以我們還無法得知\n它原本是什麼樣的東西。
Remains002_Info	這是廣布在海底的遺跡。\n我們認為它以前是位於陸地上，\n看似是祭壇的地方則是被用來\n進行平息某種事物的儀式喔。
Remains003_Info	這是在叢林裡被巨木樹根纏繞的遺跡。\n那棵樹能成長到現在這個樣子，\n說不定是因為受到了從遺跡\n釋放出的能量所影響呢。
Remains004_Info	這是位於樹海深處的遺跡。\n由於遺跡分布的範圍很廣，\n因此我推測這裡曾經\n有很多小型的建築物喔。
Remains005_Info	這是沉在湖底的遺跡。\n這座湖似乎是地面受到\n某種衝擊而大大凹陷\n所形成的呢。
Remains006_Info	這是位於火山深處的遺跡。\n途中見到的幾個拱門，\n在當年也許是通往\n神聖空間的入口呢。
Remains007_Info	這是在火山口發現的遺跡。\n雖然幾乎都埋在土裡，\n但它和火山的拱門是相同的東西。\n以前的人們都是用什麼方法\n來到這裡的呢？
Remains008_Info	這是在雪原的冰之洞窟\n發現的遺跡。\n這裡似乎是利用\n天然的洞窟而建造的，\n但現在已經被冰封住了。
Remains009_Info	這是位在地底深處的遺跡。\n在頂上發光的石頭也被認為\n是遺跡的一部份喔。\n四周的植物大概就是\n靠石頭的光而成長的吧。
Remains010_Info	這是在洞窟深處發現的\n大約2000年前的壁畫。\n我們也不知道那中間殘缺的\n部分曾經畫著什麼呢。
Remains011_Info	這是矢歐護遺跡的入口。\n這座遺跡廣布在島嶼全區，\n而且保存狀態相當良好喔。\n我真希望有一天能夠\n把它所有的謎都解開來啊。
Remains012_Info	這是描繪了傳說的壁畫。\n上面畫著正要對抗隕石的\n6隻霓光寶可夢呢。\n我們應該可以認定這幅壁畫和\n哈那離洞窟的壁畫是相同的。
Collection_Name.msbt
Flower001_Name	晶奇花
Flower002_Name	晶奇花
Flower003_Name	晶奇花
Flower004_Name	晶奇花
Flower005_Name	晶奇花
Flower006_Name	晶奇花
Remains001_Name	古代遺跡
Remains002_Name	古代遺跡
Remains003_Name	古代遺跡
Remains004_Name	古代遺跡
Remains005_Name	古代遺跡
Remains006_Name	古代遺跡
Remains007_Name	古代遺跡
Remains008_Name	古代遺跡
Remains009_Name	古代遺跡
Remains010_Name	古代遺跡
Remains011_Name	古代遺跡
Remains012_Name	古代遺跡
ComWindow_Info.msbt
ComWindow005_Info	不能只輸入空格。
ComWindow005_Select1	OK
ComWindow006_Info	要退出調查，並且把照片交給博士看嗎？
ComWindow006_Select1	是
ComWindow006_Select2	否
ComWindow007_Info	要從路線的起點重新調查嗎？\n{color[0800]}已拍攝的照片將會消失。{color[ffff]}
ComWindow007_Select1	是
ComWindow007_Select2	否
ComWindow008_Info	要跳過教學嗎？
ComWindow008_Select1	是
ComWindow008_Select2	否
ComWindow010_Info	有未挑選照片的檔案夾。\n確定要交給博士看了嗎？
ComWindow010_Select1	是
ComWindow010_Select2	否
ComWindow011_Info	要把遊戲設定還原成初始狀態嗎？
ComWindow011_Select1	是
ComWindow011_Select2	否
ComWindow012_Info	要把相機設定還原成初始狀態嗎？
ComWindow012_Select1	是
ComWindow012_Select2	否
ComWindow013_Info	要把按鍵設定還原成初始狀態嗎？
ComWindow013_Select1	是
ComWindow013_Select2	否
ComWindow014_Info	要把音效設定還原成初始狀態嗎？
ComWindow014_Select1	是
ComWindow014_Select2	否
ComWindow015_Info	要把其他設定還原成初始狀態嗎？
ComWindow015_Select1	是
ComWindow015_Select2	否
ComWindow017_Info	要使用連線把照片上傳到我的頁面嗎？
ComWindow017_Select1	是
ComWindow017_Select2	否
ComWindow018_Info	要把照片儲存到\nNintendo Switch的相簿嗎？
ComWindow018_Select1	是
ComWindow018_Select2	否
ComWindow019_Info	要刪除照片嗎？\n{color[0800]}照片一旦被刪除，將無法復原。{color[ffff]}
ComWindow019_Select1	是
ComWindow019_Select2	否
ComWindow020_Info	正在儲存照片……\n請稍候片刻。\n還剩{[0301|00cd]}張即可完成。
ComWindow021_Info	要一併刪除已選擇的照片嗎？\n{color[0800]}照片一旦被刪除，將無法復原。{color[ffff]}
ComWindow021_Select1	是
ComWindow021_Select2	否
ComWindow022_Info	要把加工後的照片\n儲存為新的照片並結束嗎？
ComWindow022_Select1	是
ComWindow022_Select2	否
ComWindow023_Info	確定不儲存加工後的照片就要結束了嗎？\n{color[0800]}所有加工內容將會消失。{color[ffff]}
ComWindow023_Select1	是
ComWindow023_Select2	否
ComWindow024_Info	無法再使用更多的圖章。
ComWindow024_Select1	OK
ComWindow025_Info	要還原成初始狀態嗎？
ComWindow025_Select1	是
ComWindow025_Select2	否
ComWindow026_Info	確定要結束特殊拍攝嗎？\n{color[0800]}所有設定內容將會消失。{color[ffff]}
ComWindow026_Select1	是
ComWindow026_Select2	否
ComWindow027_Info	可儲存的張數剩下5張。\n\n要擴充儲存資料的大小，\n增加{[0301|00cd]}張可儲存的張數嗎？\n{color[0800]}這會需要約{[0302|00cd]}MB的容量。{color[ffff]}
ComWindow027_Select1	是
ComWindow027_Select2	否
ComWindow028_Info	可儲存的張數剩下0張。\n\n要擴充儲存資料的大小，\n增加{[0301|00cd]}張可儲存的張數嗎？\n{color[0800]}這會需要約{[0302|00cd]}MB的容量。{color[ffff]}
ComWindow028_Select1	是
ComWindow028_Select2	否
ComWindow029_Info	要擴充儲存資料的大小嗎？\n{color[0800]}擴充後將無法復原。{color[ffff]}
ComWindow029_Select1	是
ComWindow029_Select2	否
ComWindow030_Info	正在擴充儲存資料的大小……\n請稍候片刻。\n{color[0800]}請勿關閉電源。{color[ffff]}
ComWindow031_Info	儲存資料擴充完成。
ComWindow031_Select1	OK
ComWindow032_Info	儲存資料擴充完成。\n{color[0800]}無法再擴充了。{color[ffff]}
ComWindow032_Select1	OK
