advresult.dat
msg_ui_advresult_00_01	調查報告
msg_ui_advresult_00_02	n/a
msg_ui_advresult_00_03	[VAR 0105(0000)]
msg_ui_advresult_01_00	捉到的寶可夢數量
msg_ui_advresult_01_01	一次報告了１０隻以上
msg_ui_advresult_01_02	一次報告了２０隻以上
msg_ui_advresult_01_03	一次報告了３０隻以上
msg_ui_advresult_01_04	捉到的寶可夢種類
msg_ui_advresult_01_05	首次捉到的寶可夢種類
msg_ui_advresult_01_06	在時空歪曲捉到的寶可夢數量
msg_ui_advresult_01_07	未經戰鬥就捉到的寶可夢數量
msg_ui_advresult_01_08	n/a
msg_ui_advresult_01_13	用背襲捉到的寶可夢數量
msg_ui_advresult_01_14	捉到的頭目寶可夢數量
msg_ui_advresult_01_09	[~ 14]
msg_ui_advresult_01_10	[~ 15]
msg_ui_advresult_01_11	[~ 16]
msg_ui_advresult_01_12	[~ 17]
msg_ui_advresult_01_50	n/a
msg_ui_advresult_01_51	Lv.[VAR 0202(0000)]
msg_ui_advresult_02_01	[~ 20]
msg_ui_advresult_02_02	[~ 21]
msg_ui_advresult_03_01	n/a
msg_ui_advresult_03_02	n/a
msg_ui_advresult_03_03	n/a
msg_ui_advresult_03_04	[~ 25]
msg_ui_advresult_04_01	下一步
msg_ui_advresult_05_01	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_ui_advresult_05_02	n/a
msg_ui_advresult_06_01	盤纏
msg_ui_advresult_06_02	[VAR 0206(0000,0000)]
msg_ui_advresult_07_01	+[VAR 0206(0000,0000)]
msg_ui_advresult_07_02	-[VAR 0206(0000,0000)]
msg_ui_advresult_10_01	[~ 33]
msg_ui_advresult_11_01	[~ 34]
msg_ui_advresult_12_01	[~ 35]
msg_ui_advresult_13_01	本次的報酬
msg_ui_advresult_14_01	報告人：[VAR 0100(0000)]
msg_ui_advresult_15_01	完成
msg_ui_advresult_15_02	[VAR 0202(0000)]
msg_ui_advresult_yes	是
msg_ui_advresult_no	否
advsp.dat
advsp_cap_01	n/a
advsp_cap_02	n/a
advsp_cap_03	n/a
advsp_cap_04	FP
advsp_cap_05	[VAR 0206(0000,0000)]
advsp_cap_06	n/a
advsp_cap_07	返回
advsp_cap_08	[VAR 0105(0000)]的遺失物
advsp_cap_09	n/a
advsp_cap_09_01	n/a
advsp_cap_10	n/a
advsp_cap_11	n/a
advsp_cap_11_01	n/a
advsp_cap_11_02	n/a
advsp_cap_12	失主
advsp_cap_13	FP
advsp_cap_14	地點
advsp_cap_15	[VAR 0105(0000)]
advsp_cap_16	資訊
advsp_cap_17	[VAR 0206(0000,0000)]
advsp_cap_18	價值[VAR 0206(0001,0000)]。
advsp_cap_18_01	價值[VAR 0206(0001,0000)]。\n找到後送回給[VAR 0100(0000)]了。
advsp_cap_18_02	價值[VAR 0206(0001,0000)]。\n[VAR 0100(0000)]找到後送回來了。
advsp_cap_18_03	
advsp_cap_19	FP
advsp_cap_20	至今收集的友好點數
advsp_cap_21	n/a
advsp_cap_22	請大家幫忙找的遺失物
advsp_cap_23	n/a
advsp_cap_24	[VAR 0100(0000)]送來的遺失物
advsp_cap_25	n/a
advsp_cap_26	n/a
advsp_cap_27	n/a
advsp_cap_28	n/a
advsp_cap_29	[VAR 0100(0000)]
advsp_cap_30	某人的遺失物
advsp_cap_31	自己的遺失物
advsp_cap_32	[VAR 0100(0000)]的紀錄
advsp_cap_33	裡面似乎裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。
advsp_cap_34	裡面似乎裝著[VAR 0109(0000)]等\n共[VAR 0201(0001)]種道具。
