MESS_ARCHIVE_Fld_拠点_南の砦_作戦室


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここは作戦室みたいだ。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waなにか役に立つものが\nあるかもしれないな。$k
MID_ADV調べる_weapon_ARUM_LOOP_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa慌てて逃げていったのか、\n武器が散らばっている。$k
MID_ADV調べる_weapon_ARUM_LOOP_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa使えそうなものはないな。$k
MID_ADV調べる_baggage_ARUM_LOOP_0: $Z$t0$Wmアルム|6$Wsアルム|$Waいろんなものがあるけど\n役に立ちそうなものはないな。$k
MID_ADV調べる_table_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa兵士たちが飲み食いした\nあとが残っている。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waここは……\n作戦室かしら。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Waあまり上品な使われ方は\nしていなかったみたいね。$k
MID_ADV調べる_weapon_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa武器が散らかっているわ。\nなにかあったのかしら。$k
MID_ADV調べる_baggage_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa役に立ちそうなものはないわね。$k
MID_ADV調べる_table_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa食事をした跡があるわ。\n誰かいたのかしら……$k
MID_ADV_調べるエリア_table: テーブル
MID_ADV_調べるエリア_weapon: 武器
MID_ADV_調べるエリア_baggage: 荷物
