MESS_ARCHIVE_Amiibo


Message Name: Message


MID_amiibo_初回シーケンス_成功: amiiboメニューが開放されました！
MID_amiibo_召喚開放: アルムとセリカは\namiibo召喚が使えるようになりました！
MID_amiibo_タッチ促す_アルムかセリカ: アルムかセリカのamiiboを\nミラの歯車にタッチしてください。
MID_amiibo_タッチ促す_アルムかセリカ_CTR: アルムかセリカのamiiboを\nNFCリーダー/ライターの\nNFCエリアにタッチしてください。
MID_amiibo_タッチ促す_アルム: アルムのamiiboを\nミラの歯車にタッチしてください。
MID_amiibo_タッチ促す_アルム_CTR: アルムのamiiboをNFCリーダー/ライターの\nNFCエリアにタッチしてください。
MID_amiibo_タッチ促す_セリカ: セリカのamiiboを\nミラの歯車にタッチしてください。
MID_amiibo_タッチ促す_セリカ_CTR: セリカのamiiboをNFCリーダー/ライターの\nNFCエリアにタッチしてください。
MID_amiibo_タッチ促す_召喚: 召喚するamiiboを\nミラの歯車にタッチしてください。
MID_amiibo_タッチ促す_召喚_CTR: 召喚するamiiboをNFCリーダー/ライターの\nNFCエリアにタッチしてください。
MID_amiibo_タッチ促す_誰でも: amiiboを\nミラの歯車にタッチしてください。
MID_amiibo_タッチ促す_誰でも_CTR: amiiboをNFCリーダー/ライターの\nNFCエリアにタッチしてください。
MID_amiibo_NFCRW_接続中: NFCリーダー/ライターの電源を入れて\n本体に近づけてください。
MID_amiibo_離すな_促す: amiiboを離さないでください。
MID_amiibo_APP領域作成_離すな_促す: 「FIRE EMBLEM Echoes\nもうひとりの英雄王」の\nデータを作成します。\namiiboを離さないでください。
MID_amiibo_キャンセル: キャンセルされました。
MID_amiibo_削除キャンセル時: amiiboへ書き込みをしなくても\namiibo召喚や、amiiboを使って挑む\n特別なダンジョンを遊ぶことができます。
MID_amiibo_受付中: 受付中
MID_amiibo_書込中: 書き込み中
MID_amiibo_復元中: 復旧中
MID_amiibo_接続中: 接続中
MID_amiibo_終了中: 終了中
MID_amiibo_作成中: 作成中
MID_NFP_エラー_スリープ: 本体がスリープ状態に入っています。\nもう一度やり直してください。\n（デバッグ：使う機会がある？？）
MID_NFP_エラー_WiFiオフ: 無線通信機能がオフになっているため\namiiboの読み込みができません。\n無線通信機能をオンにしてください。
MID_NFP_エラー_タグ未発見: amiiboが見つかりませんでした。\nNFCエリアから離された可能性があります。
MID_NFP_エラー_不正処理: エラーが発生しました。\nもう一度お試しください。
MID_NFP_エラー_接続キャンセル: NFCリーダー/ライターとの接続が切断されました。
MID_NFP_エラー_タイムアウト: NFCリーダー/ライターと接続できません。\n以下をご確認ください。\n・NFCリーダー / ライターの電源が入っている\n・赤外線受発光部が正しく向かい合っている
MID_NFP_エラー_赤外線故障: 本体の赤外線機能が\n壊れている可能性があります。\n本体の電源を入れ直してもう一度お試しください。\nこのエラーが何度も出る場合は\nサービスセンターにお問い合わせください。
MID_NFP_エラー_NFCR&W故障: NFCリーダー/ライターが壊れている\n可能性があります。NFCリーダー/ライターの\n電源を入れ直して、もう一度試してみてください。\nこのエラーが何度も出る場合は\nサービスセンターにお問い合わせください。
MID_NFP_エラー_不明タグ: amiibo以外のデータを\n読み込むことはできません。\nタッチしているものを確認してください。
MID_NFP_エラー_タグ初期化: amiiboのデータが壊れています。\n以前遊んだことのある本体なら\n復旧できる可能性があります。\n復旧せずに使用する場合は、HOMEメニュー設定の\namiibo設定からamiiboの初期化をしてください。
MID_NFP_エラー_未対応バージョン: このamiiboは対応していません。\namiiboをNFCエリアから離してください。
MID_NFP_エラー_タグ違い: 対象のamiiboではありません。
MID_NFP_エラー_書込失敗: 書き込み中にエラーが発生しました。\namiiboのデータが壊れた可能性があります。\nもう一度書き込みを試してみてください。
