MESS_ARCHIVE_Item


Message Name: Message


MIID_不明: 不明なアイテム
MIID_無し: －－－－－
MIID_非公開_1: ？
MIID_非公開_2: ？？
MIID_非公開_3: ？？？
MIID_非公開_4: ？？？？
MIID_非公開_5: ？？？？？
MIID_非公開_6: ？？？？？？
MIID_非公開_7: ？？？？？？？
MIID_非公開_8: ？？？？？？？？
MIID_つるぎ: つるぎ
MIID_鉄の剣: 鉄の剣
MIID_鋼の剣: 鋼の剣
MIID_銀の剣: 銀の剣
MIID_勇者の剣: 勇者の剣
MIID_暗黒の剣: 暗黒の剣
MIID_いかづちの剣: いかづちの剣
MIID_聖なる剣: 聖なる剣
MIID_王家の剣: 王家の剣
MIID_ファルシオン: ファルシオン
MIID_流星: 流星
MIID_黄金の短剣: 黄金の短剣
MIID_ツヴァイハンダー: ツヴァイハンダー
MIID_レディソード: レディソード
MIID_メリクルソード: メリクルソード
MIID_宝剣ソフィア: 宝剣ソフィア
MIID_イルウーン: イルウーン
MIID_レイピア: レイピア
MIID_やり: やり
MIID_鉄の槍: 鉄の槍
MIID_鋼の槍: 鋼の槍
MIID_銀の槍: 銀の槍
MIID_手やり: 手やり
MIID_聖なる槍: 聖なる槍
MIID_ナイトキラー: ナイトキラー
MIID_グラディウス: グラディウス
MIID_太陽: 太陽
MIID_ドーマの槍: ドーマの槍
MIID_皇帝の槍: 皇帝の槍
MIID_クリムヒルド: クリムヒルド
MIID_ロムファイア: ロムファイア
MIID_サウニオン: サウニオン
MIID_おの: おの
MIID_薪割り斧: 薪割り斧
MIID_デビルアクス: デビルアクス
MIID_ゆみ: ゆみ
MIID_鉄の弓: 鉄の弓
MIID_鋼の弓: 鋼の弓
MIID_銀の弓: 銀の弓
MIID_聖なる弓: 聖なる弓
MIID_月光: 月光
MIID_パルティア: パルティア
MIID_ミラの弓: ミラの弓
MIID_長弓: 長弓
MIID_キラーボウ: キラーボウ
MIID_シャイニングボウ: 光の弓
MIID_神剣ファルシオン: 神剣ファルシオン
MIID_裏剣ファルシオン: 裏剣ファルシオン
MIID_ラグネル: ラグネル
MIID_封印の剣: 封印の剣
MIID_夜刀神: 夜刀神
MIID_錆びた剣: 錆びた剣
MIID_錆びた槍: 錆びた槍
MIID_錆びた弓: 錆びた弓
MIID_錆びた盾: 錆びた盾
MIID_錆びた斧: 錆びた斧
MIID_錆びた指輪: 錆びた指輪
MIID_毒の剣: 毒の剣
MIID_毒の槍: 毒の槍
MIID_毒の弓: 毒の弓
MIID_毒の斧: 毒の斧
MIID_爪: 爪
MIID_毒の爪: 毒の爪
MIID_麻痺爪: 麻痺爪
MIID_牙: 牙
MIID_鎌: 鎌
MIID_骨剣: 骨剣
MIID_棍棒: 棍棒
MIID_体当たり: 体当たり
MIID_触手: 触手
MIID_火のブレス: 火のブレス
MIID_水のブレス: 水のブレス
MIID_剛爪: 剛爪
MIID_邪竜のブレス: 邪竜のブレス
MIID_革の盾: 革の盾
MIID_鉄の盾: 鉄の盾
MIID_鋼の盾: 鋼の盾
MIID_リオン家の盾: リオン家の盾
MIID_フーガ家の盾: フーガ家の盾
MIID_銀の盾: 銀の盾
MIID_聖なる盾: 聖なる盾
MIID_魔封じの盾: 魔封じの盾
MIID_竜の盾: 竜の盾
MIID_皇帝の盾: 皇帝の盾
MIID_ドーマの盾: ドーマの盾
MIID_王家の盾: 王家の盾
MIID_賢者の盾: 賢者の盾
