MESS_ARCHIVE_ラムの村_C


Message Name: Message


MID_ADV_C_クリフ仲間入り会話1_アルム: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_00|僕も行ってもいいよ。$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_01|解放軍って、ソフィア中で\n戦ってるんだろ？$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_02|$E笑,|世界を見て回れると思えば\n悪くないんじゃない。$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_03|ま、死ぬかもしれないけど。$k
MID_ADV_C_クリフ_SELECT: クリフを仲間にしますか？
MID_ADV_C_クリフ2: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_1_09_ADV3_QULYF2_00|$E通常,|……あっそ。$k$p$SvpV_SC_1_09_ADV3_QULYF2_01|別にいいよ。\nどうしても行きたいわけじゃないし。$k
MID_ADV_C_クリフ仲間入り会話2: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_1_00|$E通常,|……なに？\nいっしょに来いっていうの？$k
MID_ADV_C_クリフ仲間入り会話1_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_00|$E驚,|……おどろいた。\nセリカだろ？$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_01|$E笑,|久しぶりだね。\nもどってこられたんだ。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_02|$E通常,|アルムたちは……\nいろいろあってさ、村にはいないよ。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_03|マイセンさんも\nどこかにいっちゃった。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_04|$E悲,|はあ……$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_05|もともとなんにもない村だけど\nますます退屈だよ。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_06|$E通常,|セリカは\nどこかにいく途中なの？$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_07|$E笑,|よかったら、\n僕もつれていってよ。$k
MID_ADV_C_クリフ1_SELECT_セリカ: クリフを仲間にしますか？
MID_ADV_C_クリフ2_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV1_QULYF2_00|$E通常,|……あっそ。$k$p$SvpV_SC_2_13_ADV1_QULYF2_01|別にいいよ。\nどうしてもいきたいわけじゃないし。$k
MID_ADV_C_クリフ仲間入り会話2_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_1_00|$E通常,|……なに？\nいっしょに来いっていうの？$k
MID_ADV_C_エフィ仲間入り会話1_アルム: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$Wv$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_0_00|$Eキメ,|わ、私も行く！$k$p$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_0_01|アルムが行くんだったら、\nどこにだっていっしょに行くわ！$k
MID_ADV_C_エフィ_SELECT: エフィを仲間にしますか？
MID_ADV_C_エフィ2: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$SvpV_SC_1_09_ADV3_EFI2_00|$E悲,|そう……$k$p$SvpV_SC_1_09_ADV3_EFI2_01|アルムがそういうなら\n私、ここで待ってるね。$k$p$SvpV_SC_1_09_ADV3_EFI2_02|$E特殊1,|アルムが帰ってくるのを、\nずっと待ってるから……$k
MID_ADV_C_エフィ仲間入り会話2: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_1_00|$E通常,|なあに？$k$p$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_1_01|いっしょに\nつれていってくれるの？$k
