MESS_ARCHIVE_字幕


Message Name: Message


MID_字幕_エンディング_1: かくして
MID_字幕_エンディング_2: おおいなる戦いの幕は下りた。
MID_字幕_エンディング_3: 多くの犠牲をはらい、いまようやく
MID_字幕_エンディング_4: バレンシアに平和がおとずれる。
MID_字幕_エンディング_5: この戦いが
MID_字幕_エンディング_6: いったいなんであったのか。
MID_字幕_エンディング_7: その問いに
MID_字幕_エンディング_8: 答えるものはいない。
MID_字幕_エンディング_9: ただひとつ言えること――
MID_字幕_エンディング_10: それは、人が
MID_字幕_エンディング_11: 再び驕りたかぶるとき
MID_字幕_エンディング_12: あらたなる戦乱の炎が
MID_字幕_エンディング_13: 地上を焼き尽くし
MID_字幕_エンディング_14: すべてが失われてしまうで
MID_字幕_エンディング_15: あろうということ。
MID_字幕_エンディング_16: もっとも醜く恐ろしいもの――
MID_字幕_エンディング_17: それは、人の心の中にこそ
MID_字幕_エンディング_18: 存在するのかもしれない。
MID_字幕_プロローグ_1: かつて、この地上に
MID_字幕_プロローグ_2: 神と呼ばれる存在があった。
MID_字幕_プロローグ_3: バレンシアと呼ばれるこの大地にも
MID_字幕_プロローグ_4: ドーマとミラという
MID_字幕_プロローグ_5: 二柱の兄妹神があった。
MID_字幕_プロローグ_6: 力こそ全てと信じるドーマは
MID_字幕_プロローグ_7: 人々が堕落することを許さず
MID_字幕_プロローグ_8: 生き物たちが自由に遊び戯れる
MID_字幕_プロローグ_9: 楽園を夢見る妹のミラと
MID_字幕_プロローグ_10: 激しく争っていた。
MID_字幕_プロローグ_11: 長い長い暗黒の時を経て
MID_字幕_プロローグ_12: 彼らの間にひとつの盟約が結ばれた。
MID_字幕_プロローグ_13: 大地を二つに分かち
MID_字幕_プロローグ_14: 北をドーマ、南をミラの支配とし
MID_字幕_プロローグ_15: 決して互いの地を侵さぬこととし、
MID_字幕_プロローグ_16: ようやくバレンシアに
MID_字幕_プロローグ_17: 平穏が訪れたのだった。
MID_字幕_プロローグ_18: そして幾千年の時が流れた。
MID_字幕_プロローグ_19: ミラの支配する
MID_字幕_プロローグ_20: 南部地方に生まれたソフィア王国。
MID_字幕_プロローグ_21: 女神のもたらす愛と豊かさによって
MID_字幕_プロローグ_22: 人々は満たされ、繁栄を極めていた。
MID_字幕_プロローグ_23: だが、限りない実りに甘えたソフィアの民は
MID_字幕_プロローグ_24: 腐敗し、堕落と退廃にまみれていた。
MID_字幕_プロローグ_25: ドーマの支配する
MID_字幕_プロローグ_26: 北部地方に生まれたリゲル帝国。
MID_字幕_プロローグ_27: 厳しい自然のなかで、
MID_字幕_プロローグ_28: 人々は神の説く激しさと強さを求めながら
MID_字幕_プロローグ_29: たくましく生きていた。
MID_字幕_プロローグ_30: だが、強靭さとひきかえにリゲルの民からは
MID_字幕_プロローグ_31: 人の持つやさしさが忘れられていった。
MID_字幕_プロローグ_32: それぞれに矛盾をはらんだままに
MID_字幕_プロローグ_33: 時代は流れ
MID_字幕_プロローグ_34: 今、バレンシアの歴史は
MID_字幕_プロローグ_35: 戦乱とともに再び動き始めるのである――
MID_字幕_一章ED_1: こうして、ソフィア城は
MID_字幕_一章ED_2: ドゼーの手から解放され
MID_字幕_一章ED_3: 人々は若き英雄の登場に
