MESS_ARCHIVE_後日談


Message Name: Message


MID_AFT_DLCで死亡: 戦いの中で倒れ、この世を去った……
MID_AFT_汎用死亡: $a$a0で安らかに眠っている……
MID_AFT_汎用死亡_レギュラー: 戦で受けた傷により\n終戦後まもなく\n惜しまれながらこの世を去った。
MID_AFT_アルム: バレンシア統一王国初代国王として\n大陸の復興に生涯を捧げる。\n後の世に人は言う。\n神々の悪しき鎖を断ち切り\nわが千年王朝を築きし者。\n忘れるなかれ、\nわが聖王アルム一世をと――
MID_AFT_セリカ: のちにアルムと結ばれ、\nバレンシア統一王国初代王妃となる。\nその優しさと聡明さで\n若い国王を助け\nバレンシア王国の基礎を築いた。\n人々は彼女を\nミラの生まれ変わりと信じ\n心から愛してやまなかったという。
MID_AFT_マイセン: バレンシア統一王国の\n宰相をつとめる。\nアルム一世王のよき片腕として\n王国の再建に尽力した。\n国王夫妻は彼を実の祖父のように\n慕い続けたという。
MID_AFT_ノーマ: ミラとドーマの\nふたつの教団を統合し\n最高司祭となる。\n何万という信者に\n崇められる存在になっても\nお茶目な性格は\n相変わらずであったらしい。
MID_AFT_ルカ: バレンシア統一王国の\n騎士団に参加。\n引退後は学問所を開き\n多くの人々に\n惜しみなく教育を施した。\nその穏やかで理知的な人柄は\n皆に慕われ、彼の周囲には\n人が絶えることがなかったという。
MID_AFT_クリフ: 戦いののち\nアルムに別れを告げ姿を消す。\nその後、彼を見たものはいない。\n一説では違う大陸に旅立ったとも\n言われるが、定かではない。\n数十年後、彼の息子を名乗る青年が\nバレンシアに現れ王に仕えた。\n非常に優れた魔道士であったという。
MID_AFT_ロビン: バレンシア統一王国の\n騎士団に参加。\nその実直な性格で\n生涯、国王アルムの友として\nよく仕えた。王の信頼も篤く\nやがて一城を任されるまでに\nなったという。
MID_AFT_ロビン_1: グレイの死を受け止められず\n忽然と姿を消すが\n数年後、ふらりとまた現れた。\n国王アルムの勧めもあり\n騎士団に参加したが\n人が変わったかのように\n無口で厳格であったという。
MID_AFT_グレイ: バレンシア統一王国の\n騎士団に参加。\n大陸の復興に尽力した。\nロビンとの鞘当てにも勝利し\n見事クレアのハートを射止める。\n「男は顔じゃない、心さ」と\nうそぶいていたとか。
MID_AFT_グレイ_1: ロビンの死を悲しみ\n酒に溺れる日々を送ったが\nクレアの励ましもあり立ち直る。\n王国騎士団入りは辞退し、\n彼女と共に静かに生涯を送った。\n息子に友の名をつけ\n可愛がっていたという。
MID_AFT_グレイ_2: 愛する者を失い\n似合わないとは知りつつ\nひとり旅に出、戻らなかった。\n友人たちが手を尽くして探したが\nその後、彼の姿を見た者は\nいなかったという。
MID_AFT_エフィ: ラムの村に帰り\n昔どおりの生活に戻るが\nアルムを忘れることはできなかった。\nそれでもいいという男に\n熱心に口説かれいっしょになるが、\nたまにふらりといなくなっては\n家族に心配されていたという。
MID_AFT_クレア: バレンシア統一王国の\n騎士団に参加。\n大陸の復興に尽力した。\nグレイのしつこさに負け\nいっしょになるが、\n妻となり母となっても\nペガサスで空を駆け回り\n周囲の人間の肝を冷やし続けたとか。
MID_AFT_クレア_1: 「グレイったら……\nどこまで勝手な人なんでしょう」\nひとり先に逝ったグレイを恨みながらも、\nバレンシア騎士団に参加し\nその発展に貢献した。\n彼女の憂いをおびた美しさは\n騎士団の華とあがめられたという。
MID_AFT_クレーベ: バレンシア統一王国の\n騎士団長を任される。\nその実力と公明正大な態度で\n階級を問わず広く人々の信任を得、\n騎士団の発展に大いに貢献した。\n美しい妻とも結ばれ、その姿は\n人々の羨望の的であったという。
MID_AFT_クレーベ_1: マチルダを失った悲しみを胸に\nバレンシア統一王国の\n騎士団長を任される。\nしかし数年後、\n海賊との戦いで命を落とした。\n人々は偉大な騎士の死を\n大いに悼み、悲しんだという。
MID_AFT_フォルス: バレンシア統一王国の\n騎士団に参加。\n大陸の復興に尽力した。\n歳月を経るごとに\n落着きと思慮深さを身につけ\n副官としてクレーべの働きを\nよく助けたという。
MID_AFT_フォルス_1: バレンシア統一王国の\n騎士団に参加。\n亡きクレーべの遺志を継ぎ\n騎士団の発展に生涯を捧げた。\n歳月を経るごとに\n落着きと思慮深さを身につけ\n人々はその姿に\nクレーベの面影を見たという。
MID_AFT_フォルス_2: バレンシア統一王国の\n騎士団に参加。\nパイソンを失った喪心からか\n自ら志願して辺境へ赴き、\n地方の平定に尽力した。\nやがてその地の女性と結ばれ\n二度と王都には戻らなかったという。
MID_AFT_パイソン: 騎士団入りを辞退したかわりに\n村や町を盗賊から守る\n自警団の団長を任され\n辺境でのんびりと過ごした。\n時折、旧友が訪ねてきては\n飲み明かしていたという。
MID_AFT_パイソン_1: バレンシア統一王国の\n騎士団に参加。\nフォルスの遺志を継いだのか\n以前とは別人のように\n精力的に活動する。\nだが数年後、内乱を\n鎮圧するために赴いた戦で\n負傷し、若くして世を去った。
MID_AFT_メイ: ノーヴァ島へ戻り\nボーイと共に以前と同じように\n修道院で働いた。やがて\nケンカが絶えないながらも\n彼と結ばれ、多くの子にも恵まれた。\n生涯を島で幸福に過ごしたという。
MID_AFT_メイ_1: ケンカ友達のボーイを亡くし\n塞ぎこむ日々が続いたが\n周囲の人々の励ましもあり\n再び生来の明るさを取り戻す。\nノーヴァ島の修道院で\n多くの人々を助け、慕われたという。
MID_AFT_シルク: 戦乱によって\n傷ついた人々を救うため\n旧リゲル地方にむかった。\nその後の足取りは知れないが\n各地に彼女が人々を救った\n逸話が残されているという。
MID_AFT_ジェニー: 誰もがまさかと思う相手と\n恋に落ち、結ばれたらしい。\nそれがいったい誰なのか……\n誰が問うても、彼女は笑って\n決して答えてはくれなかったという。
MID_AFT_ボーイ: ノーヴァ島の修道院に戻り\n紆余曲折を経てメイと結ばれた。\n子だくさんで苦労が絶えず\nケンカしてばかりであったが\n彼らにとっては\nそれが幸せだったのであろう。
MID_AFT_ボーイ_1: メイに先立たれ初めて\n彼女への思いを確かなものと知る。\nその後悔を胸に修行に励み\nノーマの後を継いで司祭となった。\n生涯をノーヴァ島の修道院で過ごし\n貧しい人々に奉仕したという。
MID_AFT_コンラート: 終戦後は槍を置き\n文官としての才能を開花させる。\nマイセンの引退後、宰相を務め\n王国の経済的な発展に大いに寄与した。\n彼に憧れる女性は後を絶たなかったが\n生涯独身であったという。
MID_AFT_カムイ: ジェシーの傭兵王国建設に\n協力する。しばらくは\nそこで過ごしたようであったが\n流れ者の血が疼いたのか\nある日忽然と姿を消し\nその後の行方は杳として知れない。
MID_AFT_カムイ_1: かつてのギースの領地に\n傭兵による新しい国を築く。\nバレンシア統一王国の有事には\n王に請われて駆けつけるなど\n良好な関係であったようだ。\nのちに彼は、その功績から\n砂漠の傭兵王と呼ばれた。
MID_AFT_レオ: バレンシア統一王国の\n騎士団に参加。\nバルボのそばを離れなかったが\n怪我がもとで早くに引退し\nその後、町で貿易商を営んだ。\n常に明るく自由に\n人生を謳歌していたという。
MID_AFT_レオ_1: バルボを亡くした悲しみは深く、\nしばらくは姿を消していたが\nその後バレンシア統一王国の\n騎士団に参加。\n一騎当千の働きを見せる。\n後進の育成にも熱心に取り組み\n騎士団の発展に大いに貢献した。
MID_AFT_バルボ: バレンシア統一王国の\n騎士団に参加。\nアルムに頼まれ、若い兵士たちを\n立派に育て上げた。\nその豪放磊落で誠実な人柄で\n多くの人々に慕われ\n幸福な晩年を過ごしたという。
MID_AFT_マチルダ: 鎧を脱ぎ捨て\nクレーべの妻となる。\nその後は一切表舞台へは出ず\n影から夫を支え続けた。\n伝説の女騎士マチルダ。\nその名はバレンシアの歴史に\n永久に刻まれるであろう。
MID_AFT_マチルダ_1: クレーべを失い\nやむなくバレンシア騎士団を\n引き継ぐ。その悲しみを胸に\n王国の発展に大いに貢献した。\n伝説の女騎士マチルダ。\nその名はバレンシアの歴史に\n永久に刻まれるであろう。
MID_AFT_アトラス: 弟たちの待つ山の村へ帰り\n昔のように木こりをして暮らした。\n盗賊らから村を守り、\n人々に感謝されていたようだ。\n軍からは身を引いたが\n有事の際、王妃に請われると\n誰よりも早く駆けつけたという。
MID_AFT_ジェシー: かつてのギースの領地に\n新しく傭兵たちの王国を築き、\n自ら王として君臨した。\n有事の際には積極的に\nアルム一世らを助けたという。\n彼の名は砂漠の傭兵王として\n今も語り継がれている。
