MESS_ARCHIVE_Contact


Message Name: Message


MID_CONTACT_強さをみる: 強さをみる
MID_CONTACT_スカウト: スカウト
MID_CONTACT_戦う: 戦う
MID_CONTACT_持ち物を買う: 持ち物を買う
MID_CONTACT_別れを告げる: 別れを告げる
MID_CONTACT_戻る: 戻る
MID_CONTACT_名声値: 名声値：
MID_CONTACT_軍: 軍
MID_CONTACT_一覧: 一覧
MID_CONTACT_強さをみる説明: 相手の軍のメンバー表を見て強さを調べることができます。
MID_CONTACT_スカウト確認: $a$a0Ｇで相手軍の\nリーダーを仲間にしますか？\n（持ち物は引き継げません）
MID_CONTACT_スカウト確認_上書き: $a$a0Ｇで相手軍の\nリーダーを仲間にしますか？\n同じユニットは\n上書きすると消去されます。
MID_CONTACT_スカウト確認_オーバー: $a$a0Ｇで相手軍の\nリーダーを仲間にしますか？\nこれ以上仲間にできないため、\n誰かと別れる必要があります。
MID_CONTACT_自身をスカウト: このユニットを\n仲間にすることはできません。
MID_CONTACT_課金兵種: このユニットを仲間にするためには\n異界の門にて新兵種を\n入手する必要があります。
MID_CONTACT_T_仲間削除: 仲間選択
MID_CONTACT_仲間削除: これ以上\n仲間にできません。\n別れる仲間を\n選んでください。
MID_CONTACT_仲間削除確認: 本当に別れますか？\n（マイユニ名鑑が９９を超えると、\n　ロックしていないマイユニットのうち\n　雇用価格が最も低い１人が\n　名鑑から自動削除されます）
MID_CONTACT_仲間削除結果: 仲間と別れました
MID_CONTACT_T_ユニット再加入: ユニット再加入
MID_CONTACT_ユニット再加入: 仲間にする\nユニットを\n選んでください。
MID_CONTACT_ユニット再加入確認: このユニットを仲間にしますか？\n古いデータは消去されます。
MID_CONTACT_ユニット再加入結果: 仲間を入れ替えました
MID_CONTACT_ユニット再加入_キャンセル: チームのユニットをそのまま残しました
MID_CONTACT_T_名鑑上書き: 名鑑上書き
MID_CONTACT_名鑑上書き: 名鑑に\n強さを上書きする\nユニットを\n選んでください。
MID_CONTACT_名鑑上書き確認: このユニットを\n名鑑に上書きしますか？\n古いデータは消去されます。
MID_CONTACT_名鑑上書き結果: 名鑑を上書きしました
MID_CONTACT_名鑑上書き_キャンセル: 強さの上書きをキャンセルしました
MID_CONTACT_名鑑削除: 削除
MID_CONTACT_名鑑削除_確認: 本当に削除しますか？
MID_CONTACT_名鑑削除_結果: 名鑑から削除しました
MID_CONTACT_T_名鑑新規登録: 登録
MID_CONTACT_名鑑新規登録: 登録
MID_CONTACT_名鑑新規登録_説明: 新たに名鑑に\n登録するユニットを\n選んでください
MID_CONTACT_名鑑新規登録_満員: 名鑑に空きがありません
MID_CONTACT_名鑑新規登録_登録済み: 登録可能なユニットが存在しません
MID_CONTACT_名鑑新規登録_結果: 名鑑に登録しました
MID_CONTACT_名鑑新規登録_キャンセル: 登録をやめました
MID_CONTACT_金不足: お金がたりません
MID_CONTACT_戦闘確認: 戦闘を行いますか？\n勝つと敵軍リーダーを仲間にできます。\n持ち物は引き継げません。\n（難易度に応じて敵は強化されます）
MID_CONTACT_戦闘確認_上書き: 敵軍リーダーをすでに仲間にしているため\n勝つと強さを上書きできます。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_戦闘確認_オーバー: 仲間がいっぱいのため、新たに仲間に\nするには誰か１人と別れる必要があります。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_自身と戦闘: この敵軍リーダーを\n仲間にすることはできません。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_課金兵種戦闘: この敵軍リーダーを倒して\n仲間にするためには異界の門にて\n新兵種を入手する必要があります。\n戦闘を行いますか？\n（難易度に応じて敵は強化されます）
MID_CONTACT_持ち物を買う確認: 相手軍の持ち物を\n買いますか？\n買い物終了後、\n相手軍は立ち去ります。
MID_CONTACT_買えるアイテムがない: このチームから買うことが\nできる持ち物がありません。
MID_CONTACT_別れ確認: 別れを告げますか？\n別れを告げると\n相手軍は立ち去ります。
MID_CONTACT_別れる: $a$a0と別れた
MID_CONTACT_仲間入り確認: $a$a0を仲間にしますか？\n（仲間にしない場合でも\n　マイユニ名鑑には追加されます）
MID_CONTACT_仲間入り結果: $a$a0を仲間にした
