MESS_ARCHIVE_ResidentMenu


Message Name: Message


MID_MENU_戻る: 戻る
MID_MENU_決定: 決定
MID_MENU_外す: 外す
MID_MENU_初期化: 初期化
MID_H_無し: なし
MID_H_能力値_基本値: 基本値
MID_H_能力値_調子: 調子
MID_H_能力値_弱体: 減少
MID_H_能力値_半減: 半減
MID_H_能力値_消費: 継続移動
MID_H_能力値_所持強化: $a$a0（所持）
MID_MENU_部隊表: 部隊表
MID_H_MENU_部隊表: 出撃中のユニット一覧を確認できます
MID_MENU_指南: 指南
MID_H_MENU_指南: ゲームの遊び方を確認できます
MID_MENU_環境: 環境
MID_H_MENU_環境: ゲームをプレイする環境を設定できます
MID_MENU_セーブ: セーブ
MID_H_MENU_セーブ: 現在のプレイ状況を保存できます
MID_MENU_命令: 号令
MID_H_MENU_命令: 部隊に号令を出します
MID_MENU_突撃: 突撃
MID_H_MENU_突撃: 近くの敵へ移動し、攻撃します
MID_MENU_集合: 集合
MID_H_MENU_集合: 主人公についていき、その周りで戦います
MID_MENU_退却: 退却
MID_H_MENU_退却: 戦場から逃げます（３ターン目から使用可）
MID_H_MENU_退却不可_行動済み: 行動済みのユニットがいるため退却できません
MID_H_MENU_退却不可_イベント: この戦闘からは退却できません
MID_MENU_退却確認: 本当に退却しますか？
MID_MENU_ミラの歯車: ミラの歯車
MID_H_MENU_ミラの歯車: ミラの力を使用し、時間を巻き戻します
MID_H_MENU_ミラの歯車メニュー: ミラの歯車を使います。
MID_MENU_中断: 中断
MID_H_MENU_中断: 現在の状態を保存し、ゲームを中断します
MID_MENU_中断確認: 現在の状態を保存し、ゲームを中断しますか？\n（すでに中断データがある場合は上書き保存されます。\nゲームを再開すると、中断データは消去されます。)
MID_MENU_降参: 降参
MID_H_MENU_降参: 現在の戦闘を終了します
MID_MENU_降参確認: 現在の戦闘を終了しますか？
MID_MENU_終了: 終了
MID_H_MENU_終了: 自軍の行動を終了し、敵軍の行動に移ります
MID_MENU_ターン終了確認: ターンを終了しますか？
MID_MENU_未行動: 未行動
MID_ORDER_全力: 全力
MID_ORDER_遊撃: 遊撃
MID_ORDER_後退: 後退
MID_ORDER_集合: 集合
MID_ORDER_号令解除: 号令解除
MID_ORDER_閉じる: 閉じる
MID_H_ORDER_命令: 未行動の仲間に\n指示を出すことができます
MID_H_ORDER_全力: 敵に対し全力で\n攻撃をおこないます
MID_H_ORDER_遊撃: 各自で状況を判断し、\n最適な戦闘を行います
MID_H_ORDER_後退: 敵から距離をとって待機します
MID_H_ORDER_集合: 主人公のところに集まります
MID_H_ORDER_号令解除: 実行中の号令を解除します
MID_H_ORDER_閉じる: 号令をかけずに戻ります
MID_MENU_制圧: 制圧
MID_MENU_制圧確認: このマップをクリアします。よろしいですか？
MID_MENU_離脱: 離脱
MID_MENU_離脱確認: 離脱しますか？
MID_MENU_突破: 突破
MID_MENU_突破確認: 突破しますか？
MID_MENU_会話: 会話
MID_MENU_攻撃: 攻撃
MID_MENU_戦技: 戦技
MID_MENU_黒魔法: 黒魔法
MID_MENU_白魔法: 白魔法
MID_MENU_杖: 杖
MID_MENU_特殊杖確認: $a$a0を使用しますか？
MID_MENU_破壊: 壊す
MID_MENU_訪問: 訪問
MID_MENU_扉: 扉
MID_MENU_宝箱: 宝箱
MID_MENU_罠解除: 罠解除
MID_MENU_持ち物: 持ち物
MID_MENU_交換: 物交換
MID_MENU_交換確認: 交換を確定しますか？
MID_MENU_持ち物無し: 何も持っていません
MID_MENU_輸送隊: 道具袋
MID_MENU_食事: 食事
MID_MENU_救出: 救出
MID_MENU_入れ替え: 入れ替え
MID_MENU_階段: 階段
MID_MENU_転移: 転移
MID_MENU_ワープ: ワープ
MID_MENU_障害物取得: 取得
MID_MENU_障害物設置: 設置
MID_MENU_待機: 待機
MID_MENU_持ち物_装備: 装備
MID_MENU_持ち物_外す: 外す
MID_MENU_持ち物_並べ替え: 並べ替え
MID_MENU_持ち物_使う: 使う
MID_MENU_持ち物_使う確認: $a$a0を使いますか？
MID_MENU_持ち物_渡す確認: $a$a0を渡しますか？
MID_MENU_持ち物_食べる: 食べる
MID_MENU_持ち物_食べる確認: $a$a0を食べますか？
MID_MENU_持ち物_飲む: 飲む
MID_MENU_持ち物_飲む確認: $a$a0を飲みますか？
MID_MENU_持ち物_スキルの書_確認: $a$a0を習得しますか？\n（スキルに空きが無い場合は\n　スキル着脱の習得済みスキルに\n　追加されます）
MID_MENU_持ち物_交換: 物交換
MID_MENU_持ち物_捨てる: 捨てる
MID_MENU_持ち物_捨てる説明: これ以上持てません。\nどちらか１つを\n捨ててください。
MID_MENU_持ち物_送る説明: これ以上持てません。\n道具袋に送るアイテムを\n選択してください。
MID_MENU_持ち物_捨てる確認: $a$a0を本当に捨てますか？
MID_MENU_持ち物_送る確認: $a$a0を道具袋に送りますか？
MID_MENU_輸送隊_お供え説明: お供えする食べ物を\n選択してください。
MID_MENU_輸送隊_捨てる説明: 道具袋がいっぱいです。\n捨てるアイテムを\n選択してください。
MID_MENU_輸送隊_配達説明: 商人に預けるアイテムを\n選択してください。
MID_MENU_輸送隊_渡す説明: 渡すアイテムを\n選択してください。
MID_MENU_輸送隊_見せる説明: 見せるアイテムを\n選択してください。
MID_MENU_スキル_忘却確認: $a$a0を外しますか？
MID_MENU_スキル_忘却: 持てるスキルが\nいっぱいです。\n外すスキルを\n１つ選んでください。
MID_MENU_クラスチェンジ確認: $a$a0にクラスチェンジしますか？
MID_MENU_クラスチェンジ確認_アイテム使用: $a$a0を使用して\n$a1にクラスチェンジしますか？
MID_MENU_エターナル確認: レベル上限を５レベル分上げますか？
MID_MENU_仲間入り確認: $a$a0を仲間にしますか？\n（仲間にしない場合でも\n　サポーター名鑑には追加されます）
MID_MENU_召喚_限界: 幻影兵の数が上限に達しています
MID_MENU_クラスチェンジ: クラスチェンジ
MID_H_MENU_クラスチェンジ: クラスチェンジを行います
MID_MENU_お供え: お供え
MID_H_MENU_お供え: 食料を捧げ、疲労を回復します
MID_H_MENU_お供え_歯車: 食料を捧げ、疲労とミラの歯車を回復します
MID_MENU_Amiibo: amiibo
MID_H_MENU_Amiibo: amiiboを使って遊ぶことができます
MID_MENU_Amiibo_Write: 書き込む
MID_H_MENU_Amiibo_Write: amiiboに、ゲーム上の強さを反映させます
MID_MENU_Amiibo_Dungeon: ダンジョン
MID_H_MENU_Amiibo_Dungeon: amiiboを使って、特別なダンジョンに挑みます
MID_H_MENU_Amiibo_Dungeon_NG: ダンジョンや拠点の中では使用できません。
MID_MENU_Duma_Dungeon: 戦神の試練
MID_H_MENU_Duma_Dungeon: 戦神ドーマの試練に挑戦することができます
MID_MENU_Mila_Dungeon: 女神の試練
MID_H_MENU_Mila_Dungeon: 女神ミラの試練に挑戦することができます
MID_MENU_AmiiboDung_女神の試練_説明: 女神ミラのダンジョンで強敵に挑もう！このダ\nンジョンで遊ぶにはセリカのamiiboが必要です。
MID_MENU_AmiiboDung_戦神の試練_説明: 戦神ドーマのダンジョンで強敵に挑もう！このダ\nンジョンで遊ぶにはアルムのamiiboが必要です。
MID_MENU_記憶の欠片: 記憶の欠片
MID_H_MENU_記憶の欠片: 記憶の欠片を使って、過去を覗くことができます
MID_MENU_支援会話回想: 支援会話回想
MID_H_MENU_支援会話回想: ユニット同士の会話を見ることができます
MID_H_MENU_記憶の欠片_誘導: どの記憶を覗きますか？
MID_H_INFO_クラスチェンジ可能: クラスチェンジする資格を得た証
MID_H_INFO_レベル: この兵種になって\nどれだけ経験を積んだかの目安
MID_H_INFO_経験値: 戦闘経験を積んだ値\n１００になるとレベルアップ
MID_H_INFO_ＨＰ: 生命力　現在値／上限値\n０になると戦闘不能になる
MID_H_INFO_疲労度_元気: 疲労度\n戦闘により蓄積し\n限界になると最大HPが低下する\n現在は元気
MID_H_INFO_疲労度_通常: 疲労度\n戦闘により蓄積し\n限界になると最大HPが低下する\n現在は通常
MID_H_INFO_疲労度_ピンチ: 疲労度\n戦闘により蓄積し\n限界になると最大HPが低下する\n現在はピンチ
MID_H_INFO_疲労度_疲労: 疲労度\n戦闘により蓄積し\n限界になると最大HPが低下する\n現在は疲労
MID_H_INFO_支援ユニット: 縁の深い仲間
MID_H_INFO_力: 攻撃の強さ　高いほど、\n相手に与えるダメージが大きい
MID_H_INFO_技: 技　高いほど、\n命中や必殺が高い
MID_H_INFO_速さ: 速さ　高いほど回避が高い\n敵より高いと、追撃（２回攻撃）可能
MID_H_INFO_幸運: 運の良さ　色々な局面に影響\n高いほど、敵の必殺を受けにくい
MID_H_INFO_守備: 守備　高いほど、敵の剣などの\n物理攻撃のダメージを減らせる
MID_H_INFO_魔防: 魔法防御　高いほど、敵の\n魔法攻撃のダメージを減らせる
MID_H_INFO_移動: 移動力　高いほど、\n多くのマスを移動できる
MID_H_INFO_攻撃: 武器や魔法の攻撃力
MID_H_INFO_命中: 高いほど攻撃が命中しやすい
MID_H_INFO_必殺: 高いほど必殺の一撃が出やすい
MID_H_INFO_回避: 高いほど敵の攻撃を避けやすい
MID_H_INFO_戦闘力: ユニットの\n総合的な強さの目安
MID_H_INFO_戦力: 軍の総合的な強さの目安
MID_H_INFO_未習得戦技: 未習得の戦技
MID_MENU_詳細UIに変更: 通常UIに変更しました
MID_MENU_簡単UIに変更: かんたんUIに変更しました
MID_MENU_バックアップ_記録中: データをセーブしています。\n電源を切ったり、\nカードを抜いたりしないでください。
MID_MENU_バックアップ_記録中2: データを更新中です。
MID_MENU_バックアップ_記録確認: データをセーブしますか？
MID_MENU_バックアップ_記録無し確認: データをセーブせずに\n次の章へ進みますか？
MID_MENU_バックアップ_記録無し確認_メインメニュー: データをセーブせずに\nメインメニューに戻りますか？
MID_MENU_バックアップ_中断削除確認: 中断データは消えますがよろしいですか？
MID_MENU_バックアップ_削除確認: 本当にデータを消去してもいいですか？
MID_MENU_バックアップ_コピー確認: データをコピーしますか？
MID_MENU_バックアップ_消去中: セーブデータを消去しています。\n電源を切ったり、\nカードを抜いたりしないでください。
MID_MENU_バックアップ_中断消去中: 中断データを消去しています。\n電源を切ったり、\nカードを抜いたりしないでください。
MID_MENU_バックアップ_ロード失敗: セーブデータの読み込みに失敗しました。
MID_MENU_ファイル_ロード失敗: ファイルの読み込みに失敗しました。
MID_MENU_ファイル_バージョンエラー: セーブデータのバージョンが異なる為\nロードに失敗しました。\nゲームを最新版に更新してください。
MID_戦績_TURN: TURN
MID_戦績_MVP: MVP
MID_戦績_MVPなし: なし
MID_戦績_MVPコネクト: ＆
MID_Movie_Skip: スキップ
MID_追加コンテンツ_破損_警告: 追加コンテンツが破損しています。\n正常にゲームを開始するためには\nエクストラメニューより\n再ダウンロードを行ってください。
MID_追加コンテンツ_破損_中断: 追加コンテンツが見つからないため\nゲームを開始できません。\nエクストラメニューより\n再ダウンロードを行ってください。
MID_AMIIBO_召喚確認: $aHPを$a0消費して、\n$a1ターンの間ユニットを召喚します。\nよろしいですか？
MID_AMIIBO_召喚二回目: 既に召喚されたamiiboがいます。\n以前のamiiboは消滅しますが\nよろしいですか？
MID_AMIIBO_召喚済み: 同じamiiboは召喚できません。
MID_AMIIBO_召喚オーバー: これ以上amiiboを召喚することは\nできません。
