MESS_ARCHIVE_ドーマの祭壇_5


Message Name: Message


MID_OP1_1: $t3$Wmセリカ|h$w0|$Wmメイ|5$w0|$SbpBGM_EVT_MEET|0|$Wsメイ|$Wa$SvpV_SC_5_01_OP1_1_00|$E驚,|ああっ、\nセリカさま？！$k\n$Wsセリカ|$Wa$E笑,|$SvpV_SC_5_01_OP1_1_01|みんな……！$k$p$SvpV_SC_5_01_OP1_1_02|よかった、\n無事だったのね。$k\n$Wsメイ|$Wa$E笑,|$SvpV_SC_5_01_OP1_1_03|セリカさま……！\nよかった、また会えて。$k$p$SvpV_SC_5_01_OP1_1_04|$E怒,|ジュダの魔法で\n変なところに飛ばされちゃって$k$p$SvpV_SC_5_01_OP1_1_05|魔物に囲まれて\n大変だったんですよ！$k$p$SvpV_SC_5_01_OP1_1_06|$E通常,|でも、どこからか\n不思議な声がして……$k$p$SvpV_SC_5_01_OP1_1_07|その声を追いかけてきたら\nここについたんです。$k\n$Wsセリカ|$Wa$SvpV_SC_5_01_OP1_1_08|$E笑,|そう……\nきっと、ミラさまだわ。$k
MID_OP1_2: $t3$Wmジュダ|5$w0|$Wsジュダ|$Wa$SvpV_SC_5_01_OP1_2_00|$E驚,|こんな……\nこんなことがあっていいものか。$k$p$SvpV_SC_5_01_OP1_2_01|ファルシオンの封印が\n解かれるなどと……$k$p$SvpV_SC_5_01_OP1_2_02|$E苦,|ミラめ、兄であるドーマさまを\n裏切るというのか……！$k\n$Wmアルム|h$w0|$Wsアルム|$Wa$Eキメ,|$SvpV_SC_5_01_OP1_2_03|見つけたぞ、\nジュダ！$k$p$SvpV_SC_5_01_OP1_2_04|もうお前の好きにはさせない。\n覚悟しろ！！$k\n$Wsジュダ|$Wa$E苦,|$SvpV_SC_5_01_OP1_2_05|アルム……\nこの、ルドルフの小倅め。$k$p$SvpV_SC_5_01_OP1_2_06|$E怒,|親子そろって、\nドーマさまに仇なす痴れ者どもが！$k\n$Wsアルム|$Wd$w0|$Wmセリカ|h$w0|$Wsセリカ|$Wa$Eキメ,|$SvpV_SC_5_01_OP1_2_07|ジュダ！\nどうしてわからないの？$k$p$SvpV_SC_5_01_OP1_2_08|ドーマは狂っている。\nもう人々に害しか与えないのよ。$k$p$SvpV_SC_5_01_OP1_2_09|$E悲,|それが、神竜のさだめなの。$k\n$Wsジュダ|$Wa$E怒,|$SvpV_SC_5_01_OP1_2_10|黙れ、小娘！\n知ったような口をきくでない。$k$p$SvpV_SC_5_01_OP1_2_11|人に害をなすからとて\nそれがなんだというのだ。$k$p$SvpV_SC_5_01_OP1_2_12|$E苦,|神の力なくして\nバレンシアの民は生きてはゆけぬ。$k\n$Wsセリカ|$Wd$w0|$Wmアルム|h$w0|$Wsアルム|$Wa$Eキメ,|$SvpV_SC_5_01_OP1_2_13|ちがう！$k$p$SvpV_SC_5_01_OP1_2_14|もう僕たちは、\n神の手を離れて歩いていけるんだ。$k\n$Wsジュダ|$Wa$E苦,|$SvpV_SC_5_01_OP1_2_15|愚かな……\nそのようなことができると思うか。$k\n$Wsアルム|$Wd$w0|$Wmセリカ|h$w0|$Wsセリカ|$Wa$Eキメ,|$SvpV_SC_5_01_OP1_2_16|できます！$k$p$SvpV_SC_5_01_OP1_2_17|私たちは、それを証明するために\nここまで来たのです。$k\n$Sbs3000|$Wsジュダ|$Wa$SvpV_SC_5_01_OP1_3_00|$E苦,|たかが人の子が\n思いあがりおって……！$k$p$SvpV_SC_5_01_OP1_3_01|$E怒,|おもしろい、\nならば示してみよ。$k$p$SvpV_SC_5_01_OP1_3_02|人の子の力とやらをな！！！$k
MID_LAST_グレイ: $t1$Wmグレイ|5$w0|$Wsグレイ|$Wa$SvpV_SC_5_01_OP_GRAY_00|$Eキメ,|俺がなにをどうするかは\n俺に決めさせてくれってこった。$k
MID_LAST_ロビン: $t1$Wmロビン|5$w0|$Wsロビン|$Wa$SvpV_SC_5_01_OP_ROBIN_00|$E特殊1,|俺には友達がいるから……\n神さまなんていなくても、きっと平気だ。$k
MID_LAST_クリフ: $t1$Wmクリフ|5$w0|$Wsクリフ|$Wa$SvpV_SC_5_01_OP_QULYF_00|$E怒,|力、力ってうるさいな……$k$p$SvpV_SC_5_01_OP_QULYF_01|$Eキメ,|そんなに好きなら、\nあんたに食らわしてやるよ。$k
MID_LAST_エフィ: $t1$Wmエフィ|5$w0|$Wsエフィ|$Wa$SvpV_SC_5_01_OP_EFI_00|$Eキメ,|私とアルムが住む世界に、\nあなたなんていらない……$k$p$SvpV_SC_5_01_OP_EFI_00_A|あなたなんていらないのよ！！$k
MID_LAST_ルカ: $t1$Wmルカ|5$w0|$Wsルカ|$Wa$SvpV_SC_5_01_OP_LUKA_00|$E通常,|人と神との戦いですか……\nおや、なかなか燃えますね。$k
MID_LAST_シルク: $t1$Wmシルク|5$w0|$Wsシルク|$Wa$SvpV_SC_5_01_OP_SILK_00|$E悲,|ミラさま……$k$p$SvpV_SC_5_01_OP_SILK_01|$E怒,|あなたの思いは、私の中に。\n必ずドーマを解放します！$k
MID_LAST_クレア: $t1$Wmクレア|5$w0|$Wsクレア|$Wa$SvpV_SC_5_01_OP_CLEA_00|$E怒,|神の力にすがって生きるなど\nわたくしの美学に反します。$k$p$SvpV_SC_5_01_OP_CLEA_01|お引き取りくださいませ！$k
MID_LAST_クレーベ: $t1$Wmクレーベ|5$w0|$Wsクレーベ|$Wa$SvpV_SC_5_01_OP_CLERBE_00|$E怒,|狂った神に頭を垂れて生き永らえるのなら\n私は人として、誇りある死を選ぼう！$k
MID_LAST_フォルス: $t1$Wmフォルス|5$w0|$Wsフォルス|$Wa$SvpV_SC_5_01_OP_FOLS_00|$Eキメ,|弱き民を不当に支配する力なんて、\n僕は崇めない。$k$p$SvpV_SC_5_01_OP_FOLS_01|そんなものは、神でもなんでもない！$k
MID_LAST_パイソン: $t1$Wmパイソン|5$w0|$Wsパイソン|$Wa$SvpV_SC_5_01_OP_PAISON_00|$E悲,|力がすべてとか、そういう暑っ苦しいの\n俺いっちばん嫌いだわ。$k
MID_LAST_リュート: $t1$Wmリュート|5$w0|$Wsリュート|$Wa$SvpV_SC_5_01_OP_RYUTO_00|$E怒,|お前の精霊の声は禍々しい……\nこんな魔道なら、俺はいらない。$k
MID_LAST_マチルダ: $t1$Wmマチルダ|5$w0|$Wsマチルダ|$Wa$SvpV_SC_5_01_OP_MACHILDA_00|$Eキメ,|なにを神と崇めるかは\n私が決めること。$k$p$SvpV_SC_5_01_OP_MACHILDA_01|少なくとも、お前たちではないな。$k
MID_LAST_デューテ: $t1$Wmデューテ|5$w0|$Wsデューテ|$Wa$SvpV_SC_5_01_OP_DYUTE_00|$Eキメ,|神さまなんていらないよお。\nボク、強いもーん！$k
