MESS_ARCHIVE_Bgm


Message Name: Message


MKID_STRM_SYS_CASTLE_E1: 安息と豊穣の地
MKID_STRM_MAP_A1: 遠い夜明け
MKID_STRM_BTL_A1: 遠い夜明け～颯
MKID_STRM_MAP_A2: 輝く大地を越えて
MKID_STRM_BTL_A2: 輝く大地を越えて～颯
MKID_STRM_MAP_A3: 正義は此処に
MKID_STRM_BTL_A3: 正義は此処に～颯
MKID_STRM_MAP_A4: 光射す彼方へ
MKID_STRM_BTL_A4: 光射す彼方へ～颯
MKID_STRM_MAP_B1: 黄昏をつれて
MKID_STRM_BTL_B1: 黄昏をつれて～焔
MKID_STRM_MAP_B2: 光亡き荒野の果てに
MKID_STRM_BTL_B2: 光亡き荒野の果てに～焔
MKID_STRM_MAP_B3: 正義は何処に
MKID_STRM_BTL_B3: 正義は何処に～焔
MKID_STRM_MAP_B4: 譬え闇に堕ちるとも
MKID_STRM_BTL_B4: 譬え闇に堕ちるとも～焔
MKID_STRM_MAP_B5: 彼の背中、今は遠く
MKID_STRM_BTL_B5: 彼の背中、今は遠く～業
MKID_STRM_MAP_C1: 水底の記憶
MKID_STRM_BTL_C1: 水底の記憶～濫
MKID_STRM_MAP_C1R: 憶記の底水
MKID_STRM_BTL_C1R: 憶記の底水～濫
MKID_STRM_MAP_C2: 沈み逝く王国
MKID_STRM_BTL_C2: 沈み逝く王国～濫
MKID_STRM_MAP_C3: 栄光と腐敗と
MKID_STRM_BTL_C3: 栄光と腐敗と～業
MKID_STRM_MAP_E1: 虚飾の審判者
MKID_STRM_BTL_E1: 虚飾の審判者～轟
MKID_STRM_MAP_E2: 知恵の都
MKID_STRM_BTL_E2: 知恵の都～轟
MKID_STRM_MAP_E3: 荊をその身に
MKID_STRM_BTL_E3: 荊をその身に～轟
MKID_STRM_MAP_ET: 謐かに燃える闘志
MKID_STRM_BTL_ET: 謐かに燃える闘志～轟
MKID_STRM_MAP_F1: いつかきた旅路
MKID_STRM_BTL_F1: いつかきた旅路～轟
MKID_STRM_MAP_F2: 遠征
MKID_STRM_BTL_F2: 遠征～炎
MKID_STRM_BOSS_A1: 白日に猛る叛徒
MKID_STRM_BOSS_A2: 白き憐みの手に
MKID_STRM_BOSS_A3: 汝、光の同胞よ
MKID_STRM_BOSS_B1: 常闇に蠢く叛徒
MKID_STRM_BOSS_B2: 黒き断罪の手に
MKID_STRM_BOSS_B3: 汝、闇の同胞よ
MKID_STRM_BOSS_B4: 狂王の晩餐
MKID_STRM_BOSS_C1: 傀儡の宴
MKID_STRM_BOSS_C2: 血の宿運
MKID_STRM_BOSS_C3: 異形者の饗宴
MKID_STRM_BOSS_E1: 荒ぶる兇徒
MKID_STRM_CRISIS_E1: 逃れ得ぬ悪夢
MKID_STRM_MAPEX_A1: すべての路の果てに～天
MKID_STRM_MAPEX_B1: すべての路の果てに～地
MKID_STRM_MAPEX_C1: すべての路の果てに～煉
MKID_STRM_EVT_AMB_A1: 望郷・光
MKID_STRM_EVT_AMB_A2: 楽園・光
MKID_STRM_EVT_AMB_B1: 望郷・闇
MKID_STRM_EVT_AMB_B2: 楽園・闇
MKID_STRM_EVT_AMB_C1: 忘却の聖櫃
MKID_STRM_EVT_AMB_C2: 虚ろの揺籃
MKID_STRM_EVT_DISHEARTEN_E1: すべての星は堕ちて
MKID_STRM_EVT_STRAIN_E1: 諍いへの序章
MKID_STRM_EVT_STRAIN_E2: 災厄への序曲
MKID_STRM_EVT_PARTY_A1: 白光の賓客
MKID_STRM_EVT_PARTY_B1: 冥闇の賓客
MKID_STRM_EVT_BRAVE_A1: 蒼白き明星
MKID_STRM_EVT_BRAVE_A2: 空に白雲たなびきて
MKID_STRM_EVT_BRAVE_B1: 仄黒き月影
MKID_STRM_EVT_BRAVE_B2: 空に黒風吹き遊びて
MKID_STRM_EVT_SERIOUS_A1: 明仄に希う
MKID_STRM_EVT_SERIOUS_B1: 闇夜の祈り
MKID_STRM_EVT_SERIOUS_E1: 憧憬の曠野へ
MKID_STRM_EVT_DAILY_A1: 暁光に煌く
MKID_STRM_EVT_DAILY_B1: 宵闇に踊る
MKID_STRM_EVT_DAILY_E1: あなたへ続く道
MKID_STRM_EVT_DAILY_E2: 見知らぬ街角
MKID_STRM_EVT_DAILY_E3: 窓辺には木漏れ日を
MKID_STRM_EVT_RESOLVE_E1: 運命よ、我れに福音を
MKID_STRM_EVT_UNEASY_E1: どういうこと？
MKID_STRM_EVT_EMERGENCY_E1: 迫りくる渾沌
MKID_STRM_EVT_WISEMAN_C1: 真実を告げる者
MKID_STRM_EVT_EVIL_C1: その来たるべき終焉を
MKID_STRM_EVT_GARON_B1: 深黒の支配者
MKID_STRM_EVT_UNCANNY_E1: 仄冥き深淵より
MKID_STRM_EVT_UNCANNY_C1: 邪悪の正体
MKID_STRM_EVT_ENEMY_E1: 跋扈する影
