MESS_ARCHIVE_MainMenu


Message Name: Message


MID_メインメニュー_中断から: 中断から始める
MID_メインメニュー_中断から_説明: ゲームを中断したところから\n再開します
MID_メインメニュー_続きから: 続きから始める
MID_メインメニュー_続きから_説明: ゲームを続きから\n開始します
MID_メインメニュー_最初から: 最初から始める
MID_メインメニュー_最初から_説明: ゲームを新たに\n開始します
MID_メインメニュー_複製: データコピー
MID_メインメニュー_複製_説明: セーブデータのコピーを\n行います
MID_メインメニュー_削除: データ消去
MID_メインメニュー_削除_説明: セーブデータの消去を\n行います
MID_メインメニュー_記録: 記録する
MID_メインメニュー_エクストラ: エクストラ
MID_メインメニュー_エクストラ_説明: その他の設定を\n行います
MID_メインメニュー_サウンドテスト: サウンドテスト
MID_メインメニュー_サウンドテスト_説明: サウンドを\n聞くことができます
MID_メインメニュー_ムービー回想: ムービー回想
MID_メインメニュー_ムービー回想_説明: ムービーを\n見ることができます
MID_メインメニュー_DLC: 追加コンテンツ
MID_メインメニュー_DLC_説明: 追加コンテンツの\n管理を行います
MID_メインメニュー_いつの間に通信設定: いつの間に通信
MID_メインメニュー_いつの間に通信設定_説明: いつの間に通信の\nオン/オフを行います
MID_メインメニュー_言語設定: 言語設定
MID_メインメニュー_言語設定_説明: 使用する言語を\n選択します
MID_メインメニュー_字幕表示: 字幕表示
MID_メインメニュー_字幕表示_説明: 字幕表示の\nオン/オフを行います
MID_メインメニュー_全データ削除: 全データ消去
MID_メインメニュー_全データ削除_説明: 全てのデータの消去を\n行います
MID_メインメニュー_ノーマル_説明: 初心者、中級者の方に
MID_メインメニュー_ハード_説明: 上級者の方に
MID_メインメニュー_ルナティック_説明: 最難関を求める方に
MID_メインメニュー_カジュアル_説明: 失った仲間は戦闘終了時\nに復活、お手軽なモード
MID_メインメニュー_クラシック_説明: 失った仲間は戻らない、\nじっくり考えるモード
MID_メインメニュー_全データ削除_確認: 全てのデータが消えますが\nよろしいですか？
MID_メインメニュー_全データ削除_再確認: 本当に\n全てのデータが消えますが\nよろしいですか？
MID_メインメニュー_全データ削除_終了: 全てのデータを消去しました
MID_メインメニュー_言語設定_日本語: 日本語
MID_メインメニュー_言語設定_繁体字: 中国語(繁体字)
MID_メインメニュー_言語設定_簡体字: 中国語(簡体字)
MID_メインメニュー_言語設定_英語: 英語
MID_メインメニュー_言語設定_スペイン語: スペイン語
MID_メインメニュー_言語設定_フランス語: フランス語
MID_メインメニュー_言語設定_イタリア語: イタリア語
MID_メインメニュー_言語設定_ドイツ語: ドイツ語
MID_メインメニュー_言語設定_オランダ語: オランダ語
MID_メインメニュー_言語設定_下帯説明: 設定する言語を選択してください
MID_メインメニュー_言語設定_確認: 言語設定時にタイトルに戻りますが\nよろしいですか？
MID_メインメニュー_字幕表示_オン_確認: 字幕表示がオフになっています。\n字幕表示をオンにしますか？
MID_メインメニュー_字幕表示_オフ_確認: 字幕表示がオンになっています。\n字幕表示をオフにしますか？
MID_ファイルメニュー_データ無し: No Data
MID_ファイルメニュー_データ破損: データが壊れています
MID_ファイルメニュー_ターン: ターン数
MID_ファイルメニュー_記録確認: データをセーブしますか？
MID_ファイルメニュー_複製確認: データをコピーしますか？
MID_ファイルメニュー_削除確認: 本当にデータを消去してもいいですか？
MID_ファイルメニュー_中断削除確認: 中断データが消えますが\nよろしいですか？
MID_ファイルメニュー_記録無し確認_次へ: データをセーブせずに\n次へ進みますか？
MID_ファイルメニュー_記録無し確認_メインメニューへ: データをセーブせずに\nメインメニューに戻りますか？
MID_ファイルメニュー_記録無し確認_ゲームクリア: タイトル画面に戻るため\n以降、ゲームクリアのデータをセーブできません。\nセーブせずに終了しますか？
