MESS_ARCHIVE_Profile


Message Name: Message


MID_PROFILE_名前: 名前
MID_PROFILE_性別: 性別
MID_PROFILE_出身地: 出身地
MID_PROFILE_等級: 等級
MID_PROFILE_勲章: 勲章
MID_PROFILE_名声値: 名声値
MID_PROFILE_モード: モード
MID_PROFILE_難易度: 難易度
MID_PROFILE_メイン_説明_編集: 編集
MID_PROFILE_メイン_説明_登録: 登録・更新
MID_PROFILE_性別_説明: 性別をえらんでください
MID_PROFILE_出身地_説明: 出身地をえらんでください
MID_PROFILE_フェイス_説明: サムネイルをえらんでください
MID_PROFILE_新規_キャンセル確認: プロフィールカードを\n登録しないと先へ進めません。\n登録を中断しますか？
MID_PROFILE_編集_キャンセル確認: 内容が変更されています。\n更新せずに終了しますか？
MID_PROFILE_新規_登録確認: プロフィールカードの登録を行い、\n先に進みますか？
MID_PROFILE_編集_登録確認: プロフィールカードを更新し\n編集を終了しますか？
MID_PROFILE_新規_名前が空: 名前を入力してください。
MID_PROFILE_勲章リスト_タイトル: 勲章
MID_PROFILE_性別_男性: 男
MID_PROFILE_性別_女性: 女
MID_PROFILE_性別_その他: その他
MID_PROFILE_出身地_設定なし: 
MID_PROFILE_出身地_アルバニア: アルバニア
MID_PROFILE_出身地_アンドラ: アンドラ
MID_PROFILE_出身地_アンギラ: アンギラ
MID_PROFILE_出身地_アンティグア・バーブーダ: アンティグア・バーブーダ
MID_PROFILE_出身地_アルゼンチン: アルゼンチン
MID_PROFILE_出身地_アルバ: アルバ
MID_PROFILE_出身地_オーストラリア: オーストラリア
MID_PROFILE_出身地_オーストリア: オーストリア
MID_PROFILE_出身地_アゼルバイジャン: アゼルバイジャン
MID_PROFILE_出身地_バハマ: バハマ
MID_PROFILE_出身地_バーレーン: バーレーン
MID_PROFILE_出身地_バルバドス: バルバドス
MID_PROFILE_出身地_ベルギー: ベルギー
MID_PROFILE_出身地_ベリーズ: ベリーズ
MID_PROFILE_出身地_バミューダ: バミューダ
MID_PROFILE_出身地_ボリビア: ボリビア
MID_PROFILE_出身地_ボスニア・ヘルツェゴビナ: ボスニア・ヘルツェゴビナ
MID_PROFILE_出身地_ボツワナ: ボツワナ
MID_PROFILE_出身地_ブラジル: ブラジル
MID_PROFILE_出身地_英領ヴァージン諸島: 英領ヴァージン諸島
MID_PROFILE_出身地_ブルガリア: ブルガリア
MID_PROFILE_出身地_カナダ: カナダ
MID_PROFILE_出身地_ケイマン諸島: ケイマン諸島
MID_PROFILE_出身地_チャド: チャド
MID_PROFILE_出身地_チリ: チリ
MID_PROFILE_出身地_中国: 中国
MID_PROFILE_出身地_コロンビア: コロンビア
MID_PROFILE_出身地_コスタリカ: コスタリカ
MID_PROFILE_出身地_クロアチア: クロアチア
MID_PROFILE_出身地_キプロス: キプロス
MID_PROFILE_出身地_チェコ: チェコ
MID_PROFILE_出身地_デンマーク: デンマーク
MID_PROFILE_出身地_ジブチ: ジブチ
MID_PROFILE_出身地_ドミニカ国: ドミニカ国
MID_PROFILE_出身地_ドミニカ共和国: ドミニカ共和国
MID_PROFILE_出身地_エクアドル: エクアドル
MID_PROFILE_出身地_エジプト: エジプト
MID_PROFILE_出身地_エリトリア: エリトリア
MID_PROFILE_出身地_エストニア: エストニア
MID_PROFILE_出身地_フィンランド: フィンランド
MID_PROFILE_出身地_フランス: フランス
MID_PROFILE_出身地_フランス領ギアナ: フランス領ギアナ
MID_PROFILE_出身地_ドイツ: ドイツ
MID_PROFILE_出身地_ジブラルタル: ジブラルタル
MID_PROFILE_出身地_ギリシャ: ギリシャ
MID_PROFILE_出身地_グレナダ: グレナダ
MID_PROFILE_出身地_グアドループ: グアドループ
MID_PROFILE_出身地_グアテマラ: グアテマラ
MID_PROFILE_出身地_ガーンジー: ガーンジー
MID_PROFILE_出身地_ガイアナ: ガイアナ
MID_PROFILE_出身地_ハイチ: ハイチ
MID_PROFILE_出身地_ホンジュラス: ホンジュラス
MID_PROFILE_出身地_ホンコン: ホンコン
MID_PROFILE_出身地_ハンガリー: ハンガリー
MID_PROFILE_出身地_アイスランド: アイスランド
MID_PROFILE_出身地_インド: インド
MID_PROFILE_出身地_インドネシア: インドネシア
MID_PROFILE_出身地_アイルランド: アイルランド
MID_PROFILE_出身地_マン島: マン島
MID_PROFILE_出身地_イタリア: イタリア
MID_PROFILE_出身地_ジャマイカ: ジャマイカ
MID_PROFILE_出身地_日本: 日本
MID_PROFILE_出身地_ジャージー: ジャージー
MID_PROFILE_出身地_ヨルダン: ヨルダン
MID_PROFILE_出身地_クウェート: クウェート
MID_PROFILE_出身地_ラトビア: ラトビア
MID_PROFILE_出身地_レソト: レソト
MID_PROFILE_出身地_リヒテンシュタイン: リヒテンシュタイン
MID_PROFILE_出身地_リトアニア: リトアニア
MID_PROFILE_出身地_ルクセンブルク: ルクセンブルク
MID_PROFILE_出身地_マカオ: マカオ
MID_PROFILE_出身地_マケドニア: マケドニア
MID_PROFILE_出身地_マレーシア: マレーシア
MID_PROFILE_出身地_マリ: マリ
MID_PROFILE_出身地_マルタ: マルタ
MID_PROFILE_出身地_マルティニーク: マルティニーク
MID_PROFILE_出身地_モーリタニア: モーリタニア
MID_PROFILE_出身地_メキシコ: メキシコ
