MESS_ARCHIVE_SoundRoom


Message Name: Message


MID_BGM_BTL_A1: 恐れを知らぬ白刃の
MID_BGM_BTL_A2: 神に抗う者よ
MID_BGM_BTL_BERKUT1: 高慢と誇りと
MID_BGM_BTL_BERKUT2: 王の子は煉獄に踊る
MID_BGM_BTL_BOSS1: 鬩ぎ合う力
MID_BGM_BTL_BOSS2: 怨望の地より
MID_BGM_BTL_BOSS3: 背徳の騎士
MID_BGM_BTL_C1: 風に舞う刃
MID_BGM_BTL_DOMA: 邪神狂瀾
MID_BGM_BTL_E1: 悦楽の暴徒
MID_BGM_BTL_LIVE: 癒しの響き
MID_BGM_EVT_AMB: 静穏
MID_BGM_EVT_AMB2: 境界
MID_BGM_EVT_BERKUT: 純黒の皇子
MID_BGM_EVT_BRAVE: 進軍
MID_BGM_EVT_CONRAD_A: 面影
MID_BGM_EVT_CONRAD_B: 兄妹
MID_BGM_EVT_DAILY: 日常
MID_BGM_EVT_DESTINY_A: 運命
MID_BGM_EVT_DETERMINATION: 黎明
MID_BGM_EVT_DISHEARTENED: 別離
MID_BGM_EVT_EMERGENCY: 緊迫
MID_BGM_EVT_ENEMY2: 咒詛
MID_BGM_EVT_FEAR: 不穏
MID_BGM_EVT_KINDNESS: 春陽
MID_BGM_EVT_LOVE_ABC: 遠い約束
MID_BGM_EVT_MEET: 出逢い
MID_BGM_EVT_MIRA: 黙示ありて
MID_BGM_EVT_NUIBABA: 退廃の花
MID_BGM_EVT_SAD: 銀の庭であなたと
MID_BGM_EVT_SCHEME: 奸計
MID_BGM_EVT_SERIOUS: 冥暗
MID_BGM_EVT_STRAIN1: 叛徒
MID_BGM_EVT_STRAIN2: 逆賊
MID_BGM_EVT_TROOPS: 決起
MID_BGM_MAP_B_A1: 解放への勇進～序
MID_BGM_MAP_B_A2: 解放への勇進
MID_BGM_MAP_B_A3: 往く地の果てには
MID_BGM_MAP_B_A4: 神よ、その黄昏よ
MID_BGM_MAP_B_A4_INTRO: 力の妄執
MID_BGM_MAP_B_BERKUT: 讃えよ、この絶望を
MID_BGM_MAP_B_C1: ミラの加護とともに～序
MID_BGM_MAP_B_C2: ミラの加護とともに
MID_BGM_MAP_B_C3: 贄と聖女
MID_BGM_MAP_B_E1: 悪逆の気配
MID_BGM_MAP_B_E2: 不穏の足音
MID_BGM_MAP_B_E3: 狂いし神の祝福を
MID_BGM_MAP_B_E4: 悪逆の気配～序
MID_BGM_MAP_B_E5: 不穏の足音～序
MID_BGM_MAP_B_RUDLF: 亡国の王者
MID_BGM_MAP_B_T1: 朋輩の勇戦
MID_BGM_MAP_B_T2: 迫りくる脅威
MID_BGM_MAP_D_CASTLE: 誇りを胸に
MID_BGM_MAP_D_CAVE: 暗流
MID_BGM_MAP_D_CHURCH: 安らぎの賛歌
MID_BGM_EVT_DESTINY_B: ひとつの星の傍らに
MID_BGM_MAP_D_DOMA: ドーマの禍響
MID_BGM_MAP_D_EMERGENCY: 躍り來る災厄
MID_BGM_MAP_D_HARD: 微睡みの迷宮
MID_BGM_MAP_D_PORT: 潮風と旅人
MID_BGM_MAP_D_SHOP: 鎚音の行方
MID_BGM_MAP_D_SPIRIT: 水の旋律
MID_BGM_MAP_D_TOWER: 妄信の頂
MID_BGM_MAP_D_FOREST: 彷徨の森
MID_BGM_MAP_G1: 風戦ぐ大地
MID_BGM_MAP_G2: 暁の方舟
MID_BGM_MAP_G3: まだ見ぬ地平へ
MID_BGM_MAP_G4: 在りし日の唄
MID_BGM_MAP_G5: 真実
MID_BGM_SYS_BASE_A1: 戦備　解
MID_BGM_SYS_BASE_A2: 戦備　邂逅
MID_BGM_SYS_BASE_C1: 戦備　祈
MID_BGM_SYS_CC: 御心のままに
MID_BGM_SYS_DEAD: 祈り砕けて
MID_BGM_SYS_ED1: 神と人の軌跡
MID_BGM_SYS_ED2: あなたを呼ぶ声
MID_BGM_SYS_ED3: アルカディアの継ぎびと
MID_BGM_SYS_MENU: 回想
MID_BGM_SYS_GAMEOVER_A: 残光
MID_BGM_SYS_GAMEOVER_B: 残光は消えゆき
MID_BGM_SYS_MAINTHEME: ファイアーエムブレムのテーマ
MID_BGM_SYS_RESULT: 戦果
MID_BGM_SYS_TITLE: Echoes
