MESS_ARCHIVE_Fld_拠点_ギースの砦_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waずいぶん古い砦だな……$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa海辺にあるということは\n海賊の襲撃に備えて造られたのかな。$k
MID_ADV調べる_clash_parts_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa壁が傷んで崩れてきている。$k
MID_ADV調べる_clash_wall_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa壁が傷んで崩れてきている。$k
MID_ADV調べる_waterjug_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa水瓶だ。\nどこから水を汲んでくるんだろう。$k
MID_ADV調べる_weapon_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここの持ち主が使っていた武器かな。\n乱雑に捨て置かれている。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa古い砦だわ。\n記録では二百年前に建てられたそうよ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa砂漠は寒暖差が大きいから\n建物の傷みが激しいのかしら。$k
MID_ADV調べる_clash_parts_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa壁が傷んで崩れてきているわ。$k
MID_ADV調べる_clash_wall_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa壁が傷んで崩れてきているわ。$k
MID_ADV調べる_waterjug_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa水瓶だわ。\n砂漠では水の確保がなによりも大事よね。$k
MID_ADV調べる_weapon_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa床に乱雑に武器が散らばっているわ。$k
MID_ADV_調べるエリア_clash_parts: 崩れた壁
MID_ADV_調べるエリア_clash_wall: 崩れた壁
MID_ADV_調べるエリア_waterjug: 水瓶
MID_ADV_調べるエリア_weapon: 武器
