MESS_ARCHIVE_Fld_拠点_ソフィア城_謁見の間


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここは王さまの謁見の間だ。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waこの城でいちばん\n豪華な場所なんだろうな。$k
MID_ADV調べる_kingchair_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa玉座だ。\n勝手に触ったら怒られそうだな……$k
MID_ADV調べる_wallA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waバレンシアの歴史を描いたレリーフだ。$k
MID_ADV調べる_wallA_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa子供のころ、セリカといっしょに\n絵本でみたことがある。$k
MID_ADV調べる_wallB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waバレンシアの歴史を描いた\nレリーフだ。$k
MID_ADV調べる_wallB_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa子供のころ、セリカといっしょに\n絵本でみたことがある。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa謁見の間ね。\n王が政務を行う場所だわ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E悲,|……ここには\nあまりいい思い出がないわ。$k
MID_ADV調べる_kingchair_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa贅をつくした豪華な玉座だわ。$k
MID_ADV調べる_wallA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waミラさまとドーマの戦いの様子を描いた\nレリーフね。$k
MID_ADV調べる_wallA_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Waもととなった絵は\nミラ神殿にあると聞いたわ。$k
MID_ADV調べる_wallB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waミラさまとドーマの戦いの様子を描いた\nレリーフね。$k
MID_ADV調べる_wallB_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Waもととなった絵は\nミラ神殿にあると聞いたわ。$k
MID_ADV_調べるエリア_kingchair: 玉座
MID_ADV_調べるエリア_wallA: 壁のレリーフ
MID_ADV_調べるエリア_wallB: 壁のレリーフ
