MESS_ARCHIVE_Skill


Message Name: Message


MSID_無し: －－－－－－
MSID_命中補正１: 曲射
MSID_威力補正１: 剛撃
MSID_回避補正１: 一撃離脱
MSID_手加減: 手加減
MSID_体当たり: 体当たり
MSID_入れ替え: 入れ替え
MSID_命中補正２: クロスワイズ
MSID_威力補正２: 強弓
MSID_回避補正２: 清流剣
MSID_必殺補正１: 両断
MSID_魔法攻撃: 魔刃
MSID_とどめHP吸収: 生命吸収
MSID_切り込み: 切り込み
MSID_切り抜け: 切り抜け
MSID_後手必殺: 獅子王の構え
MSID_射程＋１: 遠雷
MSID_特効馬: 葬騎の一撃
MSID_特効鎧: 鎧砕き
MSID_特効鎧２: 殺撃破甲衝
MSID_特効魔: 聖天弓
MSID_特効飛: 燕返し
MSID_瀕死確殺: デストレッツァ
MSID_足止め: 囲いの矢
MSID_魔封じ: 封魔の矢
MSID_HP吸収: 豊穣の力
MSID_２連撃: 獅子連斬
MSID_HP減少分ダメ: ヴェンデッタ
MSID_速さダメージ: 龍霞
MSID_技ダメージ: 虎神五行剣
MSID_射程＋２: アルクバリスタ
MSID_射程＋３: 忘我・無底弓
MSID_地形無視: 影詰め
MSID_５連撃: 流星刃
MSID_必殺補正２: リーデルスレイ
MSID_威力補正３: 太陽衝
MSID_必中: 月光閃
MSID_G防御補正１: 防御態勢
MSID_G地形効果二倍: 珊瑚隠れ
MSID_G物理間接半減: 聖盾
MSID_G魔法反射: 魔鏡返し
MSID_G物理半減: 大盾
MSID_G魔法半減: 大地の加護
MSID_鉄剣２: 風薙ぎ
MSID_雷剣２: 雷迅
MSID_金剣２: 大地の恵み
MSID_女剣２: フランベルジュ
MSID_鉄槍２: ロングアーチ
MSID_鋼槍２: 旋風槍
MSID_銀槍１: 霧駆け
MSID_銀槍２: チャリオット
MSID_殺弓: ハンターボレー
MSID_滅殺: 滅殺
MSID_アルム奥義: 覇神断竜剣
MSID_セリカ奥義: 真ライナロック
MSID_トライアングル: Tアタック
MSID_主人公: 主人公
MSID_リゲル王家: リゲル王家
MSID_ソフィア王家: ソフィア王家
MSID_隣接回復: 癒しの光
MSID_自動回復: 回復効果
MSID_自動回復大: 自己再生
MSID_自動回復祈祷師: 肉体召喚
MSID_吸収: 吸収
MSID_一撃死無効: 見切り
MSID_神殺し: 神殺し
MSID_地形効果無効: 地形効果無効
MSID_呪い: 呪い
MSID_呪い無効: 呪印
MSID_魔法武器: 魔法武器
MSID_威力固定: 固定威力
MSID_瀕死攻撃: 瀕死攻撃
MSID_魔法回避: 魔法回避
MSID_良成長: 良成長
MSID_きまぐれ成長: 再構築
MSID_魔法射程＋１: 意念
MSID_魔法射程＋２: 魔道
MSID_魔防＋: 魔防＋５
MSID_魔法命中＋１０: 練磨
MSID_魔法威力＋５: 魔法威力＋５
MSID_必殺全回避: 必殺全回避
MSID_対魔物増強: 退魔
MSID_怨声: 怨声
MSID_命中回避＋２０: 力の業火
MSID_剣ダメージ半減: 剣ダメージ半減
MSID_槍ダメージ半減: 槍ダメージ半減
MSID_斧ダメージ半減: 斧ダメージ半減
MSID_弓ダメージ半減: 重装
MSID_魔法ダメージ半減: 破邪
MSID_対魔ダメージ半減: 聖域
MSID_弓ダメージ半減_兵種: 重装
MSID_魔法ダメージ半減_兵種: 破邪
MSID_弓魔ダメージ半減_道具: 妄執
MSID_消耗必殺: 怒り
MSID_巨大: 巨大
MSID_ダウンロード: ダウンロード
MSID_交換禁止: 交換禁止
MSID_敗北条件: 敗北条件
MSID_強制キリバト: 強制キリバト
MSID_強制オンバト: 強制オンバト
MSID_キリバト禁止: キリバト禁止
MSID_魔女ワープ: 転移
MSID_召喚数乱数のみ: 召喚数乱数のみ
MSID_召喚確率高: 召喚確率高
MSID_召喚必ず: 召喚必ず
MSID_ディル無効: ディル無効
MSID_召喚AI: 召喚AI
MSID_召喚独立: 召喚独立
MSID_ビグル道連れ: ビグル道連れ
MSID_分裂: 分裂
MSID_ダメージ床無効: ダメージ床無効
MSID_生存ロスト: 生存ロスト
MSID_祈り: 祈り
MSID_攻撃時2回攻撃: 攻撃時2回攻撃
MSID_特殊演出: 特殊演出
MSID_準特殊演出: 準特殊演出
MSID_魔力射程: 魔力射程
MSID_半魔力射程: 半魔力射程
MSID_四半魔力射程: 四半魔力射程
MSID_弓射程＋１: 弓射程＋１
MSID_弓射程＋２: 弓射程＋２
MSID_被毒: 状態：毒
MSID_被毒２: 状態：毒
MSID_被毒３: 状態：毒
MSID_被足止め: 状態：移動封じ
MSID_被足止め始: 状態：移動封じ
MSID_被魔封じ: 状態：魔法封じ
MSID_被魔封じ始: 状態：魔法封じ
MSID_毒パッシブ: 毒撃
MSID_足止めパッシブ: 麻痺毒
MSID_魔封じパッシブ: 奇声
MSID_ドーマの加護: ドーマの加護
MSID_メガクェイク: メガクェイク
MSID_ダークスパイク: ダークスパイク
MSID_邪竜の鱗: 邪竜の鱗
MSID_赤の呪い: 赤の呪い
MSID_防御無効: 防御無効
MSID_アルム攻撃禁止: アルム攻撃禁止
MSID_状態異常無効: 状態異常無効
MSID_騎馬: 騎馬
MSID_飛行: 飛行
MSID_鎧: 鎧兵
MSID_魔物: 魔物
MSID_上級魔物: 上級魔物
MSID_竜族: 竜族
MSID_神: 神
MSID_神_ギムレー: 神
MSID_騎馬特効: 騎馬特効
MSID_飛行特効: 飛行特効
MSID_鎧特効: 鎧兵特効
MSID_魔物特効: 魔物特効
MSID_女武器威力２倍: 女武器威力２倍
MSID_魔法ＨＰ消費無し: 契約
MSID_ダメージ床無効_公開: 浄化
MSID_amiibo召喚: amiibo召喚
MSID_H_無し: なし
MSID_H_命中補正１: 相手の死角に矢を放つ\n命中率が高い
MSID_H_威力補正１: 力を込めた一撃
MSID_H_回避補正１: 回避に重きを置く攻撃
MSID_H_手加減: 相手のＨＰを１残す
MSID_H_体当たり: 味方ユニットを\n１マス分押し出す
MSID_H_入れ替え: 味方ユニットと\n場所を入れ替える
MSID_H_命中補正２: 交差斬り\n命中率が高い
MSID_H_威力補正２: 威力を高めた矢
MSID_H_回避補正２: 回避を兼ねる一閃
MSID_H_必殺補正１: 大振りな一撃
MSID_H_魔法攻撃: 魔力を込めた攻撃
MSID_H_とどめHP吸収: 相手を撃破した場合\nそのＨＰを吸収する
MSID_H_切り込み: 戦闘終了後\n相手と場所を入れ替える
MSID_H_切り抜け: 戦闘終了後\n相手の１マス先に移動する
MSID_H_後手必殺: 強力な一撃\n必ず後手になる
MSID_H_射程＋１: 剣を掲げ\n遠くの敵を攻撃する
MSID_H_特効馬: 【騎馬】を持つ相手に対し\n特効を得る
MSID_H_特効鎧: 【鎧兵】を持つ相手に対し\n特効を得る
MSID_H_特効鎧２: 【鎧兵】を持つ相手に対し\n特効を得る
MSID_H_特効魔: 【魔物】系を持つ相手に対し\n特効を得る
MSID_H_特効飛: 【飛行】を持つ相手に対し\n特効を得る
MSID_H_瀕死確殺: 相手を撃破できる場合\n必ず命中する
MSID_H_足止め: 命中した場合　１ターン\n相手の移動を封じる
MSID_H_魔封じ: 命中した場合　１ターン\n相手の魔法を封じる
MSID_H_HP吸収: 与えたダメージ分\nＨＰを回復する
MSID_H_２連撃: 二連撃を放つ
MSID_H_HP減少分ダメ: 受けているダメージの半分を\n攻撃力に付与する
MSID_H_速さダメージ: 使用者の速さを\n攻撃力に上乗せする
MSID_H_技ダメージ: 使用者の技を\n攻撃力に上乗せする
MSID_H_射程＋２: 遠く離れた相手を攻撃する
MSID_H_射程＋３: 遥か遠くの相手を攻撃する
MSID_H_地形無視: 地形を無視して攻撃する
MSID_H_５連撃: ダメージ半分の攻撃を\n五連続で行う
MSID_H_必殺補正２: 相手の防御力を\n半分無効化する
MSID_H_威力補正３: 大きな威力の一撃を放つ
MSID_H_必中: 必ず命中する
