MESS_ARCHIVE_Fld_拠点_ドゼーの砦_作戦室


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここは作戦室かな。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa高価そうな調度品ばかりだ。\nドゼーの趣味なんだろう。$k
MID_ADV調べる_picture_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waソフィア城を描いた絵だ。$k
MID_ADV調べる_bookshelfA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa難しそうな本がたくさん並んでいる。$k
MID_ADV調べる_bookshelfB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa政治、魔道、物語……\nいろいろあるな。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waここは作戦室かしら。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa高そうな調度品が多いわ。\n裕福な人の持ち物だったのね。$k
MID_ADV調べる_picture_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waこれはソフィア城かしら？\n価値のありそうな絵画だわ。$k
MID_ADV調べる_bookshelfA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa大きな本棚ね。\nいろいろな本が並んでいるわ。$k
MID_ADV調べる_bookshelfB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa政治や魔道や、物語まであるわ。\n読書家なのかしら。$k
MID_ADV_調べるエリア_picture: 絵画
MID_ADV_調べるエリア_bookshelfA: 本棚
MID_ADV_調べるエリア_bookshelfB: 本棚
