MESS_ARCHIVE_Adventure


Message Name: Message


MID_ADV_アドベンチャー外へ出る: 外へ出ますか？
MID_ADV_上の階へ: 上の階へ行きますか？
MID_ADV_下の階へ: 下の階へ行きますか？
MID_ADV_ダンジョンへ入る: ダンジョンに入りますか？
MID_ADV_移動する: 移動しますか？
MID_ADV_会話できない: 話し相手がいません。
MID_ADV_会話キャラクター名未指定: キャラクタ名を指定してください。
MID_ADV_持ち物いっぱい: 持ち物がいっぱいなので\nアイテムを入手できませんでした。
MID_ADV_コイン_取得: $a$a0を$a1枚手に入れた！
MID_ADV_コイン_消費: $a$a0を$a1枚渡した。
MID_ADV_旅の商人_到着_アルム: アルム軍の道具袋に\nアイテムを届けました。
MID_ADV_旅の商人_到着_セリカ: セリカ軍の道具袋に\nアイテムを届けました。
MID_ADV_調べる_ズーム: ズーム
MID_ADV_調べる_移動: 見渡す
MID_adv_key: 牢獄の鍵
MID_irondoor: 牢の扉
MID_ADV_コマンド名_会話: 会話
MID_ADV_コマンド名_調べる: 調べる
MID_ADV_コマンド名_移動: 移動
MID_ADV_コマンド名_ミラ: ミラ
MID_ADV_コマンド名_神像: 神像
MID_ADV_コマンド名_メニュー: メニュー
MID_お供え_確認: $aミラ神像に$a0を捧げますか？
MID_お供え_光: 辺りをやさしい光が包む…
MID_お供え_疲労回復: 全員の疲労が回復した！
MID_お供え_疲労回復_歯車: 全員の疲労と\nミラの歯車が回復した！
MID_EV_ミラのしもべ1: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|$SvpV_MIRA_COMMON_EV_SERVANT1_00|よく来ましたね運命の子……\nわれはミラのしもべ。$k$p$SvpV_MIRA_COMMON_EV_SERVANT1_01|わが主、ミラの命により$k$p$SvpV_MIRA_COMMON_EV_SERVANT1_02|資格あるものに\nふさわしい力を授けましょう……$k
MID_お告げ_デフォルト: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|あなたたちに、ミラの導きがあらんことを$k
MID_お告げ_盗賊のほこら_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|仲間にアーチャーや魔道士がいなければ\nこの先の戦いは厳しいものになるでしょう$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_盗賊のほこら_1: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|資格を得た村人は、クラスチェンジによって\nさまざまな兵種になることが出来ます$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_解放軍のアジト_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|どうしても勝てない局面では\n退却することも視野にいれるのです$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_修道院_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|魔法を使うためには、みずからの\n生命力を必要とします$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_海のほこら内部_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|行き止まりのように見えても、\n道があることがあります$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_森のほこら_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|心を奪われ操られしものは、\n奪いしものを倒せば解放されるでしょう$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_竜のほこら_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|あなたの道は苦難に続いています$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_恐山のほこら_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|生者の門は、欲深きものの道…\n生命が惜しくなければ征きなさい$k$pあなたたちに、ミラの導きがあらんことを$k
MID_お告げ_迷いの森_0: $t1$Wmミラ|5$VF隠|$w0|$Wsミラ|$Wa$VNMPID_ミラのしもべ|あなたの求めるものは\n北東の方角にあるでしょう$k$pあなたたちに、ミラの導きがあらんことを$k
