MESS_ARCHIVE_Fld_拠点_ソフィア城_宝物庫


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここは宝物庫かな。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa荒らされている……\nドゼーたちの仕業かな。$k
MID_ADV調べる_treasure_boxA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa宝箱の中身は空っぽだ。$k
MID_ADV調べる_treasure_boxB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa中身は持ち去られてしまっている。$k
MID_ADV調べる_baggageA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa役にたちそうなものは特にないな。$k
MID_ADV調べる_baggageB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa雑然と荷物が積み上げられている。$k
MID_ADV調べる_sun_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa夕日がまぶしいな。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waここは宝物庫だわ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|子供のころはよくここで隠れて\n遊んだわ。$k
MID_ADV調べる_treasure_boxA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa宝箱は空っぽね。$k
MID_ADV調べる_treasure_boxB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waたしかソフィア王家に伝わる剣が\nあったはずだけれど……$k
MID_ADV調べる_baggageA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa雑然としているわね。\n昔はもっと片付いていたのだけれど……$k
MID_ADV調べる_baggageB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa役に立ちそうなものはないわね。$k
MID_ADV調べる_sun_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E笑,|夕日が綺麗だわ……$k
MID_ADV_調べるエリア_treasure_boxA: 宝箱
MID_ADV_調べるエリア_treasure_boxB: 宝箱
MID_ADV_調べるエリア_baggageA: 荷物
MID_ADV_調べるエリア_baggageB: 荷物
MID_ADV_調べるエリア_sun: 夕日
