MESS_ARCHIVE_Poem


Message Name: Message


MID_盗賊のほこら_アルム_00: 洞窟のなかに充満するものは
MID_盗賊のほこら_アルム_01: うごめく人の気配と、かびの匂いだ。
MID_盗賊のほこら_アルム_02: 女神を祀るために造られたこの場所も
MID_盗賊のほこら_アルム_03: 今ではすっかり盗賊たちの
MID_盗賊のほこら_アルム_04: 居心地の良いねぐらになってしまっているようだ。
MID_解放軍のアジト_アルム_00: 地下に広がる巨大な墓地。
MID_解放軍のアジト_アルム_01: 身分ある人々の眠る由緒正しき場所だ。
MID_解放軍のアジト_アルム_02: しかしいまは魔物となって蘇った
MID_解放軍のアジト_アルム_03: 死者の腐臭に満ちている。
MID_海のほこら_セリカ_00: 潮の香りに満ちた、冷たく湿っぽい洞窟……
MID_海のほこら_セリカ_01: ドラゴンゾンビに守られていたせいで、
MID_海のほこら_セリカ_02: 人が立ち入ることはないみたいね。
MID_森のほこら_アルム_00: はるか遠い時代に造られた巨大な遺跡。
MID_森のほこら_アルム_01: ほこりっぽい空気にまぎれて鼻をつくのは
MID_森のほこら_アルム_02: ボロボロに錆びた鉄のにおいだけじゃない。
MID_森のほこら_アルム_03: 数百年の歴史がもたらす重苦しさだ。
MID_森のほこら_アルム_04: こんな場所ですら、悪しき企みのために、
MID_森のほこら_アルム_05: 出入りしている人間の痕跡がのこっている。
MID_竜のほこら_セリカ_00: 不思議な雰囲気……
MID_竜のほこら_セリカ_01: 清浄だけれども、まるで
MID_竜のほこら_セリカ_02: 生きとし生けるものたちを拒絶するような。
MID_竜のほこら_セリカ_03: 遠くから聞こえてくるのは……波の音？
MID_竜のほこら_セリカ_04: 子供の頃、誰かに聞いたことがあるわ。
MID_竜のほこら_セリカ_05: ソフィアのどこかに、死者の国に繋がる海があるって。
MID_恐山のほこら_アルム_00: 奥から吹き付けてくる生暖かい風と、不気味なうなり。
MID_恐山のほこら_アルム_01: 死者の国から響くのは、生をもとめるものたちの声だろうか。
MID_恐山のほこら_アルム_02: ここは恐山のはらわた。バレンシアでもっとも深い場所。
MID_秘密のほこら_アルム_00: 人目をさけるかのように隠された不思議な空間。
MID_秘密のほこら_アルム_01: 封印された、秘密のほこら。
MID_秘密のほこら_アルム_02: この場所は何のために造られたのだろう。
MID_迷いの森_セリカ_00: 立ち入る者を惑わせる、暗く鬱蒼とした森。
MID_迷いの森_セリカ_01: 大きな石の柱は、まるで
MID_迷いの森_セリカ_02: 侵入者を見張る番人のようだわ。
MID_ドーマの塔_セリカ_00: ドーマの力をそのまま形にしたような、巨大で威圧的な塔……
MID_ドーマの塔_セリカ_01: 果てしない力を求めて、その先になにがあるの？
MID_ドーマの塔_セリカ_02: その答えが、この頂点にあるというのかしら。
MID_ドーマ神殿_アルム_00: 通路の先から、ただならぬ雰囲気が漂ってくるのがわかる。
MID_ドーマ神殿_アルム_01: うなじの毛が逆立つ感覚がする。
MID_ドーマ神殿_アルム_02: 僕はこの先にあるドーマ神殿の主を恐れている。
MID_ドーマ神殿_アルム_03: だけど、僕たちはすすまなければならない。
MID_ドーマ神殿_アルム_04: この戦いを終わらせるために。
MID_テーベ地下迷宮_アルム_00: 忘れられ、打ち捨てられた
MID_テーベ地下迷宮_アルム_01: ここは、かつて魔道の力にあふれていた
MID_テーベ地下迷宮_アルム_02: 都市の巨大な骸。人間たちの業の残骸。
MID_テーベ地下迷宮_アルム_03: 数百年にもわたる静寂を破って僕らが目指すその奥には、
MID_テーベ地下迷宮_アルム_04: なにが待っているのだろう。
MID_テーベ地下迷宮_セリカ_00: 魔道の力に溺れ、そして滅んだ古の都市……
MID_テーベ地下迷宮_セリカ_01: 数百年の眠りは、その報いなのかしら。
