MESS_ARCHIVE_Blacksmith


Message Name: Message


MID_入店: いらっしゃい！
MID_退店: ありがとよ。
MID_SMITH_総合説明: 「錬成」で銀貨や金貨を支払って\n武器を強化することができます。\n強化の上限は\n武器によって異なります。
MID_SMITH_練成: 錬成
MID_H_SMITH_練成: 武器を強化します
MID_SMITH_錬成不可: 錬成できません
MID_SMITH_名前刻印: 名を刻む
MID_H_SMITH_名前刻印: 錬成した武器に名前をつけます
MID_SMITH_名前消去: 名を消す
MID_H_SMITH_名前消去: 武器につけた名前を消去します
MID_SMITH_還元: 換金
MID_H_SMITH_還元: 武器などを換金し、銀貨や金貨にします
MID_SMITH_両替: 両替
MID_H_SMITH_両替: 銀貨と金貨を交換します
MID_SMITH_両替_枚数: 枚数を決めてください
MID_SMITH_両替_確認: $a$a0を\n$a1に両替しますか？
MID_SMITH_両替_結果: $a$a0を\n$a1に両替しました
MID_SMITH_練成_確認: $a$a0を\n$a1に錬成しますか？
MID_SMITH_練成_結果: $a$a0を\n$a1に錬成しました
MID_SMITH_進化_確認: $a$a0を進化させますか？
MID_SMITH_進化_結果: $a$a0は\n$a1に進化しました！
MID_SMITH_名前刻印_確認: 名前を刻印しますか？
MID_SMITH_名前刻印_不可: これ以上名前を刻印することはできません
MID_SMITH_名前刻印_結果: $a$a0と刻印しました
MID_SMITH_名前刻印_キャンセル: 刻印をやめました
MID_SMITH_名前消去_確認: $a$a0の名前を消しますか？
MID_SMITH_名前消去_結果: 消去しました
MID_SMITH_還元_確認: $a$a0を換金しますか？
MID_SMITH_還元_結果_1: $a$a0を渡して\n$a1\nを受け取りました
MID_SMITH_還元_結果_2: $a$a0を渡して\n$a1\n$a2\nを受け取りました
MID_SMITH_所持: 所持
MID_SMITH_不明: ？？？？？？？
MID_SMITH_不明_単文字: ？
