MESS_ARCHIVE_Fld_拠点_海賊の砦_宝物庫


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa$E驚,|うわあ……！\nすごい財宝だな。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waこれだけの財宝を\nどこから集めてきたんだろう？$k
MID_ADV調べる_goldA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa海賊たちが船を襲って\n手に入れた金貨なのかな。$k
MID_ADV調べる_goldB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waこんなにたくさん集めて\nどうするつもりだったんだろう。$k
MID_ADV調べる_goldC_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa元の持ち主に\n返せればいいけど……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waここは宝物庫かしら。\nすごい財宝だわ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E悲,|こんなに集まるほど\n船が被害に遭ったのね……$k
MID_ADV調べる_goldA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waなんとか元の持ち主に\n返せないかしら……$k
MID_ADV調べる_goldB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa見たこともない金貨も\nまざっているわ。$k
MID_ADV調べる_goldC_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa勝手に持っていくわけには\nいかないわね。$k
MID_ADV_調べるエリア_goldA: 金貨
MID_ADV_調べるエリア_goldB: 金貨
MID_ADV_調べるエリア_goldC: 金貨
