MESS_ARCHIVE_TextEdit


Message Name: Message


MID_TEXTEDIT_ひらがな: かな
MID_TEXTEDIT_カタカナ: カナ
MID_TEXTEDIT_漢字: 漢字
MID_TEXTEDIT_英数字: ABC
MID_TEXTEDIT_ハングル: 韓
MID_TEXTEDIT_一字削除: 削除
MID_TEXTEDIT_文字未入力: 文字が入力されていません。
MID_TEXTEDIT_文字警告: 表示制限を受ける文字列、または数字が\n入力した名前に含まれているため、通信相手に\nそのまま表示されない場合があります。\n決定してもよろしいですか？
MID_TEXTEDIT_文字警告_錬成: 表示制限を受ける文字列、または数字が\n入力した名前に含まれているため、通信相手に\nそのまま表示されない場合があります。\n決定してもよろしいですか？
MID_TEXTEDIT_文字禁止: 表示制限を受ける文字列が含まれています。\nまたは、数字が５文字より多く含まれています。\n入力をやりなおしてください。
MID_TEXTEDIT_名前確認: この名前は通信によって\n他のプレイヤーに公開されます。\n決定してもよろしいですか？
MID_TEXTEDIT_メッセージ確認: このメッセージは通信によって\n他のプレイヤーに公開されます。\n決定してもよろしいですか？
