MESS_ARCHIVE_Rewind


Message Name: Message


MID_REWIND_フェイズ_プレイヤー: Player Phase 開始
MID_REWIND_フェイズ_エネミー: Enemy Phase 開始
MID_REWIND_フェイズ_その他: Ally Phase 開始
MID_REWIND_レベルアップ: $a$a0のレベルが上がった！
MID_REWIND_アイテム交換: $a$a0と$a1がアイテムを交換
MID_REWIND_アイテム入手: $a$a0が$a1を入手
MID_REWIND_アイテム使用: $a$a0が$a1を使用
MID_REWIND_召喚: $a$a0が$a1を召喚
MID_REWIND_撃破: $a$a0を撃破
MID_REWIND_死亡: $a$a0が倒された
MID_REWIND_退却: $a$a0が退却
MID_REWIND_地形_扉: 扉を開けた
MID_REWIND_攻撃: $a$a0が$a1を攻撃
MID_REWIND_体当たり: $a$a0が$a1に体当たり
MID_REWIND_入れ替え: $a$a0と$a1が入れ替え
MID_REWIND_発動: $a$a0が$a1を発動
MID_REWIND_増援: $a$a0が現れた
MID_REWIND_分裂: $a$a0は分裂した
MID_REWIND_アイテム落下: $a$a0は$a1を落とした
