MESS_ARCHIVE_Fld_拠点_山の村_広場


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここはこの村の中心地かな。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waなんだか荒れているな……\nなにかに襲撃された後みたいだ。$k
MID_ADV調べる_well_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa粗末な作りの井戸だ。$k
MID_ADV調べる_wood_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa加工された木材だけど\n長い間放置されているみたいだ。$k
MID_ADV調べる_clash_roof_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa屋根が壊れている。\nなにかあったのかな……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waこの村の広場ね。\nあまり手入れはされていないみたい……$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Waあちこち壊れていて、荒れた雰囲気だわ。$k
MID_ADV調べる_well_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa質素な井戸だけれど、水は豊かみたいね。$k
MID_ADV調べる_wood_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa修理用の木材かしら？\n雨ざらしになっているわ。$k
MID_ADV調べる_clash_roof_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa屋根が壊れているわ。\n修理しないのかしら……$k
MID_ADV_調べるエリア_well: 井戸
MID_ADV_調べるエリア_wood: 木材
MID_ADV_調べるエリア_clash_roof: 壊れた屋根
