MESS_ARCHIVE_Result


Message Name: Message


MID_リザルト_戦果: 戦果
MID_リザルト_参加経験値: 参加経験値
MID_リザルト_疲労報告: $a$a0は\n疲労状態になりました
MID_リザルト_アルム_完勝: よし、いい勝利だったね。
MID_リザルト_アルム_辛勝: ふう、なんとか勝てたかな。
MID_リザルト_アルム_死亡: 覚悟はしていたけど……
MID_リザルト_アルム_死亡_1: そんな…うそだ、セリカ……！！
MID_リザルト_ルカ_完勝: 気持ちのいい勝利でしたね。
MID_リザルト_ルカ_辛勝: 勝てたからよしとしましょう。
MID_リザルト_ルカ_死亡: 犠牲の大きい勝利でしたね……
MID_リザルト_ルカ_死亡_1: クレーベ…あなたを失った穴を埋められるでしょうか……
MID_リザルト_グレイ_完勝: へへっ、楽勝だったな！
MID_リザルト_グレイ_辛勝: 次はもっと楽に勝ちたいぜ……
MID_リザルト_グレイ_死亡: 勝てたからって、嬉しくはねえな……
MID_リザルト_グレイ_死亡_1: なにやってんだ、ロビン…ばかやろうっ……！
MID_リザルト_ロビン_完勝: やったぜ、完勝だな！
MID_リザルト_ロビン_辛勝: ふう、危なかったな……
MID_リザルト_ロビン_死亡: うそだろ……こんな……
MID_リザルト_ロビン_死亡_1: え…うそだろ、グレイ…起きろよ……
MID_リザルト_クリフ_完勝: 僕たちの敵じゃなかったね。
MID_リザルト_クリフ_辛勝: こういうのも、スリルがあっていいんじゃない？
MID_リザルト_クリフ_死亡: 勝てたけど……辛いね……
MID_リザルト_エフィ_完勝: 楽勝だったね、アルムが強いからだよ。
MID_リザルト_エフィ_辛勝: アルムが無事でよかった……
MID_リザルト_エフィ_死亡: こんなことになって……悲しいね……
MID_リザルト_シルク_完勝: ミラさまがお守りくださったんですね！
MID_リザルト_シルク_辛勝: なんとか勝てました……
MID_リザルト_シルク_死亡: せめてミラさまに祈りましょう……
MID_リザルト_クレア_完勝: わたくしのように、完璧な勝利ですわ！
MID_リザルト_クレア_辛勝: 次はもっと美しく勝ちたいものですわね。
MID_リザルト_クレア_死亡: こんな勝利、嬉しくありませんわ……
MID_リザルト_クレア_死亡_1: お兄さま……？　うそですわ、こんな……！！
MID_リザルト_クレーベ_完勝: 我々にふさわしい、完璧な勝利だな。
MID_リザルト_クレーベ_辛勝: もっと余裕をもって勝ちたいものだ。
MID_リザルト_クレーベ_死亡: 戦いに犠牲はつきものだが……
MID_リザルト_クレーベ_死亡_1: クレア……！　ああ、なんということだ……
MID_リザルト_クレーベ_死亡_2: マチルダ…！　君を失って、私はどうやって生きていけばいいのだ……？！
MID_リザルト_フォルス_完勝: このように、いつも優雅に勝ちたいものだね。
MID_リザルト_フォルス_辛勝: もっと効率を考えて戦いたいね。
MID_リザルト_フォルス_死亡: 非情であらねばならないことはわかっているが……
MID_リザルト_フォルス_死亡_1: クレーベさま！　ああ、僕はどうすれば……
MID_リザルト_フォルス_死亡_2: おい、パイソン……冗談はよせよ……
MID_リザルト_パイソン_完勝: いつもこうなら、楽でいいのになあ。
MID_リザルト_パイソン_辛勝: ああ、しんどかった……
MID_リザルト_パイソン_死亡: 悪いな、守ってやれなくて……
MID_リザルト_パイソン_死亡_1: フォルス、お前…なにやってんだ……
MID_リザルト_リュート_完勝: 当然だろう、俺がいるのだからな。
MID_リザルト_リュート_辛勝: 誰だ、俺の足をひっぱったやつは……
MID_リザルト_リュート_死亡: 喜ぶ気にはなれないな……
MID_リザルト_リュート_死亡_1: デューテ！！　うそだ、目を開けてくれ……！
MID_リザルト_マチルダ_完勝: これが我々の実力だ。
MID_リザルト_マチルダ_辛勝: 教訓の多い勝利だったな。
MID_リザルト_マチルダ_死亡: それでも我々は前に進まねば……
MID_リザルト_マチルダ_死亡_1: …ああ、うそだろう？　クレーベ……！！
MID_リザルト_デューテ_完勝: やったあ、ボクのおかげだよ？
MID_リザルト_デューテ_辛勝: ふー、ギリギリだったね。
MID_リザルト_デューテ_死亡: そんなあ……やだよ……
MID_リザルト_デューテ_死亡_1: やだあ、お兄ちゃん！　死んじゃやだーっ！！
MID_リザルト_ティータ_完勝: みんなで掴んだ勝利だね。
MID_リザルト_ティータ_辛勝: まあ、勝てたからいいよね？
MID_リザルト_ティータ_死亡: どうして守ってあげられなかったのかしら……
MID_リザルト_ティータ_死亡_1: ジーク！　いやよ、ジーク！！
MID_リザルト_ジーク_完勝: 気持ちのいい勝利だ。
MID_リザルト_ジーク_辛勝: 学ぶことの多い戦いだったな。
MID_リザルト_ジーク_死亡: やむをえんことだが、胸が痛むな……
MID_リザルト_ジーク_死亡_1: ティータ…ああ、君がいなければ私は……
MID_リザルト_マイセン_完勝: うむ、見事な勝利だ。
MID_リザルト_マイセン_辛勝: また鍛え直さねばならんな。
MID_リザルト_マイセン_死亡: 何度経験しても、仲間の死に慣れることはないな……
MID_リザルト_マイセン_死亡_1: セリカ…お前の人生はまだこれからではないか……！
MID_リザルト_セリカ_完勝: ミラさまがお守りくださったのね。
MID_リザルト_セリカ_辛勝: なんとか勝てたわ……みんな、無事？
MID_リザルト_セリカ_死亡: それでも私は進まなければ……
MID_リザルト_メイ_完勝: やったね、大勝利！
MID_リザルト_メイ_辛勝: うひゃー、危なかったね！
MID_リザルト_メイ_死亡: これも、ミラさまの試練なのかな……
MID_リザルト_メイ_死亡_1: ボーイ…なにやってるのよ……！
MID_リザルト_ボーイ_完勝: いつもこうだと助かるんだけどな。
MID_リザルト_ボーイ_辛勝: ふう……ひやひやしたぜ。
MID_リザルト_ボーイ_死亡: 勝つには勝ったけど、辛いな……
MID_リザルト_ボーイ_死亡_1: お、おい、メイ……笑えねえぞ……
MID_リザルト_ジェニー_完勝: えへへ……わたし、がんばったでしょ？
MID_リザルト_ジェニー_辛勝: ふう、ドキドキしちゃった……
