MESS_ARCHIVE_Fld_拠点_ラムの村_マイセンの家


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa僕とじいさんの家の前だ。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa村ではちょっとはずれの\n静かなところなんだ。$k
MID_ADV調べる_orangeTree_ARUM_LOOP_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa僕が子どものころからある\nオレンジの木だ。$k
MID_ADV調べる_orangeTree_ARUM_LOOP_1: $Z$t0$Wmアルム|6$Wsアルム|$Waセリカといっしょによく登って\nじいさんに怒られたっけ。$k
MID_ADV調べる_sheep_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waじいさんが飼っている羊だ。$k
MID_ADV調べる_sheep_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waこいつのこと、\nセリカがすごく可愛がってたな。$k
MID_ADV調べる_makiwari_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa薪を割っている場所だ。$k
MID_ADV調べる_makiwari_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa僕もじいさんを手伝って\nよく薪を割ってるんだ。$k
MID_ADV調べる_koge_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa魔法の練習をしていたクリフが\n間違って焦がした跡だ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|アルムとおじいさまの家だわ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E笑,|懐かしい……\nちっとも変わらないわね。$k
MID_ADV調べる_orangeTree_CELLICA_LOOP_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|このオレンジの木も\n変わらないわね。$k
MID_ADV調べる_orangeTree_CELLICA_LOOP_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|この木に実がなるのが楽しみだったの。$k
MID_ADV調べる_sheep_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|おじいさまが飼っている羊だわ。$k
MID_ADV調べる_sheep_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E笑,|よかった、まだ元気なのね。\nよしよし……$k
MID_ADV調べる_makiwari_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|薪を割る場所ね。$k
MID_ADV調べる_makiwari_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|アルムがよく薪を割りたがって\nおじいさまに止められていたわ。$k
MID_ADV調べる_koge_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Waどうしてここは\n焦げているのかしら？$k
MID_ADV_調べるエリア_sheep: 羊
MID_ADV_調べるエリア_orangeTree: オレンジの木
MID_ADV_調べるエリア_makiwari: 薪
MID_ADV_調べるエリア_koge: 焦げた跡
